years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
1950.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.5909090909090908,1.0,1.0,2.0
1951.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,0.0,3.0,2.0,3.0,6.0,1.0,2.0,5.0,2.1818181818181817,2.0,1.0,3.0
1952.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,0.0,1.0,1.8636363636363635,2.0,1.0,2.75
1953.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.6818181818181819,2.0,1.0,2.0
1954.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,0.0,5.0,0.0,5.0,1.0,1.0,3.0,2.227272727272727,2.0,1.0,3.75
1955.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,0.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.8181818181818181,1.0,1.0,2.0
1956.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1.8181818181818181,2.0,1.0,3.0
1957.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,7.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,2.75
1958.0,0.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,0.0,3.0,1.0,2.1363636363636362,2.0,1.0,3.0
1959.0,3.0,5.0,1.0,4.0,0.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.1818181818181817,2.0,1.0,3.0
1960.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,4.0,0.0,0.0,0.0,2.0,3.0,1.6363636363636365,1.5,0.0,3.0
1961.0,3.0,4.0,0.0,1.0,3.0,2.0,4.0,0.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,2.3636363636363638,2.0,2.0,3.0
1962.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,6.0,6.0,0.0,0.0,1.8181818181818181,1.0,1.0,3.0
1963.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.1363636363636362,2.0,2.0,3.0
1964.0,1.0,3.0,2.0,1.0,3.0,7.0,4.0,1.0,5.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,0.0,1.0,2.590909090909091,2.5,1.0,3.75
1965.0,5.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.5454545454545454,1.5,1.0,2.0
1966.0,3.0,5.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,0.0,1.0,0.0,3.0,2.0,3.0,3.0,2.409090909090909,2.0,1.25,3.0
1967.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.5909090909090908,1.0,1.0,2.0
1968.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,3.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,5.0,1.0,1.0,1.0,1.5909090909090908,1.0,0.0,2.75
1969.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,2.0,2.5,2.0,2.0,3.0
1970.0,4.0,0.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,2.0,4.0,0.0,4.0,3.0,3.0,0.0,3.0,0.0,2.090909090909091,2.5,1.0,3.0
1971.0,2.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,4.0,1.0,3.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,0.0,2.0,2.1818181818181817,1.5,1.0,4.0
1972.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,6.0,1.0,1.0,2.0,1.7272727272727273,1.0,0.25,2.75
1973.0,7.0,4.0,0.0,1.0,0.0,5.0,2.0,1.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,0.0,2.409090909090909,2.0,1.0,3.0
1974.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0,5.0,1.9545454545454546,2.0,1.0,3.0
1975.0,2.0,0.0,1.0,1.0,0.0,8.0,1.0,2.0,5.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,1.7272727272727273,1.0,1.0,2.0
1976.0,3.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.8636363636363635,2.0,1.0,3.0
1977.0,4.0,4.0,0.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.9545454545454546,1.5,1.0,3.0
1978.0,3.0,3.0,2.0,1.0,1.0,6.0,3.0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.272727272727273,2.0,1.0,3.0
1979.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.227272727272727,3.0,1.0,3.0
1980.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,1.0,3.0,2.0,5.0,0.0,2.0,0.0,2.0,2.0,1.25,3.0
1981.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,6.0,4.0,0.0,4.0,6.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.1818181818181817,2.0,1.25,2.75
1982.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,1.7272727272727273,2.0,1.0,2.0
1983.0,5.0,1.0,3.0,4.0,2.0,4.0,0.0,0.0,3.0,2.0,0.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.75
1984.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.2272727272727273,1.0,0.25,2.0
1985.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,1.7272727272727273,2.0,1.0,2.0
1986.0,2.0,3.0,0.0,1.0,3.0,1.0,5.0,1.0,7.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.1363636363636362,2.0,1.0,3.0
1987.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,7.0,1.0,1.0,1.0,2.0,2.0,6.0,4.0,2.0,2.0,2.0,1.0,2.0
1988.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,1.8181818181818181,2.0,1.0,3.0
1989.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,2.0,2.0454545454545454,2.0,1.0,3.0
1990.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,1.8181818181818181,1.0,1.0,2.75
1991.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.4090909090909092,1.0,1.0,2.0
1992.0,5.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,8.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,8.0,0.0,2.090909090909091,1.5,1.0,2.75
1993.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.6363636363636365,1.0,1.0,2.75
1994.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,0.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,6.0,3.0,3.0,1.0,0.0,2.3181818181818183,2.5,1.0,3.0
1995.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.4090909090909092,1.0,1.0,2.0
1996.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.6818181818181819,1.0,1.0,2.75
1997.0,2.0,3.0,4.0,6.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0,2.0,2.1363636363636362,2.0,1.0,3.0
