,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2015-01-31,283.1865234375,288.0531921386719,286.82208251953125,285.5617370605469,286.1188,278.8957824707031,282.18735,285.3157958984375,284.459716796875,280.17456,284.5342102050781,283.2292,283.7209,286.7680358886719,282.80283,290.08716,283.3511,286.3955,283.44846,285.13443,285.41420186360676
2015-02-28,284.2076721191406,285.1681213378906,285.07562255859375,283.5351867675781,289.64334,288.0922546386719,284.39572,288.88934326171875,285.32135009765625,286.93088,288.0773620605469,282.80862,289.19305,284.1353454589844,286.0136,290.05383,283.89557,285.14633,284.57584,290.5247,285.01807948521207
2015-03-31,283.7515869140625,289.5113525390625,289.7404479980469,290.6839294433594,290.48157,291.2200012207031,285.89438,292.6018981933594,290.10968017578125,292.58624,290.5288391113281,288.25366,292.40128,288.23541259765625,288.81204,292.59357,283.21213,290.87378,290.54193,290.76974,291.1686676025391
2015-04-30,292.8465270996094,295.19482421875,294.99981689453125,296.8949279785156,295.45178,295.7686767578125,292.45154,294.48687744140625,295.2414855957031,296.84485,297.5876770019531,297.8137,294.77838,294.7324523925781,291.7447,294.3008,294.11795,296.3838,296.88492,297.36963,297.739458211263
2015-05-31,298.84698486328125,299.54779052734375,301.426025390625,298.63824462890625,300.38187,300.211181640625,299.36438,301.55181884765625,299.6090393066406,301.48392,297.91546630859375,298.88724,300.67587,297.4712219238281,299.1173,297.84863,299.876,299.00574,296.89285,298.42218,302.12530008951825
2015-06-30,305.28106689453125,303.95745849609375,302.58209228515625,302.4717712402344,305.00186,304.9757385253906,303.92654,301.2873229980469,300.9647521972656,304.46164,303.57855224609375,304.36804,302.66974,300.7273254394531,301.81305,302.57315,304.2676,305.03134,301.24323,301.91296,304.6273559570312
2015-07-31,302.6922607421875,305.1861877441406,305.8454895019531,305.59442138671875,305.08945,308.7599182128906,306.48697,307.43328857421875,306.01739501953125,307.4057,303.6744384765625,305.9024,304.17166,304.096435546875,307.67102,306.6212,306.89023,303.99258,306.5315,304.07465,306.3189310709635
2015-08-31,301.73614501953125,303.1148681640625,304.9633483886719,304.4912414550781,303.99603,305.34429931640625,305.73907,308.2705993652344,304.7032470703125,303.7472,303.96820068359375,305.98383,305.2572,305.1231689453125,306.42102,303.41934,304.26483,303.8848,305.14426,303.6777,305.6842793782552
2015-09-30,300.9337158203125,301.08331298828125,304.13470458984375,301.40234375,300.07645,302.77545166015625,302.08643,302.6385192871094,303.2040710449219,300.32117,300.7909240722656,301.68304,302.43326,301.1680603027344,303.1719,303.7298,301.92654,305.46625,303.95703,301.9416,304.02557271321615
2015-10-31,297.0630187988281,294.4261169433594,297.07452392578125,295.6220397949219,296.14682,296.2121887207031,295.4798,296.73236083984375,296.9796447753906,297.32678,297.0380554199219,295.37485,294.53918,295.76580810546875,296.4656,298.3181,294.37708,296.5457,296.5265,296.02188,299.67564493815104
