,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
1950-12-31,295.1456604003906,294.20233154296875,294.109130859375,294.3311767578125,292.65063,293.9290466308594,295.09525,293.7697448730469,294.05487060546875,294.49442,293.6109924316406,294.26077,294.32086,294.1817626953125,293.8853,294.97546,294.11975,293.61642,293.10144,294.64468,293.4158886104989
1951-12-31,294.1031188964844,294.72314453125,294.9267578125,294.685302734375,293.4134,295.5850830078125,292.944,295.1489562988281,294.2388916015625,292.1444,294.447021484375,294.7058,294.1769,292.9786682128906,293.12195,293.82196,293.44067,294.55945,295.19907,294.54007,295.3928570454347
1952-12-31,295.02513603314964,294.45898872270976,294.0531086124786,292.819759253933,292.41934,294.6826196121843,293.47437,293.0013269711847,293.66597875307684,292.8779,293.5479871776006,294.57803,293.2259,294.7323903541042,293.71494,294.17593,294.5768,294.06403,293.71457,293.46182,294.18409223211177
1953-12-31,294.9427795410156,292.9160461425781,294.42181396484375,293.449462890625,293.46576,293.670654296875,293.23987,293.0693054199219,293.2241516113281,294.319,295.4453430175781,293.23276,294.47665,294.1220397949219,295.3106,294.00848,292.9238,294.59012,293.65054,294.18546,294.77275213316165
1954-12-31,294.89862060546875,295.5640563964844,293.5150146484375,294.1944274902344,294.1187,294.5762939453125,292.76642,293.4374084472656,293.6262512207031,295.26462,294.3610534667969,293.02325,294.4465,293.49029541015625,293.047,294.00464,293.61212,294.54254,293.10797,293.64944,294.26396699191474
1955-12-31,293.3338928222656,294.3804931640625,293.8090515136719,294.1121826171875,293.66217,294.2389221191406,293.2506,294.7200012207031,293.5657043457031,293.86993,294.1199035644531,292.91373,293.5879,292.6471252441406,294.72052,295.23557,293.60233,295.46692,293.97058,292.88806,293.474578601688
1956-12-31,293.88339718335294,293.42029795189427,293.8807779390518,294.6783007478061,296.06024,295.93270046286386,294.04648,294.1858159313463,294.4074646832192,294.02853,294.3425697640197,294.35464,294.5766,293.128033280046,293.757,294.15582,295.33887,293.16898,293.7531,293.38123,293.8888569356339
1957-12-31,294.3880920410156,294.95452880859375,293.78765869140625,294.0626220703125,295.15805,295.115966796875,294.15643,293.1571960449219,293.5774230957031,294.62015,294.1249694824219,294.10373,294.63892,294.968505859375,294.5924,293.56912,294.09048,293.3116,293.67825,294.00397,294.13038729023003
1958-12-31,294.8892822265625,294.48834228515625,293.3625183105469,294.3085632324219,295.35925,293.5252990722656,293.51746,294.1294860839844,293.20745849609375,295.5665,293.70233154296875,294.63522,294.12912,293.8370361328125,294.655,294.5545,293.90164,293.45984,293.69336,293.47552,292.8692025978472
1959-12-31,293.97998046875,293.6623229980469,293.2427978515625,294.7890930175781,294.7215,293.6692810058594,293.01965,295.3887634277344,292.84490966796875,294.63934,292.74652099609375,294.5385,294.24026,295.0421142578125,293.07706,294.95526,293.86212,294.19965,294.45953,294.55063,293.7234127961058
1960-12-31,293.61471574339146,295.4897859756261,293.6761725438784,293.6843628765786,295.0972,292.72887046500426,293.76596,293.8582763671875,293.28742232649296,293.42682,293.67426565509953,293.95883,295.41425,293.7420064011665,294.82254,295.16553,294.88983,294.67715,294.8558,294.2382,293.55053013878614
