,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2015-01-31,283.02569580078125,288.2845764160156,283.33551025390625,285.8653564453125,285.10916,278.056884765625,282.70215,284.6272277832031,281.4173583984375,283.33234,282.2704772949219,282.04364,280.75015,285.8143310546875,281.78525,288.8618,283.92297,286.25934,278.59775,282.67474,286.3955362955729
2015-02-28,288.9291687011719,293.1004943847656,286.2913513183594,291.26776123046875,286.09906,285.1962585449219,285.76282,286.47332763671875,284.9805908203125,284.85767,283.3675231933594,284.7419,284.48956,284.66339111328125,286.56375,287.6806,283.0196,287.69296,284.78244,280.1574,283.6021052769252
2015-03-31,288.46856689453125,292.5322570800781,288.84625244140625,289.6903991699219,288.887,290.3164978027344,286.70047,291.7012023925781,285.9602355957031,290.24802,291.3469543457031,290.76978,293.03452,289.8177185058594,291.33942,288.712,286.2144,289.9295,289.62115,287.29926,290.24505310058595
2015-04-30,292.6841735839844,296.9129333496094,294.2748107910156,293.8871154785156,296.37988,295.15740966796875,293.82758,292.78704833984375,295.05609130859375,296.76855,295.7413635253906,295.54385,295.3283,297.10980224609375,296.8882,295.19745,297.29837,296.39227,292.20395,295.73944,292.6095499674479
2015-05-31,299.6454772949219,300.550048828125,299.09124755859375,298.48199462890625,298.67566,298.5166320800781,300.06674,299.365478515625,296.9315490722656,298.46475,297.1087951660156,298.99783,299.35672,298.5987243652344,299.68823,297.38898,297.5571,301.4993,297.83078,299.63162,301.22527465820315
2015-06-30,302.0422058105469,304.4438171386719,302.6769104003906,303.6371765136719,303.1037,302.4898681640625,303.67804,301.7301025390625,302.26220703125,303.2196,304.0943298339844,304.93283,303.58975,302.9752197265625,303.2645,302.1068,302.0558,305.12363,301.78333,301.98758,306.3160858154297
2015-07-31,304.5453796386719,304.7250671386719,305.0533752441406,305.10955810546875,304.1455,305.0337219238281,304.923,304.9053039550781,305.7423095703125,304.0944,306.30621337890625,306.05023,305.07266,304.4371643066406,307.63364,303.66483,305.21323,306.92477,305.12347,304.77542,305.92577006022134
2015-08-31,302.577392578125,304.27655029296875,305.03125,304.45806884765625,303.30676,304.4331970214844,304.14233,305.32257080078125,303.4717712402344,303.00275,306.57867431640625,306.59158,305.22354,304.41058349609375,305.21722,303.71786,304.46262,305.84396,303.67365,303.1701,307.2633422851562
2015-09-30,300.3171081542969,302.1092224121094,301.6187438964844,301.8444519042969,299.26105,300.6150207519531,302.92194,302.0043029785156,302.15972900390625,299.54834,301.00457763671875,302.1123,300.94302,299.9948425292969,303.293,303.38303,301.5009,302.056,301.01627,300.40497,302.34180908203126
2015-10-31,298.36932373046875,297.25091552734375,294.46136474609375,296.5179748535156,295.74084,295.9635925292969,295.82526,295.5166015625,296.4149475097656,297.6795,295.04083251953125,297.41998,293.19006,295.0816955566406,294.23663,297.96115,298.0002,295.52417,296.90262,295.8468,299.49761962890625
2015-11-30,291.1717834472656,292.3179016113281,291.1862487792969,293.1693115234375,288.39764,293.3407287597656,289.88272,293.0892639160156,289.2673034667969,290.4744,289.09002685546875,289.22592,292.028,290.81756591796875,293.37625,290.73276,292.1357,291.8215,292.1253,289.36057,292.8632578531901
2015-12-31,289.72784423828125,283.78387451171875,281.70758056640625,284.5335693359375,284.56268,288.4747314453125,290.29672,283.26910400390625,282.5334167480469,285.34454,287.42376708984375,285.64886,285.72818,284.9002380371094,283.22025,284.8137,279.69794,286.92477,283.6949,287.54364,286.9612660725912
