threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-1_tasmax>32.22,ssp126,2021,46,6,13,48,9,17,0,91,11,10,30,0,29,24,24,6,30,38,39,0,1,46,6,13,48,9,16,0,91,11,10,30,0,29,24,24,5,30,38,39,0,0,3,1,1,4,1,1,0,2,3,1,2,0,3,3,3,1,2,1,1,0,0,24,6,13,29,9,16,0,56,5,10,22,0,16,14,10,5,28,38,39,0,0,15.33,6.0,13.0,12.0,9.0,16.0,0.0,45.5,3.67,10.0,15.0,0.0,9.67,8.0,8.0,5.0,15.0,38.0,39.0,0.0,0.0,22.476190476190474,17.0,0.0,46.0,22.333333333333332,16.0,0.0,46.0,1.5714285714285714,1.0,0.0,3.0,16.19047619047619,13.0,0.0,38.0,12.769999999999998,9.67,0.0,38.0
spi<-1_tasmax>32.22,ssp126,2022,0,5,13,42,20,49,0,44,10,2,27,35,5,0,48,31,51,56,64,32,28,0,5,11,42,20,49,0,43,10,2,27,35,5,0,48,31,50,56,64,31,26,0,1,1,1,1,1,0,4,1,1,1,2,1,0,4,1,2,1,4,3,3,0,5,11,42,20,49,0,31,10,2,27,22,5,0,34,31,36,56,25,12,19,0.0,5.0,11.0,42.0,20.0,49.0,0.0,10.75,10.0,2.0,27.0,17.5,5.0,0.0,12.0,31.0,25.0,56.0,16.0,10.33,8.67,26.761904761904763,28.0,0.0,51.0,26.428571428571427,27.0,0.0,50.0,1.5714285714285714,1.0,0.0,4.0,20.80952380952381,20.0,0.0,42.0,17.05952380952381,11.0,0.0,42.0
spi<-1_tasmax>32.22,ssp126,2023,28,0,34,14,0,0,10,29,5,22,0,15,46,4,0,0,33,56,25,64,29,27,0,34,14,0,0,10,29,5,22,0,15,46,4,0,0,33,56,25,64,29,1,0,4,2,0,0,4,2,1,1,0,3,2,1,0,0,2,1,1,3,3,27,0,15,11,0,0,4,18,5,22,0,9,26,4,0,0,30,56,25,26,16,27.0,0.0,8.5,7.0,0.0,0.0,2.5,14.5,5.0,22.0,0.0,5.0,23.0,4.0,0.0,0.0,16.5,56.0,25.0,21.33,9.67,19.714285714285715,15.0,0.0,46.0,19.666666666666668,15.0,0.0,46.0,1.4761904761904763,1.0,0.0,3.0,14.0,11.0,0.0,27.0,11.761904761904761,7.0,0.0,25.0
spi<-1_tasmax>32.22,ssp126,2024,9,6,2,0,45,39,20,2,34,0,36,10,0,49,20,14,23,17,41,37,27,9,5,2,0,45,39,20,2,34,0,36,9,0,48,19,14,22,17,41,37,27,1,1,1,0,2,1,2,1,3,0,2,2,0,3,4,2,3,2,2,2,1,9,5,2,0,27,39,12,2,22,0,30,5,0,36,10,8,9,14,36,35,27,9.0,5.0,2.0,0.0,22.5,39.0,10.0,2.0,11.33,0.0,18.0,4.5,0.0,16.0,4.75,7.0,7.33,8.5,20.5,18.5,27.0,20.523809523809526,20.0,0.0,41.0,20.285714285714285,19.0,0.0,41.0,1.6666666666666667,2.0,0.0,3.0,15.619047619047619,10.0,0.0,36.0,11.09095238095238,8.5,0.0,22.5
spi<-1_tasmax>32.22,ssp126,2025,47,19,21,1,0,12,32,0,11,0,58,2,0,0,0,26,0,0,23,4,0,47,19,20,0,0,10,32,0,10,0,57,0,0,0,0,26,0,0,23,4,0,2,2,2,0,0,2,1,0,3,0,5,0,0,0,0,2,0,0,2,1,0,44,10,11,0,0,7,32,0,6,0,23,0,0,0,0,22,0,0,12,4,0,23.5,9.5,10.0,0.0,0.0,5.0,32.0,0.0,3.33,0.0,11.4,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.5,4.0,0.0,12.19047619047619,2.0,0.0,32.0,11.80952380952381,0.0,0.0,32.0,1.0476190476190477,0.0,0.0,2.0,8.142857142857142,0.0,0.0,23.0,5.868095238095238,0.0,0.0,13.0
spi<-1_tasmax>32.22,ssp126,2026,0,6,72,44,46,65,0,10,4,23,15,20,0,0,22,0,15,15,16,0,15,0,6,72,44,46,64,0,10,4,23,15,20,0,0,21,0,15,15,16,0,15,0,1,4,2,2,5,0,2,1,3,3,1,0,0,2,0,1,3,2,0,4,0,6,30,41,40,17,0,6,4,12,6,20,0,0,18,0,15,11,11,0,5,0.0,6.0,18.0,22.0,23.0,12.8,0.0,5.0,4.0,7.67,5.0,20.0,0.0,0.0,10.5,0.0,15.0,5.0,8.0,0.0,3.75,18.476190476190474,15.0,0.0,46.0,18.38095238095238,15.0,0.0,46.0,1.7142857142857142,2.0,0.0,4.0,11.523809523809524,6.0,0.0,30.0,7.8914285714285715,5.0,0.0,20.0
spi<-1_tasmax>32.22,ssp126,2027,36,2,32,9,17,0,18,19,0,18,30,53,32,0,30,28,4,43,19,49,3,36,2,32,8,17,0,18,19,0,18,30,53,32,0,30,27,4,43,18,49,2,1,1,2,3,2,0,2,1,0,2,2,3,4,0,1,2,1,4,3,2,1,36,2,30,4,11,0,13,19,0,13,25,25,14,0,30,21,4,27,9,44,2,36.0,2.0,16.0,2.67,8.5,0.0,9.0,19.0,0.0,9.0,15.0,17.67,8.0,0.0,30.0,13.5,4.0,10.75,6.0,24.5,2.0,21.047619047619047,19.0,0.0,43.0,20.857142857142858,18.0,0.0,43.0,1.7619047619047619,2.0,0.0,3.0,15.666666666666666,13.0,0.0,30.0,11.123333333333333,9.0,0.0,24.5
spi<-1_tasmax>32.22,ssp126,2028,1,9,11,23,54,46,19,4,8,1,55,14,1,46,3,2,20,14,26,13,13,0,9,11,22,54,45,19,4,8,0,55,14,0,46,2,2,20,14,24,13,13,0,2,2,1,4,1,2,1,1,0,2,1,0,1,1,1,4,1,3,1,2,0,7,8,22,22,45,12,4,8,0,52,14,0,46,2,2,7,14,17,13,7,0.0,4.5,5.5,22.0,13.5,45.0,9.5,4.0,8.0,0.0,27.5,14.0,0.0,46.0,2.0,2.0,5.0,14.0,8.0,13.0,6.5,18.238095238095237,13.0,1.0,46.0,17.857142857142858,13.0,0.0,46.0,1.4761904761904763,1.0,0.0,3.0,14.380952380952381,8.0,0.0,45.0,11.904761904761905,8.0,0.0,27.5
spi<-1_tasmax>32.22,ssp126,2029,20,18,0,11,13,0,12,26,5,28,40,0,3,15,31,37,0,25,13,36,24,20,18,0,9,13,0,12,26,5,28,40,0,3,15,31,36,0,25,13,36,24,2,2,0,2,1,0,2,2,2,3,2,0,1,1,3,4,0,3,2,1,2,15,11,0,5,13,0,10,15,3,20,37,0,3,15,21,18,0,13,9,36,21,10.0,9.0,0.0,4.5,13.0,0.0,6.0,13.0,2.5,9.33,20.0,0.0,3.0,15.0,10.33,9.0,0.0,8.33,6.5,36.0,12.0,17.0,15.0,0.0,36.0,16.857142857142858,15.0,0.0,36.0,1.6666666666666667,2.0,0.0,3.0,12.619047619047619,13.0,0.0,21.0,8.928095238095239,9.0,0.0,15.0
spi<-1_tasmax>32.22,ssp126,2030,26,1,0,62,5,45,38,33,0,0,0,12,11,7,5,14,34,36,0,30,0,26,0,0,59,5,45,38,32,0,0,0,11,11,6,4,14,34,36,0,30,0,2,0,0,4,1,2,3,1,0,0,0,2,2,1,1,2,1,5,0,2,0,15,0,0,38,5,42,19,32,0,0,0,7,8,6,4,10,34,13,0,27,0,13.0,0.0,0.0,14.75,5.0,22.5,12.67,32.0,0.0,0.0,0.0,5.5,5.5,6.0,4.0,7.0,34.0,7.2,0.0,15.0,0.0,17.095238095238095,11.0,0.0,38.0,16.714285714285715,11.0,0.0,38.0,1.380952380952381,1.0,0.0,3.0,12.380952380952381,7.0,0.0,34.0,8.767619047619048,5.5,0.0,22.5
