ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_spi,med_spi,p10_spi,p90_spi,mean_tasmax,med_tasmax,p10_tasmax,p90_tasmax
ssp126,2021,4.959779742053504,4.990907832591005,3.592875975112289,6.53784630399898,-0.0052813382863029605,0.15318998890051358,-0.794043947159177,0.6609050046508589,33.8497315758115,33.54225576649544,32.343257065217415,34.995889779795796
ssp126,2022,5.10262481690475,4.976595574849993,3.6653583551658757,7.378101753703462,0.06603928664928543,0.06848469780884414,-0.5538740196987206,0.9250548136339023,33.873792560711685,33.70683652173915,32.64193181576938,35.4343263709027
ssp126,2023,5.8557062779176325,5.502639410421259,3.8723576404897497,7.467017549745173,0.43492138905288885,0.4283640635168128,-0.18925797430107907,1.1297978631647003,33.21698301312245,32.956059456521764,32.13889282608698,34.71554010869568
ssp126,2024,4.471658021860274,4.184863445170592,2.618145007731106,7.203909957195242,-0.08198351227622956,-0.15739332449166468,-0.9736248711258619,1.0982017684098957,34.39083179541928,34.54028837784479,32.63542261538301,36.21251706521741
ssp126,2025,5.00678929108311,5.07073743775533,3.1676731168458305,6.654593899916189,0.1367354146321979,0.16588224527961803,-0.6188805177862278,1.0220007046732018,33.859291594458185,33.47534929358443,32.86284239130437,35.58613340958307
ssp126,2026,4.984281836644905,5.195154212827235,2.979009630205198,6.981825401889182,0.052607163941763346,0.042860891233905817,-0.8258245251571333,0.9101046991027457,33.72488675651094,33.50807858695655,32.151127717391326,34.99177902885108
ssp126,2027,5.136848952639666,4.914591052798734,3.8598866639010265,6.736312187972866,0.12631459611055945,0.07871098215778843,-0.6067245818169973,0.9306660169978509,33.50880486771421,33.51653409211534,32.61275900135872,34.687848804347844
ssp126,2028,5.093344686737077,5.0624674800664735,3.3087148083138995,7.2313541445014575,0.05216209685228885,0.08775456560283187,-0.5258789779561264,0.9174736971141516,33.864840454488274,33.93285065217394,32.30377051311993,35.18815456521742
ssp126,2029,5.033609641304507,4.976648628912493,3.8757899905353392,6.389084747069531,0.05100138546564938,-0.029581349352429502,-0.5937630820366278,0.8347616935869219,34.21324661022876,34.223859737230406,33.1506839130435,34.99067271739133
ssp126,2030,5.769521954968135,5.688637751991328,4.190653080165313,6.839898300382388,0.3081334933180725,0.3247114902414985,-0.4438562239165813,1.0582788624764392,33.56704885262754,33.56705532608697,32.97002086956524,34.98050815217393
ssp126,2031,5.6266617376977415,5.192623042960742,4.345838441161112,7.215148169829078,0.29022603876521685,0.24442064809136646,-0.39832850891440597,0.8703953004922754,33.80405278488888,33.65356033988623,32.51070771739133,35.10540271739133
ssp126,2032,5.341006265599001,5.330046383512579,3.057102193967994,7.878585683066887,0.11227080015975437,0.2609583758112479,-0.8881099763656388,1.056155103704702,33.92822529180368,33.65978130434785,32.9526309469472,35.39876358695655
ssp126,2033,5.393292780006352,5.367297761707485,3.909187308172265,7.411768928268279,0.21792225209526536,0.12059845077047296,-0.4194027372310817,1.1516866975025266,33.903128110402136,33.97618487814201,32.29888537863029,35.22939818009088
ssp126,2034,4.9427877261638224,4.72637570972835,3.4102882233854483,6.338283479821231,0.017256655973307552,0.029527050953279226,-0.4265001440920518,0.5583326273859932,34.10942871956838,34.067135719631054,33.04672500000002,35.50417923913046
ssp126,2035,5.226267109411628,5.702482194068142,3.528270945754699,6.807911452307654,0.1298803488684997,0.2546726689396329,-0.4883115578396532,0.7016935335173282,34.23806261651524,33.983215862771765,32.43709783139438,35.95127888555114
ssp126,2036,5.608619509530212,5.293845211497764,3.9786227828520713,7.194578054538895,0.23410066583187697,0.11612384847141696,-0.299372210872259,0.8944632132181405,33.75361061744329,33.86908478260872,32.21565896739133,35.01783606487774
ssp126,2037,5.077897927912016,4.959795456741725,3.399110933017953,6.601168751141791,0.15578059791589202,0.24176605009964686,-0.48915604129496515,0.6606654881373737,34.09745590169021,34.055606739130454,33.09423151430879,34.896863058339015
ssp126,2038,5.1875313338004645,5.359801597354609,2.636755759691425,6.742165813770762,0.0660667887346698,0.26532718325637167,-0.8051314937958983,0.6501132173405556,34.46314105443732,34.49529817000682,33.03052989130437,35.813654891304374
ssp126,2039,5.574371470878374,5.762149929607265,3.6507273364072708,7.502639948194601,0.15732588220215876,0.298437700815235,-0.7503167945087142,0.7695167152067965,34.08109023896719,34.26279858695654,32.83681839652686,35.10313700800359
ssp126,2040,5.138456100044876,5.228898088709556,3.5414567306329405,6.603224536260082,0.04145374563771341,0.06666292992575924,-0.4988205474792227,0.7613214876270862,33.76684815660688,33.55660336956524,32.204978695652194,35.66616195652176
ssp126,2041,4.4949490118091004,4.442487981751377,2.828670392366721,5.628371968738789,-0.13411779828758844,-0.05493584898774862,-0.9725877667431705,0.39739018673196386,34.75544482946805,34.87096260869567,32.884857717391334,36.73628453793735
ssp126,2042,5.460729060067851,5.40981181822381,4.053088269706834,7.554501101873747,0.31610790554682233,0.2867948893840205,-0.3682561156282254,0.9664092109304223,33.567300735788315,33.56768022620162,32.53873496677567,34.53516326086959
ssp126,2043,5.280082665521232,5.097641531232124,3.5029221501330157,8.000497054355481,0.2181498215295269,0.1775565882213706,-0.6276570213822298,1.1427962074128357,33.614944368863654,33.62735270624578,31.806234456521764,35.642170326086976
ssp126,2044,4.767249496652261,4.632673229474087,3.352573888202262,6.119402367130874,-0.1733097596378877,-0.139910846084761,-0.8711265160061521,0.38824432834897166,34.41311238166257,34.494090735394046,33.09760478260871,35.75406076086959
ssp126,2045,5.253165344868285,5.564627828297924,3.229743650942485,6.575963347125753,0.15411909335818783,0.3302438097136375,-0.8072590364591249,0.7618765794995439,33.94693740789379,33.459819239130454,32.93823494289234,35.562805000000026
ssp126,2046,5.559931966484453,5.367615187089012,3.9283886753753245,7.638129973682358,0.32143480973380606,0.36227778753364964,-0.34969952354655975,1.3163498058803793,33.796286853153745,33.929042185907804,31.926402415399988,34.929721202021085
ssp126,2047,5.4936837423357625,5.246181032961246,4.245589728136174,7.214876401187482,0.22412399221670623,0.09678003687134054,-0.36579387000511954,0.9114922899307659,33.910952721642296,34.014802551269554,32.867709483271085,35.0261889130435
ssp126,2048,5.615901947032553,5.523067219707031,4.006711163601633,7.939656860422379,0.37669717880362746,0.30458661513586127,-0.18039072340112844,1.3453239833973862,33.841005014961844,34.06431002409564,32.16664923913046,34.85930010869568
ssp126,2049,5.229418019971806,4.6006807598493715,3.567461639516704,7.651342350847287,0.029973013679713733,-0.12296857833127034,-0.8864007919574437,1.0601818700026722,34.27326148388472,34.59401815217394,32.042622826086976,35.64324804347829
ssp126,2050,5.101812263950947,5.241937567221038,3.766431507384065,6.58195335729,0.07813802717600891,0.18599134996395575,-0.6089778440257091,0.6547928861866996,34.39165798699486,34.64620195471724,32.905433152173934,35.778943695652195
ssp126,2051,6.004372546074389,5.339774451970547,4.5017269205400785,8.782039496973288,0.3686344664620353,0.2989574688349974,-0.4660682570816113,1.2782917469420565,33.920512306719495,33.89383728260872,32.30987663043481,35.36193801216459
ssp126,2052,5.021517134944438,4.831394664043901,3.475583751537229,6.679093882544234,0.04077506898444021,-0.04054319822969406,-0.8107194152426993,0.9127006335723916,34.342957776445054,34.62747250000002,32.9553453528363,35.72403438402261
ssp126,2053,5.067211475207767,5.005981943984774,3.5157562269283815,6.654037207900069,0.11396315580660987,0.13084633575310856,-0.6972430188557419,0.740187170708092,34.27053059011267,34.34288771739132,32.84401586956524,35.80992876135787
ssp126,2054,5.500051762212647,5.833906097839939,3.8819803958859884,6.79865557396015,0.24546993230339176,0.4001801636094211,-0.31573083205986335,0.6891492697952789,33.86680496424075,33.72943206521741,32.704653478260894,35.04579680069635
ssp126,2055,5.0529457419341375,4.791412464906383,3.2380146809998496,7.508265091636645,-0.006326052338300015,-0.03918715039191751,-0.75465450353541,0.7952159986844052,34.252049975125985,34.47930630434785,32.50383717391307,35.588104565217414
ssp126,2056,4.954028969429588,4.792328736615079,3.9303878694848926,6.113339306829446,0.0742169866365257,0.08223999113736237,-0.6065435012071377,0.5554369390306951,34.47125305360786,34.42980147652006,33.33905956521742,35.372641521739155
ssp126,2057,4.8764564790969285,4.727753936307751,3.4434904836268583,6.396864345230988,0.09933159926727746,0.13199454691373225,-0.40393176084921445,0.8751206010267395,34.22946180713854,34.38411666206694,32.698666481349804,35.750188943614155
ssp126,2058,5.451976669959105,5.1828745743086655,3.725994596325183,8.694265447291142,0.25984513316396113,0.3181455342549677,-0.5103628116120272,1.0005578898599878,34.15751448284143,33.78068363355556,32.6850465194039,35.75889739990237
ssp126,2059,6.192736175358755,5.7553757190003285,5.077615210845622,7.17996250814713,0.4719372500973865,0.4933005487804807,0.07418268182641084,0.8672162784566092,33.52407811615941,33.7701964130435,31.472860452403214,34.8450364130435
ssp126,2060,5.6452868871137944,5.3373842892380345,4.158729670276911,7.073141237933239,0.24552819164914297,0.0848666763534752,-0.31662500197758425,0.9072830392224868,33.876694615855094,34.255533500339695,32.09771118164065,35.4521109782609
ssp126,2061,5.4427450530054955,5.569539913968601,3.7689196881663753,7.282780277378218,0.09783014047222775,0.031541877840380234,-0.8724029352773855,1.044242408517683,33.961557010366654,34.136053864852265,32.04402445917547,35.90546630434785
ssp126,2062,5.616083574944832,5.442773610820846,3.6859844078166213,7.77323547261332,0.20200407264338952,0.28799263313895346,-0.7274835487694931,0.8942694112472188,33.945022348625244,33.80316679581354,33.056786304347845,35.308571724269726
ssp126,2063,5.302224421636675,5.23396237734684,3.3396891387489123,7.049603873813385,0.01605776511052993,0.1388788229132952,-1.2739297064283133,1.0055224100676157,34.36702483561959,33.96440442956015,32.80807706521741,36.39702211462935
ssp126,2064,5.223806398037602,5.169007489615651,4.019067712110734,6.581842437732116,0.21802021993676604,0.22716262407044302,-0.3143629177131394,0.755581189149076,34.09065948594249,34.341626304347855,32.55218576086959,35.2546038752017
ssp126,2065,5.045414867657847,5.106638638781662,3.77005211655543,6.382655441413109,0.051704479945140824,0.15030319205746645,-0.7335942077355079,0.820608165615077,34.51395307132953,34.3360882966415,32.38876043478263,36.7314219599185
ssp126,2066,5.2048725140355705,5.268733706397057,4.045302447572373,6.202646211234259,0.23352295367055834,0.19410074885943795,-0.38634737427515603,0.7853755710313609,34.3490022947197,34.27718097826089,33.1899993233059,35.60720173913046
ssp126,2067,5.601966584818711,5.487647995724757,4.335729264776348,7.484146171831108,0.25182632559190865,0.2863069323229822,-0.26095058935341686,0.6465346862484227,34.0086884580498,34.249927391304375,32.51500423265542,35.045648478260894
ssp126,2068,5.908651600894089,5.812497406049032,3.501227126313301,8.850061645092845,0.24260238051833366,0.34119971846926356,-0.7812767516269681,0.6752293635803718,33.82150964441906,33.788757854959265,32.068579831330695,35.843531086956546
ssp126,2069,5.436488675709404,5.496141691091619,4.4091931969856715,6.6152916660917995,0.2633342372322003,0.22096776204330293,-0.381929811597742,0.9693893207955832,34.08103398115267,34.34004894754163,32.40031826086959,35.67879782608698
ssp126,2070,5.010069827663849,4.997754302338956,3.5819016859583646,6.2188949296924925,0.14113320830150938,0.16523505829180685,-0.5649569928640641,0.6352085917311225,34.394534786278406,34.147965434782634,33.66499880434785,35.470071195652196
ssp126,2071,4.775530459968326,4.265848727819055,3.6040041491408625,6.0706366569262915,-0.011687169008538438,-0.18256863713325494,-0.6237893663845414,0.4927646967575207,34.3229183925741,34.30085597826089,33.129070315153726,35.29500566565474
ssp126,2072,5.42195135114708,5.020440156810539,3.6760273405532455,8.03847779576133,0.2289362848411863,0.17126316345291326,-0.6369650326855498,1.2623869270319144,34.099570900077765,34.0205541196077,32.38173197870672,36.15761086956524
ssp126,2073,5.317922055289714,5.1120175587378265,3.772106074273676,7.277385498744184,0.1548574852383331,-0.002345859437580578,-0.5299513530231603,1.0913560520604764,33.936530780153156,34.23513478260872,31.87529293478263,35.18358576086958
ssp126,2074,5.359717577754593,5.290722613069357,3.4416327969873075,7.251568394296117,0.15034564071797704,0.26533314489000626,-0.9827761411315215,1.0236977079319465,34.16147380503277,33.81307074505352,32.07089880434785,36.21282336956524
ssp126,2075,5.029134464363197,4.610933891017334,2.9998778755918347,7.849175671814042,0.06429188140357163,-0.08836246058653208,-0.7096700842007959,1.1299289951272313,34.144100729055495,34.05633380434785,33.08647260869568,35.33717543478264
ssp126,2076,5.858572155920997,5.842855999217893,4.289886817732737,7.437013138727203,0.45693229393617063,0.6518931799933999,-0.5879040319548294,1.1686000916728485,33.782511786917325,33.620301739130454,32.12160246475885,35.85461744225546
ssp126,2077,5.252234820846032,4.9372512174039205,3.3657745865188016,7.47292862926598,0.15911230598538859,0.20208379593079556,-0.6595774277072575,0.9737288478655696,34.28037400595595,34.623881663446866,32.337966454547406,35.73601054315984
ssp126,2078,5.1695223901520695,5.095302748013044,2.786783200702313,7.081062649633783,0.12569219572380216,0.09581983031408561,-0.7091574607600462,1.1086516062776735,34.259528380804305,34.1517011956522,33.04109908394194,35.55016131193744
ssp126,2079,5.512939159435771,5.643891896634782,3.8208430171967867,7.2529098264640055,0.2326801848037858,0.30487505153869676,-0.46958524613471725,0.9687786751818341,33.91050409346999,34.10273217391306,33.02155108695654,34.718783152173934
ssp126,2080,5.361771805712219,5.373507073392,3.8560588316008495,7.23063735896788,0.16368770395540694,0.13322949464356884,-0.4590031374919473,0.8531315392134264,34.11088989526723,34.015421956521756,32.33252554347828,35.76772825821588
ssp126,2081,5.126606797206261,5.0875888152109,2.7399187708631816,6.61573311843763,0.017428305588930704,0.048312600255010746,-0.7698129669776379,0.7685239734957623,34.19994281982677,34.34842104704486,32.77537858695654,35.33390804347828
ssp126,2082,5.224327126316116,5.136984275901558,3.9341593816907134,6.7152341915238685,0.11973940503837494,0.2032549842338636,-0.45178941783763804,0.7444082658982456,34.070850122863924,34.01869321076769,32.0145846159562,35.40159261952278
ssp126,2083,4.832558311065184,4.716772914976652,3.3996118214463067,6.276129195145573,-0.06890212738076675,-0.03357096306487134,-0.5195288845444223,0.638608065367398,34.52433921955371,34.56122210958732,33.496197443423085,35.72411366338317
ssp126,2084,5.023273969767666,4.99892137164313,3.659808994668523,6.7127054698201265,0.09128569994485755,0.03532491393036087,-0.4819126409404061,0.7649556293881928,34.217316703886766,34.41591431990916,33.225767251719624,35.083725340470046
