ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_spi,med_spi,p10_spi,p90_spi,mean_tasmax,med_tasmax,p10_tasmax,p90_tasmax
ssp126,2021,4.975043923729973,5.0435418381430726,3.744417562723318,6.705187510709505,-0.029181239375839906,0.07512577120489548,-0.7666089520005417,0.6647858788380828,33.779146109444774,33.65737010869567,32.4301589130435,34.8672221971595
ssp126,2022,5.238739957414359,4.914225946938805,3.8093885757465182,7.3153931939398,0.08986366355953086,0.061694745893864276,-0.4830469014547027,0.8680146675061717,33.765399179685,33.62823858695654,32.61804816204571,35.33563923913046
ssp126,2023,5.8754970125950114,5.350234549915777,3.9183350175040603,7.543653511932695,0.4071582749704403,0.3069470442586856,-0.1994118576364754,1.1387170616469333,33.20727406446882,33.01071184782611,32.026408913043504,34.687214239130455
ssp126,2024,4.552664484266475,4.303916222031325,2.6099363922741095,7.046285675078686,-0.07472392283598978,-0.2015782467947398,-0.9512405128635864,1.0667909097673107,34.218347793764885,34.23072902173915,32.69887794826344,35.813234891304376
ssp126,2025,5.201184038531887,5.290412282849131,3.3854422574254706,6.961637635430096,0.18080098215010068,0.18392030707660903,-0.5152515517903226,1.146655270295282,33.74099623920325,33.437013576341734,32.828051413043504,35.23244330364727
ssp126,2026,5.1586603066415115,5.211995107536783,3.338919540539222,7.217779582477566,0.0863847957341925,0.06711294089705808,-0.7106870775067359,0.9611055154457306,33.665881816140896,33.5546991304348,32.20962739130437,34.76868889850121
ssp126,2027,5.175014924797728,4.989606931825466,4.01006362202939,6.726510215983433,0.12414950807534958,0.08895216685952106,-0.5295613249492793,0.9094216304258433,33.4649048453928,33.45719199802567,32.55660698932152,34.7320014130435
ssp126,2028,5.168601949669314,5.344608165365867,3.5218207699204385,7.435752758382093,0.06303114543832102,0.20117708691400005,-0.5205925266468019,0.8876604661829406,33.75653767065584,33.75790260869567,32.38466000764269,34.96366336956524
ssp126,2029,5.137506232176121,5.206823843353692,4.075530306742619,6.579618766183723,0.05639032450097064,-0.10406160697923966,-0.6410818670528359,0.8042786114426835,34.13639462794588,34.212989021739155,33.11580717391307,34.787290689219624
ssp126,2030,5.915781278635539,5.8240059393665735,3.893572073167231,7.446906617232497,0.32022714455853735,0.363201151907246,-0.5168073641935846,1.1335173871003268,33.53881326040709,33.41912782608698,32.836947764521085,34.96854510869568
ssp126,2031,5.7100871290574275,5.328367253905292,4.446826111675576,7.780239581159459,0.3080911792527707,0.36152943861993614,-0.40180192531147185,0.9262598432331723,33.76942879217114,33.63567571225376,32.61267086956524,35.01217489130437
ssp126,2032,5.490435689945762,5.494785260757089,3.173871063404694,8.022261877927123,0.1399489346900753,0.2681213991585127,-0.8887222302389247,1.0121567774556177,33.827949788694546,33.771761739130454,33.01514282608698,34.97210423913046
ssp126,2033,5.488221271308942,5.536867265860899,3.8958666509179403,7.309132569089511,0.23569843380410732,0.15075796146648668,-0.38019490758517627,1.1234314503850251,33.807826305881946,33.855757870881476,32.30686605702278,35.140060543478285
ssp126,2034,4.979066703623327,4.7410865220268175,3.405834521126353,6.416343916411989,-0.01286794974000366,-0.05172180325236304,-0.4407665123723217,0.5196317345582563,34.05848360033121,34.03902853260872,32.98864086956524,35.24005578082543
ssp126,2035,5.288417731033053,5.786405130162624,3.51401989967039,6.857937265192624,0.11447325538758074,0.18307200408678725,-0.5460773223954855,0.7236112613355934,34.189810110611404,33.8275261257006,32.46254252558172,35.787518907629945
ssp126,2036,5.674962008919667,5.5083010080528,3.9147802901498605,7.4723192827730545,0.23009001277830643,0.13423049248394778,-0.41126933412119104,0.8663790726022899,33.70370665865504,33.81005195652176,32.25930806035583,34.92799804347828
