ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_rzsm,med_rzsm,p10_rzsm,p90_rzsm
ssp126,2015,22.433094930856228,21.158393215899288,16.962901178291677,29.399368328384224,,,,
ssp126,2016,22.740021533732005,21.708943847188493,16.979344932460105,28.789489471977443,,,,
ssp126,2017,21.66495944136693,21.90477738165629,17.552286316790845,26.192296094335063,,,,
ssp126,2018,24.892097206238546,24.317140046608536,19.334814176639796,32.00539549849124,,,,
ssp126,2019,22.653890846114656,21.942436446941876,18.087016687989657,26.448145419195388,,,,
ssp126,2020,24.18884219155167,23.959139453758464,19.47525476246255,28.45676832541145,,,,
ssp126,2021,20.577776691369273,21.153145722051704,14.34089782436899,26.42218961349628,,,,
ssp126,2022,21.003372179906787,20.822633210885876,17.450567520930303,24.780328067048874,,,,
ssp126,2023,21.808774367549614,21.174328453329352,17.058274626198187,25.76857447273061,,,,
ssp126,2024,23.002675162710805,22.333039845864512,17.935614306572955,27.584872883413098,,,,
ssp126,2025,23.21750613987233,22.347489979098555,18.885608532502008,27.563784771951255,,,,
ssp126,2026,22.157074899410343,21.95458574781403,18.09368746069225,26.76575282332043,,,,
ssp126,2027,21.75887232802651,21.57502480542766,16.189058693310532,27.94339832786909,,,,
ssp126,2028,23.686778878594875,22.546131870993765,17.02963300931427,29.310491045177955,,,,
ssp126,2029,22.813070441062653,21.243215110810446,18.85098614560494,29.0313815797596,,,,
ssp126,2030,22.851595364987887,22.52657160432412,18.563849763261743,28.09980503306439,,,,
ssp126,2031,23.064348213753377,23.080776522377462,18.173667745982566,27.66345644567922,,,,
ssp126,2032,23.550338194500036,22.8406454484801,17.32519737542381,30.314939327660856,,,,
ssp126,2033,23.465701413718342,24.02891259615196,16.374574943005815,29.064897332538802,,,,
ssp126,2034,22.786388491527596,23.637933113990407,17.038096555836983,25.500605675021827,,,,
ssp126,2035,23.222646698173566,22.928158298417,18.89015350815609,27.720555633514294,,,,
ssp126,2036,23.96269311649738,23.03042892804301,19.394167742332414,28.60695071858566,,,,
ssp126,2037,22.871571189345264,23.27430598195742,16.77487148488166,28.41884244343493,,,,
ssp126,2038,23.707415566395536,23.189236418321542,17.777589989988588,29.005910551069945,,,,
ssp126,2039,22.845559050854405,22.282672401062324,18.15260159425325,28.790151244126424,,,,
ssp126,2040,21.534446500058856,21.930631305550207,15.635292720664689,26.846220786790845,,,,
ssp126,2041,20.89161286886963,20.440619650053208,16.985921322262787,27.664815234319523,,,,
ssp126,2042,24.304537277496056,22.778481261585245,17.91708634537615,30.042186837361808,,,,
ssp126,2043,24.230265246655843,23.090795704781264,19.793861247997025,31.053771184017712,,,,
ssp126,2044,20.951757411587327,20.985434932911787,15.90723353181118,25.330512481021827,,,,
ssp126,2045,22.30677237197639,22.19307101989935,16.70839233086849,28.62811083718082,,,,
ssp126,2046,25.428298505523127,24.92425811789289,18.977863074106683,33.07329573353298,,,,
ssp126,2047,24.29628185863778,22.94333628753229,19.07839402210825,29.798426177192116,,,,
ssp126,2048,23.50878619066276,22.530894435894496,18.818793250321193,30.52885266815021,,,,
ssp126,2049,22.533397189578785,21.990284876221715,19.927274268207693,26.491111026127864,,,,
ssp126,2050,22.009982377165837,22.52597485050628,17.158132288155816,26.095620074640046,,,,
ssp126,2051,23.75710375358693,24.592346157554466,18.924632732078216,26.251737000878464,,,,
ssp126,2052,22.622288766593154,22.655002266436163,17.557869699261545,28.028018807281924,,,,
ssp126,2053,23.85879874896449,22.985511331185627,19.44598797829759,31.393821712572347,,,,
