threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-1_tasmax>32.22,ssp126,2021,15,0,4,0,0,0,3,0,11,14,0,0,12,0,20,0,1,1,17,0,6,13,0,3,0,0,0,3,0,11,14,0,0,12,0,17,0,0,0,14,0,5,2,0,1,0,0,0,1,0,2,2,0,0,2,0,3,0,0,0,3,0,2,8,0,3,0,0,0,3,0,9,11,0,0,9,0,7,0,0,0,8,0,3,6.5,0.0,3.0,0.0,0.0,0.0,3.0,0.0,5.5,7.0,0.0,0.0,6.0,0.0,5.67,0.0,0.0,0.0,4.67,0.0,2.5,4.9523809523809526,1.0,0.0,15.0,4.380952380952381,0.0,0.0,14.0,0.8571428571428571,0.0,0.0,2.0,2.9047619047619047,0.0,0.0,9.0,2.087619047619048,0.0,0.0,6.0
spi<-1_tasmax>32.22,ssp126,2022,0,2,32,8,2,0,27,11,0,0,0,3,0,1,10,0,0,0,10,0,0,0,0,30,4,2,0,25,10,0,0,0,3,0,0,9,0,0,0,10,0,0,0,0,4,1,1,0,8,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,21,4,2,0,6,8,0,0,0,3,0,0,5,0,0,0,10,0,0,0.0,0.0,7.5,4.0,2.0,0.0,3.12,5.0,0.0,0.0,0.0,3.0,0.0,0.0,4.5,0.0,0.0,0.0,10.0,0.0,0.0,5.0476190476190474,0.0,0.0,11.0,4.428571428571429,0.0,0.0,10.0,0.9523809523809523,0.0,0.0,2.0,2.8095238095238093,0.0,0.0,8.0,1.862857142857143,0.0,0.0,5.0
spi<-1_tasmax>32.22,ssp126,2023,1,14,0,3,0,0,0,27,0,2,0,0,38,4,7,1,6,4,1,0,0,0,14,0,2,0,0,0,27,0,2,0,0,35,4,6,0,5,4,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,6,1,2,0,2,1,0,0,0,0,10,0,2,0,0,0,16,0,2,0,0,11,4,3,0,3,4,0,0,0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,13.5,0.0,2.0,0.0,0.0,5.83,4.0,3.0,0.0,2.5,4.0,0.0,0.0,0.0,5.142857142857143,1.0,0.0,14.0,4.714285714285714,0.0,0.0,14.0,0.8571428571428571,0.0,0.0,2.0,2.619047619047619,0.0,0.0,10.0,2.087142857142857,0.0,0.0,5.83
spi<-1_tasmax>32.22,ssp126,2024,1,2,12,2,2,0,0,6,9,4,13,13,0,3,21,38,1,18,0,0,0,0,0,11,0,2,0,0,6,9,4,12,13,0,3,20,38,0,18,0,0,0,0,0,3,0,1,0,0,1,3,1,2,2,0,1,5,3,0,2,0,0,0,0,0,5,0,2,0,0,6,4,4,8,11,0,3,8,17,0,10,0,0,0,0.0,0.0,3.67,0.0,2.0,0.0,0.0,6.0,3.0,4.0,6.0,6.5,0.0,3.0,4.0,12.67,0.0,9.0,0.0,0.0,0.0,6.904761904761905,2.0,0.0,18.0,6.476190476190476,2.0,0.0,18.0,1.1428571428571428,1.0,0.0,3.0,3.7142857142857144,2.0,0.0,10.0,2.84952380952381,2.0,0.0,6.5
spi<-1_tasmax>32.22,ssp126,2025,1,0,25,20,2,0,0,13,7,5,0,2,19,0,0,1,3,17,27,28,4,0,0,22,19,2,0,0,12,6,5,0,2,19,0,0,0,3,14,27,23,2,0,0,4,4,1,0,0,2,2,1,0,1,3,0,0,0,1,4,2,7,1,0,0,8,11,2,0,0,9,4,5,0,2,12,0,0,0,3,6,14,7,2,0.0,0.0,5.5,4.75,2.0,0.0,0.0,6.0,3.0,5.0,0.0,2.0,6.33,0.0,0.0,0.0,3.0,3.5,13.5,3.29,2.0,8.285714285714286,3.0,0.0,25.0,7.428571428571429,2.0,0.0,22.0,1.5714285714285714,1.0,0.0,4.0,4.0476190476190474,2.0,0.0,11.0,2.8509523809523807,2.0,0.0,6.0
spi<-1_tasmax>32.22,ssp126,2026,0,0,8,6,23,1,18,13,6,0,1,0,14,19,0,2,3,0,0,0,0,0,0,6,3,22,0,18,12,5,0,0,0,12,19,0,0,2,0,0,0,0,0,0,2,1,4,0,4,2,2,0,0,0,2,3,0,0,1,0,0,0,0,0,0,4,3,8,0,9,7,3,0,0,0,8,9,0,0,2,0,0,0,0,0.0,0.0,3.0,3.0,5.5,0.0,4.5,6.0,2.5,0.0,0.0,0.0,6.0,6.33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.428571428571429,1.0,0.0,18.0,4.714285714285714,0.0,0.0,18.0,1.0,0.0,0.0,3.0,2.5238095238095237,0.0,0.0,8.0,1.849047619047619,0.0,0.0,6.0
spi<-1_tasmax>32.22,ssp126,2027,10,9,0,1,13,12,5,15,0,0,0,0,1,0,0,14,2,0,4,3,8,10,8,0,0,13,12,5,11,0,0,0,0,0,0,0,11,2,0,4,2,8,3,3,0,0,3,1,2,2,0,0,0,0,0,0,0,2,1,0,1,1,2,4,4,0,0,6,12,3,9,0,0,0,0,0,0,0,8,2,0,4,2,5,3.33,2.67,0.0,0.0,4.33,12.0,2.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.0,0.0,4.0,2.0,4.0,4.619047619047619,2.0,0.0,13.0,4.095238095238095,2.0,0.0,11.0,1.0,1.0,0.0,3.0,2.8095238095238093,2.0,0.0,8.0,2.2776190476190474,2.0,0.0,5.5
spi<-1_tasmax>32.22,ssp126,2028,0,0,1,14,20,0,3,14,7,20,0,26,1,10,12,0,5,0,28,2,0,0,0,0,13,19,0,2,14,7,20,0,26,0,10,10,0,3,0,27,0,0,0,0,0,3,5,0,1,2,2,2,0,4,0,1,2,0,1,0,3,0,0,0,0,0,7,5,0,2,12,4,13,0,11,0,10,8,0,3,0,21,0,0,0.0,0.0,0.0,4.33,3.8,0.0,2.0,7.0,3.5,10.0,0.0,6.5,0.0,10.0,5.0,0.0,3.0,0.0,9.0,0.0,0.0,7.761904761904762,3.0,0.0,20.0,7.190476190476191,2.0,0.0,20.0,1.2380952380952381,1.0,0.0,3.0,4.571428571428571,2.0,0.0,12.0,3.0538095238095235,2.0,0.0,9.0
spi<-1_tasmax>32.22,ssp126,2029,6,23,1,5,3,2,3,17,0,4,12,0,5,4,0,1,10,12,17,11,3,4,23,0,2,2,2,3,15,0,4,11,0,4,3,0,0,8,12,17,10,2,1,3,0,1,1,1,1,3,0,2,2,0,2,1,0,0,1,1,3,2,1,4,12,0,2,2,2,3,7,0,2,8,0,2,3,0,0,8,12,7,7,2,4.0,7.67,0.0,2.0,2.0,2.0,3.0,5.0,0.0,2.0,5.5,0.0,2.0,3.0,0.0,0.0,8.0,12.0,5.67,5.0,2.0,6.619047619047619,4.0,0.0,17.0,5.809523809523809,3.0,0.0,15.0,1.2380952380952381,1.0,0.0,3.0,3.9523809523809526,2.0,0.0,8.0,3.3733333333333335,2.0,0.0,7.67
spi<-1_tasmax>32.22,ssp126,2030,0,11,13,21,2,4,0,6,4,2,2,16,10,5,6,24,0,18,22,0,0,0,11,12,19,2,3,0,5,4,2,0,16,7,4,5,24,0,18,22,0,0,0,2,2,4,1,1,0,1,2,1,0,5,2,1,2,2,0,2,4,0,0,0,7,10,8,2,3,0,5,2,2,0,6,5,4,3,15,0,15,10,0,0,0.0,5.5,6.0,4.75,2.0,3.0,0.0,5.0,2.0,2.0,0.0,3.2,3.5,4.0,2.5,12.0,0.0,9.0,5.5,0.0,0.0,7.904761904761905,5.0,0.0,21.0,7.333333333333333,4.0,0.0,19.0,1.5238095238095237,1.0,0.0,4.0,4.619047619047619,3.0,0.0,10.0,3.330952380952381,3.0,0.0,6.0
