ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_rzsm,med_rzsm,p10_rzsm,p90_rzsm
ssp126,2015,28.74948180685194,27.396389857959825,24.2731392495996,34.43017473431685,,,,
ssp126,2016,27.143866718080975,26.78275522105674,23.160339644120217,32.28878602448357,,,,
ssp126,2017,27.864579644068293,26.729326069745753,24.00537902595459,33.267593650954275,,,,
ssp126,2018,29.1962504431513,29.703431306465266,24.229353259769898,34.034154253505,,,,
ssp126,2019,29.51056651167228,29.025360523086427,27.378428910043578,32.92518409510056,,,,
ssp126,2020,30.522279488895563,30.030959794840204,23.199265282614448,39.13151708873512,,,,
ssp126,2021,28.553044385930693,27.953910875584683,22.86667141788893,34.35865458637246,,,,
ssp126,2022,27.98959364953746,28.07158258730675,23.22728325180134,33.7848492557998,,,,
ssp126,2023,28.905068981735734,28.868381571186806,23.827213177349527,34.275435787049034,,,,
ssp126,2024,29.676910134113324,29.48192497099014,26.196176889820112,33.40586779084546,,,,
ssp126,2025,28.22910745428624,27.766590000751766,25.05071809579702,32.286808123300354,,,,
ssp126,2026,28.34477769549328,28.14460526768891,24.83595083470099,32.780572181439936,,,,
ssp126,2027,28.269296109379784,28.21307019305826,24.337549008682846,31.448048588304946,,,,
ssp126,2028,29.58301341470745,28.5807179673506,25.610029987773178,35.32671888045125,,,,
ssp126,2029,28.662558336701046,29.049402196986563,23.157593596114232,32.3458464937327,,,,
ssp126,2030,28.892923469003925,28.5102532769591,23.535456554834063,33.26460063811813,,,,
ssp126,2031,29.68352016634411,30.430166470746816,25.62777140625942,32.08079983108056,,,,
ssp126,2032,29.955160821530555,29.070969600722123,26.533796522355317,34.317605982749676,,,,
ssp126,2033,30.210480203677335,30.93311206458109,22.316610183205267,37.11166484965484,,,,
ssp126,2034,30.85141399470186,29.514162731922823,26.988463235912807,36.541934846152934,,,,
ssp126,2035,30.008683251382408,29.96846128934576,26.916096646298215,34.217981568373766,,,,
ssp126,2036,29.62908611282106,29.250482225169854,25.36883287672925,33.1750403801914,,,,
ssp126,2037,30.12361376189732,29.41814025614545,26.487905130837568,34.854178921184456,,,,
ssp126,2038,28.808725999076945,28.976806115177087,24.997257611769864,33.929849869787915,,,,
ssp126,2039,29.411248942562544,28.952218914034923,26.13831299093793,32.88803360706553,,,,
ssp126,2040,28.01956257743201,27.09647409007853,22.886395311322175,32.5574830440493,,,,
ssp126,2041,29.66026578094868,30.21344100731079,25.27568092399776,32.89867493429991,,,,
ssp126,2042,30.556823621239,30.661307526008265,25.650454559503686,35.687166206788696,,,,
ssp126,2043,30.91388726319357,30.61142806609707,26.61824486313127,36.743995996919075,,,,
ssp126,2044,28.860816966122,29.088629919965424,23.482936069569362,34.460876947606,,,,
ssp126,2045,29.29412741049268,28.601608094303863,22.506647649713727,35.111971017588985,,,,
ssp126,2046,30.26749081820059,30.136117254332696,27.440567625550774,33.102902454627994,,,,
ssp126,2047,30.00523743120831,29.69340965835609,25.99904177767937,35.00863829932798,,,,
ssp126,2048,30.645406475762936,30.61672314669422,28.255600415153733,34.301431163554014,,,,
ssp126,2049,29.72217242782543,28.573906507508127,26.104691964971902,35.50049993571118,,,,
ssp126,2050,29.109615648104832,28.685931094658656,24.272340279326123,33.87776706725097,,,,
ssp126,2051,29.749325236141058,29.886774601246707,25.394973293671793,34.202782420653335,,,,
ssp126,2052,29.67081247758416,28.814476249436566,24.78698332316852,37.13508761251442,,,,
ssp126,2053,29.254027390670288,29.76851676347333,22.721088678995184,34.576926225450094,,,,
ssp126,2054,29.139672206843212,28.04630213532577,25.25102983593732,34.11133050887832,,,,
ssp126,2055,28.89137136084997,28.959114949148493,24.16923454875862,33.61752118765822,,,,
ssp126,2056,29.54749642844625,29.879111632203962,26.100144250202582,32.68963230848001,,,,
ssp126,2057,28.76827126851773,29.011397959748418,26.518466579671117,31.34262678526856,,,,
ssp126,2058,29.688623207302225,31.119211445529128,23.088906535728114,35.50268952178889,,,,
ssp126,2059,28.94373291685972,28.602682230371894,25.037953123626146,33.09105601888982,,,,
ssp126,2060,29.185181362045356,28.32737840362449,25.00213830870577,34.716369870468846,,,,
ssp126,2061,29.379773462815418,29.763026160862317,24.605772888418294,34.01776746372311,,,,
ssp126,2062,30.38177198642505,31.013458501269938,25.224702056269958,36.112812466317145,,,,
ssp126,2063,29.834480951761005,30.104263419828712,22.27288112270198,36.702583050699545,,,,
ssp126,2064,28.242328681156675,27.012803264574078,23.06257457991978,33.17907705547339,,,,
ssp126,2065,30.12650368683446,30.41602235479962,26.424773235244697,33.88238570944191,,,,
ssp126,2066,29.815855545470775,29.38177442036011,25.545732038237237,34.195731336951496,,,,
ssp126,2067,29.453853383271735,29.87649475261194,26.607040804963074,32.91071678223371,,,,
ssp126,2068,30.298937553146335,30.86027451929992,24.744335449089625,34.60063632445429,,,,
ssp126,2069,29.359817725193604,27.931757938487834,25.37174659737928,34.42936040414894,,,,
ssp126,2070,29.36124003757004,28.462676890601784,24.96853687565787,35.059344040613624,,,,
ssp126,2071,28.596400082868794,28.134756515487876,24.12828559597959,33.9614029610205,,,,
ssp126,2072,29.444323480976564,28.691205831336262,25.243885227665096,34.05519254672861,,,,
ssp126,2073,28.253196976537094,27.687179310577374,23.425756738095657,32.45495438193335,,,,
ssp126,2074,29.550520644515384,29.811064586297718,24.29515885024768,34.596327269820236,,,,
ssp126,2075,28.355611087075875,28.048309041251272,24.704531268506386,31.84167930039647,,,,
ssp126,2076,30.909559364652058,32.26633693536365,25.102201083354114,34.746728934526644,,,,
ssp126,2077,29.48691695844838,29.53260759274605,25.59592904746299,33.28977009822541,,,,
ssp126,2078,29.128482807706984,29.531943942280137,23.613992732321773,34.503371520145784,,,,
ssp126,2079,31.73357273238894,30.536400216265932,27.430573169658683,36.97435206202106,,,,
ssp126,2080,30.405620082299606,29.83763736332952,25.502401271345473,36.391152432586665,,,,
ssp126,2081,29.883593092432434,29.348543258582435,25.357354249429974,34.984440274589986,,,,
ssp126,2082,28.492984683465036,28.842625853299612,23.893898287853002,31.91568581800988,,,,
ssp126,2083,30.236806139767427,29.9092592473983,25.822244874220818,34.33069571309468,,,,
ssp126,2084,30.416030544890486,31.152703117850493,25.912910056193994,34.63827893841276,,,,
ssp126,2085,28.66927351683745,28.008643588087647,23.533339094155846,34.347516611848405,,,,
ssp126,2086,30.53621822864767,28.86791311917331,25.195180174528637,36.73642395502845,,,,
ssp126,2087,30.430172925448346,31.275006667855074,24.436799307614994,34.45101828250226,,,,
ssp126,2088,29.73209220272867,29.794525784944938,25.32765365391641,33.80975516433572,,,,
ssp126,2089,30.32154333245848,30.19120506427369,26.689387455144615,33.25998314165603,,,,
ssp126,2090,29.83009458837795,29.25905343313127,24.882186008122275,36.42146268500763,,,,
ssp126,2091,30.254111631422564,29.99315407314459,26.487706881161742,34.369985021602695,,,,
ssp126,2092,29.710039606834744,30.609003414422173,24.941001151117362,33.2589688373886,,,,
ssp126,2093,29.27188497984359,29.025331804442537,25.03036483088123,32.67478930315572,,,,
ssp126,2094,29.791950848937166,29.214061228648088,23.86654029914938,36.40969147118723,,,,
ssp126,2095,29.721598133303157,30.41381146000102,26.59362383713229,33.88374726216924,,,,
ssp126,2096,30.167909801483464,30.27350291671815,26.45004235765367,33.75932910753442,,,,
ssp126,2097,30.389195428469883,29.95286240519352,26.441811417082555,35.41915204194934,,,,
ssp126,2098,30.04135881416119,29.288346414265483,27.161408037486016,34.39127320106551,,,,
ssp126,2099,30.570425458321232,30.20150317761137,25.45507535483527,36.67772214688025,,,,
ssp245,2015,27.852064076905027,27.008980574707486,23.588631318057185,31.95792289841068,0.27705027419178085,0.2771953506849315,0.2574313068493151,0.2932360575342466
ssp245,2016,29.420259430906047,29.423551899411812,26.001462094241965,34.672154579400456,0.2783086008743169,0.27898519125683063,0.2582700213114754,0.2967769333333333
ssp245,2017,29.22913283290238,29.04335268870276,24.083324858625897,34.722516840026664,0.2736779976986301,0.27729019452054793,0.2546766597260274,0.2932073057534247
ssp245,2018,28.99272612766372,28.58306651736376,25.137833007923838,33.57120924484779,0.2721061826849315,0.2702184520547945,0.25526737315068493,0.2911218087671233
ssp245,2019,29.11878442480004,29.63160065755405,24.255150150502505,34.085937662704254,0.27813605073972597,0.2826293643835616,0.2573923068493151,0.2935815621917808
ssp245,2020,28.96823290177209,27.5034471738649,24.42531610471693,35.13511444133035,0.27550677147540986,0.27797771311475405,0.2586960486338798,0.2904275213114754
ssp245,2021,28.425480147615794,28.240765894721704,24.957889671200373,32.021710353012566,0.2765430579726027,0.2762581698630137,0.25604284164383556,0.2939201402739726
ssp245,2022,29.51821215431318,29.79841235416781,23.127713309097036,34.02881418064067,0.2766444208219178,0.2794984657534247,0.25453237643835613,0.2939971408219178
ssp245,2023,30.391466534444252,29.54664342199978,26.51139362049213,35.66323838075849,0.27888899024657543,0.27835217534246576,0.2630283309589041,0.2949793336986301
ssp245,2024,29.230848592089288,28.541750774438544,25.541651820463002,34.73374428188247,0.27835431158469953,0.27990234699453553,0.26714833005464483,0.2904549579234973
ssp245,2025,27.177603626286693,27.39870984252762,24.059573266181882,29.912365646873333,0.26976298290410966,0.26841857808219177,0.25570473041095887,0.2845345347945205
ssp245,2026,29.259883974644694,30.332924819971815,23.340680156666814,33.47235156238601,0.2772656712328767,0.27996883561643837,0.26171219671232876,0.2941729495890411
ssp245,2027,28.73017853941427,28.022598785970768,24.52018968607,34.7672689388566,0.2725098229041096,0.2757657479452055,0.24017966520547945,0.2949698558904109
ssp245,2028,30.281914713097766,29.461308744068432,25.42426208336304,36.46566301060821,0.2755830390163934,0.28033535792349723,0.26093531366120215,0.2895478136612022
ssp245,2029,29.898175274373774,28.44625142172501,25.661719658349764,37.02320466448701,0.2792556699178082,0.2786018794520548,0.26196591506849315,0.29415725205479454
ssp245,2030,28.935187366020546,29.506537757072536,23.73943670280727,32.03936561518613,0.2760853543013699,0.27774014794520546,0.2592234684931507,0.2886876087671233
ssp245,2031,28.305938114601794,28.109616322530314,22.328436945417767,33.57344787612144,0.27723538980821916,0.27744785205479455,0.2530954794520548,0.295835461369863
ssp245,2032,30.425721668217033,29.50459963016861,25.374944506634222,36.43609143551488,0.2797931243715847,0.2828014426229508,0.2600909994535519,0.29267220710382513
ssp245,2033,29.373825300666148,29.845816425702914,23.83535504239483,35.66550287502917,0.27613440317808213,0.27940489315068495,0.2531106695890411,0.292735618630137
ssp245,2034,29.62755350402932,30.225579637197676,24.231425459525497,36.52271334918692,0.2763959596712329,0.2760580493150685,0.2535208082191781,0.2975011621917808
ssp245,2035,29.613731783362503,28.893470834368188,26.03951657225403,34.79351749123222,0.27952274279452055,0.2803325780821918,0.2662767304109589,0.29548817917808223
ssp245,2036,27.72111929912021,27.632940465970982,22.52098247728146,32.68210031265297,0.2759917262295081,0.27896745355191255,0.25580986721311477,0.2933450486338798
ssp245,2037,29.752663239423146,30.62788080360999,25.486527748239617,34.65421190243774,0.27356948493150685,0.2757267808219178,0.2579957512328767,0.2903514810958904
ssp245,2038,30.3713674879897,30.416067189659195,26.603319698613447,36.672807557632176,0.2780054031780822,0.28070806301369866,0.2587172602739726,0.29063252657534244
ssp245,2039,30.618095549857845,30.15164193778503,23.393354578851625,36.3148788637145,0.2785036855890411,0.28184981643835616,0.25375882794520543,0.2970193561643835
ssp245,2040,29.5512124277751,29.095178469560175,24.449271787597556,35.2266261177029,0.27342642382513666,0.27051943989071037,0.2541676103825137,0.2933887295081967
ssp245,2041,29.906639679218298,29.985017444013742,24.16488070977046,34.52162057777179,0.278202682958904,0.2805636794520548,0.2541838471232877,0.2947652624657534
ssp245,2042,29.599182665570968,30.702824757899556,24.270468713068833,33.2940747545605,0.2710154175342465,0.27574139726027397,0.2439834076712329,0.28970185260273973
ssp245,2043,30.721208195919317,29.56793483142571,26.568294920276156,36.045527889799324,0.27749609709589046,0.2786643808219178,0.2659894564383562,0.28803249205479453
ssp245,2044,30.233108919701014,30.02789172190767,25.84652365747314,34.051709403124036,0.27589403672131146,0.2753649972677596,0.2668517513661202,0.2888318431693989
ssp245,2045,29.804653089658473,29.70516884537,25.53807112454402,34.373155957903506,0.2721698369315068,0.27179390684931504,0.25072142520547946,0.2879250224657534
ssp245,2046,28.804758845677917,28.144743660481772,24.602966564051133,33.30714187166609,0.2759611534246575,0.2817531917808219,0.2519120356164384,0.2936025260273973
ssp245,2047,29.66543378216662,28.936073436155485,25.06525738895689,34.962194019288056,0.27416176756164384,0.2752805095890411,0.2629745808219178,0.2890541736986301
ssp245,2048,29.925109566115587,29.01721728489638,24.242677775778162,35.39862054030274,0.2766738441530055,0.2780720901639344,0.26285282404371585,0.29279620437158466
ssp245,2049,29.55472161236489,29.547586940171442,24.43336621275516,33.303109340780175,0.27648502893150684,0.2821802,0.2584296871232877,0.28835458630136984
ssp245,2050,28.721144331263623,27.98772943346281,23.001277977868167,34.47265366445056,0.27128319726027394,0.2744021589041096,0.24872043342465755,0.2867851183561644
ssp245,2051,30.151199273090914,30.948170993991496,22.88582852940528,35.836386531125484,0.2755507414794521,0.281204797260274,0.25550890465753423,0.2938475364383562
ssp245,2052,31.239593286603757,31.048779138963408,26.22442146867088,36.071530914036295,0.27999377333333336,0.28210782513661203,0.2584187732240437,0.2967732945355191
ssp245,2053,30.181814833997308,30.643738568633403,25.39935746317702,35.217223617028125,0.27783704317808217,0.2810564684931507,0.25716887726027393,0.29455508712328765
ssp245,2054,28.90013487858645,29.426611146422417,23.37080747298186,33.63298004351704,0.27722089567123287,0.28338954520547943,0.2590063282191781,0.29045590684931505
ssp245,2055,28.414731029592907,28.88775061922095,26.025466077191975,31.708273827703955,0.27429209556164386,0.27522002739726026,0.2576253879452055,0.28941119342465754
ssp245,2056,29.728854217020583,30.012519050990683,26.142726351728886,33.551841390697284,0.2763670675409836,0.2806530956284153,0.2584704568306011,0.2895614349726776
ssp245,2057,30.57488054881834,30.623458115937723,25.98590361533443,34.79037872527963,0.2744839216438356,0.27652346027397257,0.24993019397260274,0.29024151452054797
ssp245,2058,30.27302661764655,30.420276780897197,25.24900104051331,34.628067466885426,0.27789344482191775,0.27878932328767125,0.25717308767123287,0.2944721479452055
ssp245,2059,30.56553974106397,30.893267625156724,25.965953796729075,34.95059027769831,0.28051484997260284,0.28283456164383564,0.2624163090410959,0.29247588493150684
ssp245,2060,31.857641781911294,31.42641208629542,28.307679671322205,35.85886531668053,0.27913798666666667,0.27977896174863387,0.27268531530054646,0.28679703387978145
ssp245,2061,29.17851669934312,28.974407111744924,23.606058556685216,35.84322553454135,0.27271772263013694,0.2777094493150685,0.24750851397260273,0.29389812712328767
ssp245,2062,29.64956068938934,29.396855327306614,24.009040872183824,34.68383896304979,0.27457845216438354,0.27974878904109585,0.2534261232876712,0.29256886191780823
ssp245,2063,28.524814351994674,27.355795700864903,22.785912457242954,35.49718296146302,0.2715939162739726,0.27864861369863014,0.24644145589041097,0.28915423671232876
ssp245,2064,29.979167996297704,28.8068159097788,25.88128875565493,34.33645012533211,0.2804898744262295,0.278627543715847,0.26775337540983607,0.29490765081967213
ssp245,2065,29.878218612886677,28.61792827538096,23.673721209724373,37.84303093684806,0.27570956975342464,0.2758529890410959,0.24959493863013701,0.2964449736986301
ssp245,2066,29.81063614541026,30.30140963878216,23.893943492729463,36.42805789827818,0.2741021297534247,0.27480265479452054,0.25512797479452054,0.292443794520548
ssp245,2067,29.79029585281989,29.612948512922618,23.576497785548735,34.391579647684566,0.2746673830136987,0.2750310684931507,0.25604072657534244,0.2920013249315069
ssp245,2068,30.425691328158994,29.631486430286195,25.466385602084777,34.43626512870529,0.27647334950819674,0.2776118907103825,0.25585468907103825,0.29547526010928965
ssp245,2069,31.328257460144947,31.57396871722012,25.619988314456226,36.39465311837167,0.27915441293150683,0.2831661808219178,0.2629677704109589,0.2944951616438356
ssp245,2070,28.78556311491851,28.49539507515078,24.452218207646464,33.37917695281998,0.27437126389041094,0.2805437616438356,0.24813305643835615,0.2941464471232877
ssp245,2071,30.56662187347599,29.938894998961786,25.372640596826354,35.9011226234539,0.27547482027397263,0.2752196684931507,0.2499329391780822,0.29659073369863015
ssp245,2072,29.895862012042926,30.351392732584962,23.500916500882084,34.41306201793545,0.2739811100546448,0.2764099480874317,0.24999271857923497,0.29095058633879783
ssp245,2073,30.97525061801516,30.22329328500536,25.465180770697497,37.9435900269665,0.27591496339726024,0.2764192,0.25692732602739726,0.296691618630137
ssp245,2074,28.643214653192015,28.383793925296068,23.32992662065254,34.64128860405601,0.2759168082191781,0.2809134219178082,0.25820798191780825,0.2919073139726027
ssp245,2075,30.344221235791995,30.61838959239401,26.04565029675109,36.56934898851538,0.276615186739726,0.28170855342465756,0.2507943282191781,0.2943897205479452
ssp245,2076,29.341191248780834,28.53078067362317,26.782278265118915,34.9562610108694,0.2721417583606558,0.2707697103825137,0.2545916469945355,0.29086811584699457
ssp245,2077,28.840957330083736,28.01757687325936,23.891255631599574,34.31751808292446,0.2712863911232876,0.27266645479452056,0.2525410202739726,0.2898915709589041
ssp245,2078,29.882348000336492,30.779404268225335,24.766925388992863,34.28281398542609,0.271652504109589,0.2766073561643836,0.24750808273972605,0.2913628153424658
