ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_rzsm,med_rzsm,p10_rzsm,p90_rzsm
ssp126,2015,23.383812396772374,23.280487076454335,19.53172279805237,27.751893908098978,,,,
ssp126,2016,23.57754016899453,23.475913056018797,19.917988148969684,27.434149419925305,,,,
ssp126,2017,23.07819933909337,22.073923819671556,20.317034798452475,27.524385143164043,,,,
ssp126,2018,24.0583483114955,23.962107454623652,20.107405043792035,29.348490880437723,,,,
ssp126,2019,24.1333320866985,24.59411880278647,19.800543838720642,28.682571605104844,,,,
ssp126,2020,24.48916629491257,24.18352994991688,21.910210011690044,27.7041481700352,,,,
ssp126,2021,23.891239770454096,24.313683176631955,19.900942100312168,28.095311811122222,,,,
ssp126,2022,23.979982416346708,23.922490425500676,20.40956416259956,26.660515333572025,,,,
ssp126,2023,24.950919332481643,25.13287659890442,21.856299116087524,27.09228783169008,,,,
ssp126,2024,23.79145549337095,24.353681217094753,20.257980697353926,26.36205153534034,,,,
ssp126,2025,22.923697102162013,23.232283620983587,20.147732053060864,25.478892518807292,,,,
ssp126,2026,23.700613501484746,23.628055432501846,19.700620942328985,27.200867602399345,,,,
ssp126,2027,24.04138432604232,24.419562884475496,20.390606437544427,26.96032953712297,,,,
ssp126,2028,23.717583222914797,24.21683693321078,19.812683612282108,28.523457555276075,,,,
ssp126,2029,23.473602328865855,23.58252938214023,18.13386627604368,28.297487677774342,,,,
ssp126,2030,23.854712246276957,23.25963055824873,20.25377139008989,28.348946195399176,,,,
ssp126,2031,25.123104960972785,24.683463793816248,22.250938030105804,28.93648314734225,,,,
ssp126,2032,24.581755147828176,24.051835641161247,22.933175521476844,25.66968425696972,,,,
ssp126,2033,23.183689374713193,22.518666695164974,19.96926252380706,27.349931859847878,,,,
ssp126,2034,25.508562414915772,26.005546619036913,22.27692888988812,28.32117775677495,,,,
ssp126,2035,24.905316677981922,24.823241823722036,19.65579272689753,29.430844738878275,,,,
ssp126,2036,24.573046456107793,24.208753931504916,21.80901335144746,28.176296252514533,,,,
ssp126,2037,25.558878651726445,25.050955673164236,22.613727414248753,29.172774391713716,,,,
ssp126,2038,23.796812396037538,22.83415265565713,20.962631385107333,27.868856938576453,,,,
ssp126,2039,23.859881743749256,23.26515222997036,20.126381430102672,28.678500751359273,,,,
ssp126,2040,23.705366512580643,23.053979944544416,21.294648247592907,27.612635884673743,,,,
ssp126,2041,24.265110388470784,24.32313646458691,21.220008473167695,26.440519157334943,,,,
ssp126,2042,24.509542322496205,25.069213675103562,20.21108070283375,28.688096332307722,,,,
ssp126,2043,24.334194860267328,24.128542040941934,19.130449208776152,27.869024275761344,,,,
ssp126,2044,24.16769864495889,23.790266044465618,21.70456544813589,26.56889124771686,,,,
ssp126,2045,25.62723935800506,25.371131518626157,22.01468135261436,30.871685946875292,,,,
ssp126,2046,23.84931932346218,23.84246495036721,21.389808477841505,27.178888704453858,,,,
ssp126,2047,24.14490076471576,23.169935297347358,20.73383701960313,28.941350982085826,,,,
ssp126,2048,23.646756302307207,22.985940569156575,20.317238376637327,28.04071052138417,,,,
ssp126,2049,24.053836812591474,23.83805819609841,19.139724464218045,27.619562134040542,,,,
ssp126,2050,24.85123125177842,24.72038038670025,22.026037556738665,28.796470222019934,,,,
ssp126,2051,24.279328815499547,24.315040563794916,21.66150098972263,26.86795979351009,,,,
ssp126,2052,23.783341536770767,23.089225149467726,19.503648833501625,28.667059581224837,,,,
ssp126,2053,24.027145504458975,23.80016869157068,19.263765859963076,28.273581362275195,,,,
ssp126,2054,24.74219828834255,24.494659186882465,21.59740965797013,29.575253829684048,,,,
ssp126,2055,23.4368076481015,23.64344580979202,20.766096473436257,26.395529307135067,,,,
ssp126,2056,24.69259021151287,24.647852545415645,21.64180773664122,27.879272545450537,,,,
ssp126,2057,24.251008255617254,23.81932657035512,21.89161169265381,27.05592510938741,,,,
ssp126,2058,25.09690937022616,24.82585256237317,21.676018814087943,28.18330317022259,,,,
ssp126,2059,24.697025747011526,23.742517915376524,19.817242380938,28.64848424077118,,,,
ssp126,2060,25.14714725996681,25.56139890470815,21.043810051560786,28.65384459833382,,,,
ssp126,2061,24.88150093369476,24.826974450182167,22.252001183425484,27.00983126356814,,,,
ssp126,2062,25.57907894379904,26.073223473509433,21.209677515009766,28.638786529955407,,,,
ssp126,2063,24.702729636717574,24.462878354067684,20.777398425680385,28.296133254530268,,,,
ssp126,2064,23.713046931278768,23.73821687319845,19.94259788841966,27.695172437439552,,,,
ssp126,2065,24.763109166052853,24.934644695125144,19.731814168347245,27.97050944646023,,,,
ssp126,2066,25.02527151280881,24.206862180983038,21.159444684467758,28.455018453938855,,,,
ssp126,2067,24.73961769119254,24.64806880579313,20.75483698901286,28.443407305465122,,,,
ssp126,2068,24.418077254475545,24.668739772022203,21.427491972717554,27.749247910839404,,,,
ssp126,2069,23.72828314514376,23.8620369063361,20.601373343069984,27.17151645079935,,,,
ssp126,2070,23.045399721244312,22.878021636652036,20.302221220433847,25.94256654514194,,,,
ssp126,2071,24.52804961764509,24.098997815751236,21.762062607510234,27.728847467465467,,,,
ssp126,2072,24.874616938838845,25.062041506182915,21.654957742429207,29.169550789438155,,,,
ssp126,2073,23.63867567039681,22.980755548178408,19.11486170678853,28.710548423579173,,,,
ssp126,2074,24.735655137985532,24.287164464772623,22.43348710135165,26.869559413068497,,,,
ssp126,2075,24.9271126105873,25.050314360739073,21.402707695574108,28.449138853212077,,,,
ssp126,2076,25.55900569990414,25.372467101235024,21.65841035370839,29.943310848825746,,,,
ssp126,2077,23.810878510399505,23.85537243395908,19.37255872760457,27.957087240842785,,,,
ssp126,2078,24.255731859471677,24.19731683471514,20.766496752961196,26.708124630831936,,,,
ssp126,2079,23.50724185472585,23.41698589982319,20.420732695317287,27.29785762515943,,,,
ssp126,2080,24.584602934236468,24.213815007274473,20.567756365000125,28.75072389319054,,,,
ssp126,2081,26.3704452441583,26.50285535380543,23.01994363377519,28.927040136188978,,,,
ssp126,2082,24.978568091476358,24.281519045094452,22.88779115203185,27.64245294703844,,,,
ssp126,2083,24.61569748513671,23.336737970226572,20.29984366048152,29.58122475181257,,,,
ssp126,2084,23.9421568779111,23.701776316436593,20.042040683834713,28.185352071242942,,,,
ssp126,2085,24.551316155775485,23.66899482936772,21.497022431717667,27.73062112139261,,,,
ssp126,2086,24.274301481015275,24.44739407869685,20.61060900922755,28.97061244483588,,,,
ssp126,2087,24.082557622613958,23.840997585560068,19.335758627332908,28.981600576971626,,,,
ssp126,2088,24.535099282820877,24.429042765472825,21.41739769308033,28.254829311657605,,,,
ssp126,2089,24.51288711917339,24.26329676116255,21.58571678049703,27.72553043017434,,,,
ssp126,2090,25.596979954656046,25.696110947626373,20.719159061181124,30.32463064984002,,,,
ssp126,2091,24.55254480795329,24.621743155710725,19.85945320920396,28.480068650700808,,,,
ssp126,2092,24.92995872447616,24.505068183370895,20.13927416808587,29.0883161507436,,,,
ssp126,2093,24.591933933678,24.414824625924897,21.964898067987914,28.165463323574915,,,,
ssp126,2094,25.22647697419147,25.782665942843366,21.109334623033302,29.193094301854845,,,,
ssp126,2095,23.90087766494582,23.666695833948452,21.655018174760386,26.019343518316443,,,,
ssp126,2096,25.822032048510586,25.244738509268117,23.15627931361248,28.106712272930167,,,,
ssp126,2097,24.59872006519925,24.823741835946063,21.922558565487314,27.243949641221732,,,,
ssp126,2098,25.05575221835518,24.475993632658174,22.924433027630954,27.329233301003526,,,,
ssp126,2099,25.627206656126585,25.141582752409022,21.83924206561189,29.28123104767808,,,,
ssp245,2015,23.234428564490702,22.931423576962374,19.87799145921997,25.717498381494597,0.28081343726027397,0.27955774520547944,0.27090948493150685,0.29108888602739724
ssp245,2016,23.837733659549293,24.01036051190559,20.180867464619624,26.76499880173413,0.2827492228415301,0.2828588306010929,0.2726377568306011,0.2950529568306011
ssp245,2017,24.50111541873497,24.02977723435773,20.687279277276765,28.829407695943686,0.2832970956712329,0.2829462109589041,0.2713776602739726,0.2931378295890411
ssp245,2018,24.202471780229363,23.671209996200034,21.448383778615842,26.262937819341733,0.28287655726027394,0.281366101369863,0.2765930893150685,0.2904356734246575
ssp245,2019,24.424005480826807,24.99096318214785,20.25785478055063,28.169941810676026,0.28387229347945203,0.2848483616438356,0.27285857150684933,0.2942640060273972
ssp245,2020,23.816343162235924,23.683725689867018,21.26582558769717,27.116605121251006,0.2826079641530055,0.28162260382513665,0.2757178967213115,0.29301578688524593
ssp245,2021,22.210549032112866,21.87016118574938,19.802916644561567,24.37594085351477,0.28108325304109594,0.2815308931506849,0.2697054684931507,0.29046721424657534
ssp245,2022,24.376279009858532,25.016833118230544,20.747349810230435,26.937001755298798,0.28242091758904114,0.28535875890410956,0.272729658630137,0.29050380438356166
ssp245,2023,24.569066442566555,24.491927218985182,21.73709468480916,29.365861346084287,0.28348636241095887,0.28569537260273975,0.271925898630137,0.2917521019178082
ssp245,2024,24.115965347195697,24.028016355175914,20.611990384850035,27.62733480572452,0.28379872316939897,0.28404998087431693,0.27624430546448087,0.29245438852459016
ssp245,2025,23.794666249845054,23.711878122721146,20.526060283782726,27.0217878510861,0.28277740208219176,0.28466040273972604,0.2735991035616438,0.2900874750684932
ssp245,2026,24.620422939591535,24.771105524140008,21.686236280113842,28.574493260734528,0.28345958980821906,0.2853150684931507,0.2750971101369863,0.2914871298630137
ssp245,2027,24.167568429812707,24.712355761905382,18.933948343050563,27.69899245146945,0.28253409336986296,0.28555621643835616,0.2661373068493151,0.2933495676712329
ssp245,2028,24.64123553788643,24.3165499056349,21.22367422169375,27.568908028759477,0.28143559234972676,0.281877868852459,0.27484325081967215,0.289535343715847
ssp245,2029,24.042543892114132,23.49748750601776,20.42401444388005,29.234941722227664,0.28295821873972604,0.2838909917808219,0.27272890904109587,0.2909782120547945
ssp245,2030,23.631663125323747,23.55834542550349,20.61776892184164,26.29464235966802,0.2812307692054794,0.28194948493150684,0.2716854416438356,0.290287661369863
ssp245,2031,23.71080952630847,23.577084830533767,19.73950185160585,27.759100703847352,0.2820106282739726,0.2832214712328767,0.2713118778082192,0.2921335726027397
ssp245,2032,24.94769182254114,23.526409977299277,21.551069512972187,29.928139176863443,0.2847183230601093,0.28606784972677596,0.2753242142076503,0.2929106655737705
ssp245,2033,23.497664439556782,22.657308080468624,19.64412280465482,28.227825714137253,0.2812969589041096,0.2823511917808219,0.26955297260273975,0.2914384246575343
ssp245,2034,24.768977647180716,23.596141811302413,20.99632413234088,30.28095146278423,0.28476763956164386,0.2862912383561644,0.2724716750684932,0.2960689605479452
ssp245,2035,23.178332980462155,22.26235285260806,20.40639263579756,26.72762860188866,0.2803429513424658,0.27983245479452057,0.26914844767123286,0.29083784
ssp245,2036,23.17522281214267,23.19716500671079,20.236986039294422,26.111383508873367,0.2806089638251366,0.27985955737704915,0.27107453661202185,0.2933908387978142
ssp245,2037,24.32516234805435,24.967861947325215,20.606671084471817,27.147462530915956,0.28282697512328775,0.2850696821917808,0.27063255506849315,0.2922180410958904
ssp245,2038,24.34704341003221,23.995092632559736,21.354223950561604,28.763222224748326,0.283133815890411,0.28306191506849315,0.276026904109589,0.29272252712328767
ssp245,2039,23.917112970481302,23.4208435908736,20.066651910680058,26.992950617095804,0.2812710096438356,0.28177006575342467,0.2711601315068493,0.2916592021917808
ssp245,2040,23.520226971169038,23.233355472125027,20.587505840427294,25.672541180891734,0.2798676146448087,0.28006934972677594,0.26999695846994537,0.2922943661202186
ssp245,2041,24.13883983978781,23.241961136959315,20.32820602126001,29.349504834351812,0.28129653775342467,0.2822137917808219,0.2663872482191781,0.29754881479452056
ssp245,2042,24.991428868790514,25.11386230315359,20.300315894462873,29.194106474754243,0.2837593212054794,0.2828557479452055,0.27219415232876715,0.2941481550684931
ssp245,2043,23.71776420720619,23.285562616911513,19.878039889422933,27.695539900103753,0.280066989369863,0.28228672602739724,0.26662565534246574,0.28924160547945205
ssp245,2044,24.323157668098464,24.222445502579703,21.362657435068332,27.12187302293598,0.2809656297267759,0.2803531612021858,0.2731259912568306,0.29233843005464477
