ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_rzsm,med_rzsm,p10_rzsm,p90_rzsm
ssp126,2015,22.860074267936586,22.289201000376693,19.99058786321856,25.862311659967226,,,,
ssp126,2016,22.21866410185659,22.25439380654845,19.32606929995038,25.3472923383434,,,,
ssp126,2017,23.213054317753812,23.167857981632896,20.027676482695483,26.416846945503533,,,,
ssp126,2018,24.20009612850313,23.471953251853584,20.862712574400135,28.017767646109547,,,,
ssp126,2019,23.88418125604088,22.4477969193798,19.802155475777585,30.08972200450111,,,,
ssp126,2020,23.02469720801012,22.78093051301408,19.971314182636903,26.571116751633646,,,,
ssp126,2021,23.23097418693974,23.295920611799296,20.06244362433059,27.155491431140906,,,,
ssp126,2022,24.168068138983656,23.949781329224038,21.482605927948086,27.00226410320715,,,,
ssp126,2023,23.476415064169178,24.013511913985724,19.347236058645773,26.979597634621076,,,,
ssp126,2024,23.081776652883857,23.002787210690613,18.787739521938743,26.093417127628303,,,,
ssp126,2025,23.109751959869655,22.098478668219496,19.93537408007813,27.070424564700303,,,,
ssp126,2026,23.200810431863008,22.71131688853524,20.269113933301185,25.512507809367317,,,,
ssp126,2027,24.473575867312817,24.37666311243348,20.51275660865422,28.360938009150953,,,,
ssp126,2028,23.183074956796208,23.387832669348814,20.553135458672656,25.523297768080155,,,,
ssp126,2029,23.35932609976685,22.951778401893012,20.69734500548582,26.556845229676075,,,,
ssp126,2030,24.532446950366136,24.07746975323289,21.885960411420943,27.474700743685908,,,,
ssp126,2031,23.28127195199519,23.21116353489494,21.076608891842678,25.39441436049018,,,,
ssp126,2032,22.572769971551214,21.843702630011503,20.460222036750256,25.134518934449996,,,,
ssp126,2033,23.74782808170488,23.892324109400754,20.315756075978413,26.993913943408298,,,,
ssp126,2034,26.307615939241018,26.180013779030652,23.024478051325243,30.12215894484004,,,,
ssp126,2035,24.092682334852533,24.387291531272716,19.943097290429478,28.54222535786522,,,,
ssp126,2036,23.863186315555946,24.616946131900818,19.066913549355977,28.075343528531718,,,,
ssp126,2037,23.305545854507898,23.330918013322787,20.16947748794129,26.00042549227594,,,,
ssp126,2038,23.927981076181947,23.68882967549542,21.67750636669274,27.133131991863515,,,,
ssp126,2039,23.55078479690843,23.630136271243785,19.963974315593173,27.48937961572925,,,,
ssp126,2040,24.175766676810213,24.263836060355317,19.85124757812781,28.707103487127252,,,,
ssp126,2041,23.605610115299797,24.174854965680737,19.43931325103888,26.72620373698225,,,,
ssp126,2042,23.5792672149997,23.261578418776594,19.719830517514787,27.87936271747967,,,,
ssp126,2043,23.447454139018998,23.59780772084366,20.116239395923316,26.069568435372574,,,,
ssp126,2044,23.40719156905984,23.178843551776993,19.62030118221849,28.06501921460571,,,,
ssp126,2045,25.197719476051535,24.99895248642101,21.277448506778974,27.994132251028102,,,,
ssp126,2046,24.02308006272875,23.71107538186122,19.968975380343498,27.155541461460498,,,,
ssp126,2047,24.15721131527705,23.64011386174247,20.870119043029714,28.97314822843858,,,,
ssp126,2048,23.690677352340625,23.663961191174067,19.467928073804675,27.90601704062883,,,,
ssp126,2049,23.458146816454235,23.22641215548836,20.55248512805191,26.048623866313903,,,,
ssp126,2050,24.85733044328978,24.929151213320445,20.990223921611165,27.890176159344946,,,,
ssp126,2051,23.92504575545672,24.298505839016403,19.418440728365432,27.061508253464858,,,,
ssp126,2052,24.164903262195605,24.66402211541989,20.218725572189868,27.17369966696763,,,,
ssp126,2053,24.557950496418457,24.00308137213844,21.444341153524572,29.49046808885052,,,,
ssp126,2054,25.88571813165199,25.126589826937092,21.425063513190768,30.531558857289415,,,,
ssp126,2055,24.596021853425807,24.899316234122352,20.61486383025998,28.665455927952664,,,,
ssp126,2056,24.362494771603107,24.474006054802555,18.44332332132926,29.525268048420493,,,,
ssp126,2057,24.234226934409705,25.045563442648255,20.387142091518882,26.614024393104074,,,,
ssp126,2058,25.168920727799275,25.245827130052298,21.088107726829946,28.608587454154247,,,,
ssp126,2059,23.111242312515788,23.139641578148137,19.972908465014033,25.99771173420343,,,,
ssp126,2060,24.25269520576074,24.537393189035683,19.649459230619083,28.2280741827397,,,,
