threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,53,107,98,44,1,36,33,46,41,32,17,79,71,92,34,49,165,56,23,31,53,107,97,40,0,36,31,46,39,28,17,78,70,90,34,48,163,55,23,29,6,16,14,8,0,7,7,7,7,5,3,10,11,17,6,7,9,10,4,5,23,14,12,7,0,7,7,13,8,7,9,17,11,12,12,10,48,8,7,13,8.83,6.69,6.93,5.0,0.0,5.14,4.43,6.57,5.57,5.6,5.67,7.8,6.36,5.29,5.67,6.86,18.11,5.5,5.75,5.8,55.4,45.0,22.400000000000002,98.9,54.2,43.0,22.400000000000002,98.00000000000001,7.95,7.0,3.9000000000000004,14.200000000000003,12.25,10.5,7.0,17.60000000000001,6.378500000000001,5.71,4.943,7.903000000000001
rzsm>0.7_pr>50,ssp245,2016,5,70,58,30,29,49,19,21,8,46,41,36,38,132,79,57,197,45,60,52,5,69,58,29,29,48,18,16,6,45,41,35,38,132,78,54,196,45,60,50,2,11,8,6,5,8,4,3,2,9,6,6,9,16,13,8,15,5,9,10,3,13,14,8,16,14,6,7,4,7,13,11,9,17,11,15,45,23,23,12,2.5,6.27,7.25,4.83,5.8,6.0,4.5,5.33,3.0,5.0,6.83,5.83,4.22,8.25,6.0,6.75,13.07,9.0,6.67,5.0,53.6,45.5,17.900000000000002,84.30000000000007,52.6,45.0,15.000000000000002,83.40000000000008,7.75,8.0,2.9000000000000004,13.200000000000003,13.55,12.5,5.800000000000001,23.0,6.105,5.915,4.098,8.325000000000001
rzsm>0.7_pr>50,ssp245,2017,32,13,49,62,15,48,61,80,1,59,53,52,68,42,19,93,94,42,7,123,30,11,48,61,13,47,59,80,0,58,51,50,66,41,18,93,93,41,7,122,4,2,9,8,2,7,11,9,0,7,10,9,10,7,3,16,13,8,2,11,14,6,8,17,7,10,12,13,0,26,10,12,18,13,8,12,15,10,5,28,7.5,5.5,5.33,7.62,6.5,6.71,5.36,8.89,0.0,8.29,5.1,5.56,6.6,5.86,6.0,5.81,7.15,5.12,3.5,11.09,50.65,50.5,12.4,93.1,49.45,49.0,10.600000000000001,93.0,7.4,8.0,2.0,11.200000000000003,12.2,12.0,5.9,18.80000000000001,6.1745,5.93,4.9399999999999995,8.35
rzsm>0.7_pr>50,ssp245,2018,109,74,32,14,7,16,70,69,56,9,49,39,71,35,52,94,80,71,0,1,109,72,31,14,6,15,69,69,54,8,47,38,70,33,52,94,79,67,0,0,15,10,5,2,2,4,11,8,12,3,6,10,12,8,10,11,5,9,0,0,17,18,11,8,4,6,14,19,9,3,21,7,9,7,10,15,42,18,0,0,7.27,7.2,6.2,7.0,3.0,3.75,6.27,8.62,4.5,2.67,7.83,3.8,5.83,4.12,5.2,8.55,15.8,7.44,0.0,0.0,47.4,50.5,6.4,81.40000000000002,46.35,49.5,5.4,80.50000000000003,7.15,8.0,1.8000000000000003,12.0,11.9,9.5,2.7,19.200000000000003,5.7524999999999995,6.015000000000001,2.4030000000000005,8.557
rzsm>0.7_pr>50,ssp245,2019,84,66,72,14,26,72,37,45,54,21,27,41,37,89,24,14,94,57,26,19,83,65,70,11,24,70,37,42,51,20,24,39,35,89,24,14,94,55,23,19,11,9,13,3,5,10,8,7,9,3,6,6,5,14,6,3,9,9,4,4,15,33,10,5,8,18,7,14,8,10,7,12,10,11,7,6,26,8,12,6,7.55,7.22,5.38,3.67,4.8,7.0,4.62,6.0,5.67,6.67,4.0,6.5,7.0,6.36,4.0,4.67,10.44,6.11,5.75,4.75,45.95,39.0,18.5,84.5,44.45,38.0,18.5,83.60000000000001,7.2,6.5,3.0,11.200000000000003,11.65,10.0,6.0,18.80000000000001,5.908,5.875,4.0,7.253
rzsm>0.7_pr>50,ssp245,2020,53,63,121,39,6,47,47,56,27,39,33,46,100,81,44,0,123,58,59,25,53,62,121,38,6,46,47,54,27,38,32,41,95,78,44,0,122,57,58,22,9,10,13,7,1,9,7,10,5,8,7,8,14,10,9,0,9,8,7,5,15,12,34,9,6,7,10,11,7,7,6,10,13,21,7,0,43,16,11,7,5.89,6.2,9.31,5.43,6.0,5.11,6.71,5.4,5.4,4.75,4.57,5.12,6.79,7.8,4.89,0.0,13.56,7.12,8.29,4.4,53.35,47.0,23.1,102.10000000000002,52.05,46.5,20.400000000000002,97.60000000000004,7.8,8.0,4.6000000000000005,10.300000000000004,12.6,10.0,6.0,22.30000000000002,6.1370000000000005,5.66,4.553,8.392000000000001
rzsm>0.7_pr>50,ssp245,2021,14,88,107,65,0,5,24,73,11,76,73,41,131,46,15,92,15,62,0,35,14,87,105,64,0,5,23,71,10,75,72,40,129,45,14,91,15,61,0,34,3,12,16,8,0,2,3,12,2,13,15,8,13,7,2,14,3,11,0,7,6,15,15,19,0,3,8,18,8,9,13,11,37,15,7,15,6,11,0,7,4.67,7.25,6.56,8.0,0.0,2.5,7.67,5.92,5.0,5.77,4.8,5.0,9.92,6.43,7.0,6.5,5.0,5.55,0.0,4.86,48.65,43.5,4.500000000000001,93.50000000000003,47.75,42.5,4.500000000000001,92.40000000000002,7.55,7.5,1.8000000000000003,14.100000000000001,11.15,10.0,2.7,18.1,5.42,5.66,2.2500000000000004,7.703
rzsm>0.7_pr>50,ssp245,2022,35,8,22,102,3,57,29,51,36,10,59,73,102,96,69,89,84,83,7,67,35,8,21,101,3,56,27,50,35,9,58,73,101,95,67,87,82,80,7,64,7,2,5,11,1,8,5,7,6,2,9,9,10,16,5,12,10,13,2,7,6,6,6,35,3,15,8,11,16,6,16,17,20,9,43,12,28,10,4,14,5.0,4.0,4.2,9.18,3.0,7.0,5.4,7.14,5.83,4.5,6.44,8.11,10.1,5.94,13.4,7.25,8.2,6.15,3.5,9.14,54.1,58.0,7.9,96.60000000000001,52.95,57.0,7.9,95.60000000000001,7.35,7.0,2.0,12.100000000000001,14.25,11.5,5.800000000000001,28.70000000000001,6.6739999999999995,6.295,3.95,9.272
rzsm>0.7_pr>50,ssp245,2023,51,42,54,60,66,57,32,8,66,57,62,87,97,67,31,60,77,100,35,59,49,41,53,59,66,55,32,8,66,57,61,83,92,65,31,60,75,97,34,57,9,7,11,8,9,11,6,2,8,10,10,11,14,11,6,8,5,12,5,8,11,10,9,18,16,11,7,6,18,13,14,14,13,13,7,12,45,26,16,12,5.44,5.86,4.82,7.38,7.33,5.0,5.33,4.0,8.25,5.7,6.1,7.55,6.57,5.91,5.17,7.5,15.0,8.08,6.8,7.12,58.4,59.5,31.9,88.00000000000001,57.05,58.0,31.9,83.9,8.55,8.5,5.0,11.100000000000001,14.55,13.0,7.0,18.80000000000001,6.745499999999998,6.335,4.982,8.097
rzsm>0.7_pr>50,ssp245,2024,60,56,27,36,18,40,21,61,6,25,45,112,67,36,89,17,92,16,70,55,58,56,25,35,18,36,18,61,6,25,44,112,67,36,89,17,92,15,69,53,11,8,5,6,4,8,4,6,3,6,9,12,11,6,11,4,7,4,7,11,12,15,10,13,8,9,7,31,2,6,10,37,11,8,18,5,44,5,18,7,5.27,7.0,5.0,5.83,4.5,4.5,4.5,10.17,2.0,4.17,4.89,9.33,6.09,6.0,8.09,4.25,13.14,3.75,9.86,4.82,47.45,42.5,16.9,89.30000000000001,46.6,40.0,16.8,89.30000000000001,7.15,6.5,4.0,11.0,13.8,10.0,5.0,31.60000000000001,6.158000000000001,5.135,4.128,9.891
