threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2025,0,25,17,7,5,43,4,11,0,21,32,15,11,6,17,42,89,14,0,7,0,24,17,7,5,42,4,11,0,21,32,15,11,6,17,42,89,13,0,7,0,4,3,1,1,7,1,2,0,3,2,2,2,1,3,6,2,2,0,1,0,11,8,7,5,8,4,7,0,8,16,9,6,6,7,13,86,7,0,7,0.0,6.0,5.67,7.0,5.0,6.0,4.0,5.5,0.0,7.0,16.0,7.5,5.5,6.0,5.67,7.0,44.5,6.5,0.0,7.0,18.3,12.5,0.0,42.1,18.15,12.0,0.0,42.0,2.15,2.0,0.0,4.200000000000003,10.75,7.0,0.0,13.300000000000004,7.5920000000000005,6.0,0.0,8.350000000000012
rzsm>0.7_pr>50,ssp245,2026,15,7,15,21,21,27,26,0,5,12,5,6,0,11,9,23,122,9,2,8,15,7,15,21,21,25,26,0,5,11,5,5,0,11,9,21,122,9,2,8,2,1,2,2,3,4,4,0,1,2,1,1,0,2,2,3,1,2,1,2,11,7,13,11,8,7,8,0,5,6,5,5,0,7,5,7,122,6,2,5,7.5,7.0,7.5,10.5,7.0,6.25,6.5,0.0,5.0,5.5,5.0,5.0,0.0,5.5,4.5,7.0,122.0,4.5,2.0,4.0,17.2,10.0,1.8000000000000003,26.1,16.9,10.0,1.8000000000000003,25.1,1.8,2.0,0.9000000000000001,3.1000000000000014,12.0,6.5,1.8000000000000003,11.200000000000003,11.1125,5.5,1.8000000000000003,7.800000000000004
rzsm>0.7_pr>50,ssp245,2027,0,13,9,35,0,11,22,8,11,14,0,31,8,20,9,13,5,11,6,7,0,13,9,35,0,11,22,7,11,13,0,31,8,20,9,13,5,11,6,7,0,2,2,5,0,2,3,1,2,2,0,5,2,3,2,2,1,2,1,1,0,8,7,14,0,7,10,7,6,7,0,7,4,8,7,7,5,6,6,7,0.0,6.5,4.5,7.0,0.0,5.5,7.33,7.0,5.5,6.5,0.0,6.2,4.0,6.67,4.5,6.5,5.0,5.5,6.0,7.0,11.65,10.0,0.0,22.900000000000013,11.55,10.0,0.0,22.900000000000013,1.9,2.0,0.0,3.200000000000003,6.15,7.0,0.0,8.200000000000003,5.0600000000000005,5.75,0.0,7.0
rzsm>0.7_pr>50,ssp245,2028,14,16,29,17,14,22,44,6,5,30,24,21,4,8,9,0,131,19,13,0,14,15,29,17,14,21,44,6,5,29,24,21,4,7,9,0,131,19,13,0,2,3,6,3,2,2,5,1,1,4,4,3,1,1,2,0,1,4,1,0,8,6,7,7,7,16,13,6,5,9,8,12,4,7,6,0,131,10,13,0,7.0,5.0,4.83,5.67,7.0,10.5,8.8,6.0,5.0,7.25,6.0,7.0,4.0,7.0,4.5,0.0,131.0,4.75,13.0,0.0,21.3,15.0,3.6000000000000005,31.40000000000002,21.1,14.5,3.6000000000000005,30.50000000000002,2.3,2.0,0.9000000000000001,4.100000000000001,13.75,7.0,3.6000000000000005,13.300000000000004,12.215,6.0,3.6000000000000005,10.750000000000004
rzsm>0.7_pr>50,ssp245,2029,4,20,12,14,0,6,0,25,21,11,0,19,10,24,38,0,87,7,0,10,3,19,12,14,0,6,0,24,21,11,0,19,10,24,38,0,86,7,0,10,1,4,2,2,0,1,0,5,3,1,0,4,1,3,5,0,1,1,0,2,3,7,7,7,0,6,0,9,8,11,0,7,10,10,13,0,86,7,0,6,3.0,4.75,6.0,7.0,0.0,6.0,0.0,4.8,7.0,11.0,0.0,4.75,10.0,8.0,7.6,0.0,86.0,7.0,0.0,5.0,15.4,10.5,0.0,26.30000000000002,15.2,10.5,0.0,25.40000000000002,1.8,1.0,0.0,4.100000000000001,9.85,7.0,0.0,11.200000000000003,8.895,5.5,0.0,10.100000000000001
rzsm>0.7_pr>50,ssp245,2030,17,5,23,6,1,13,9,11,16,34,4,38,13,12,7,14,111,0,0,0,17,4,23,6,0,13,9,10,16,34,4,37,13,12,7,14,111,0,0,0,3,2,2,1,0,2,1,1,3,5,1,4,2,2,1,3,1,0,0,0,6,2,16,6,0,8,9,10,8,8,4,12,7,7,7,6,111,0,0,0,5.67,2.0,11.5,6.0,0.0,6.5,9.0,10.0,5.33,6.8,4.0,9.25,6.5,6.0,7.0,4.67,111.0,0.0,0.0,0.0,16.7,11.5,0.0,34.400000000000006,16.5,11.0,0.0,34.300000000000004,1.7,1.5,0.0,3.1000000000000014,11.35,7.0,0.0,12.400000000000006,10.561,6.0,0.0,10.150000000000002
rzsm>0.7_pr>50,ssp245,2031,0,19,18,13,7,12,6,0,13,7,23,15,15,4,21,35,68,0,0,7,0,19,18,13,7,12,6,0,13,7,23,15,15,4,21,35,68,0,0,6,0,3,3,3,2,1,1,0,2,1,3,2,2,1,4,3,2,0,0,1,0,7,8,6,5,12,6,0,7,7,9,9,9,4,7,17,56,0,0,6,0.0,6.33,6.0,4.33,3.5,12.0,6.0,0.0,6.5,7.0,7.67,7.5,7.5,4.0,5.25,11.67,34.0,0.0,0.0,6.0,14.15,12.5,0.0,24.200000000000017,14.1,12.5,0.0,24.200000000000017,1.7,2.0,0.0,3.0,8.75,7.0,0.0,12.500000000000007,6.7625,6.0,0.0,11.703000000000001
rzsm>0.7_pr>50,ssp245,2032,17,11,11,16,0,0,6,14,16,0,14,0,12,12,0,19,49,6,0,14,17,11,10,16,0,0,6,14,16,0,14,0,12,12,0,19,49,6,0,14,3,2,1,2,0,0,1,2,3,0,2,0,3,1,0,2,4,1,0,1,9,6,10,8,0,0,6,10,7,0,9,0,7,12,0,12,24,6,0,14,5.67,5.5,10.0,8.0,0.0,0.0,6.0,7.0,5.33,0.0,7.0,0.0,4.0,12.0,0.0,9.5,12.25,6.0,0.0,14.0,10.85,11.5,0.0,17.200000000000003,10.8,11.5,0.0,17.200000000000003,1.4,1.0,0.0,3.0,7.0,7.0,0.0,12.200000000000003,5.6125,5.835,0.0,12.025
rzsm>0.7_pr>50,ssp245,2033,14,6,6,9,18,23,35,13,14,13,6,21,0,28,8,0,154,25,0,28,14,6,6,9,18,22,35,13,14,13,6,21,0,28,8,0,154,25,0,28,3,1,1,2,2,3,3,2,2,2,1,3,0,3,1,0,2,3,0,3,6,6,6,6,12,9,18,7,10,7,6,14,0,14,8,0,110,12,0,22,4.67,6.0,6.0,4.5,9.0,7.33,11.67,6.5,7.0,6.5,6.0,7.0,0.0,9.33,8.0,0.0,77.0,8.33,0.0,9.33,21.05,13.5,0.0,28.70000000000001,21.0,13.5,0.0,28.70000000000001,1.85,2.0,0.0,3.0,13.65,7.5,0.0,18.400000000000006,9.708000000000002,6.75,0.0,9.564000000000004
rzsm>0.7_pr>50,ssp245,2034,4,7,10,0,21,60,19,0,36,19,7,10,16,0,6,11,153,10,0,23,4,7,10,0,21,60,19,0,36,19,7,10,16,0,6,11,153,10,0,23,1,2,1,0,3,8,3,0,4,3,1,1,2,0,1,2,2,1,0,4,4,5,10,0,7,16,8,0,19,7,7,10,9,0,6,6,116,10,0,7,4.0,3.5,10.0,0.0,7.0,7.5,6.33,0.0,9.0,6.33,7.0,10.0,8.0,0.0,6.0,5.5,76.5,10.0,0.0,5.75,20.6,10.0,0.0,38.400000000000034,20.6,10.0,0.0,38.400000000000034,1.95,1.5,0.0,4.0,12.35,7.0,0.0,16.300000000000004,9.1205,6.33,0.0,10.0
