threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2027,56,30,36,10,36,26,0,13,50,28,27,19,19,0,16,29,167,0,13,15,55,27,34,9,35,26,0,12,50,25,26,17,19,0,16,26,166,0,13,15,9,4,8,2,5,5,0,3,7,7,5,3,4,0,3,7,6,0,2,4,11,9,7,7,10,6,0,5,13,5,6,6,7,0,7,7,70,0,7,6,6.11,6.75,4.25,4.5,7.0,5.2,0.0,4.0,7.14,3.57,5.2,5.67,4.75,0.0,5.33,3.71,27.67,0.0,6.5,3.75,29.5,22.5,0.0,50.60000000000001,28.55,22.0,0.0,50.50000000000001,4.2,4.0,0.0,7.100000000000001,9.45,7.0,0.0,11.200000000000003,5.555000000000001,4.975,0.0,7.014
rzsm>0.7_pr>50,ssp245,2028,12,51,56,16,20,16,32,6,0,20,48,45,34,5,0,30,317,30,5,35,11,49,53,16,19,15,31,6,0,19,44,44,34,5,0,27,317,27,5,35,2,7,8,3,3,4,7,2,0,4,7,8,8,1,0,6,5,5,1,6,6,16,9,7,8,6,7,3,0,6,14,8,8,5,0,7,153,11,5,10,5.5,7.0,6.62,5.33,6.33,3.75,4.43,3.0,0.0,4.75,6.29,5.5,4.25,5.0,0.0,4.5,63.4,5.4,5.0,5.83,38.9,25.0,4.500000000000001,51.50000000000001,37.85,23.0,4.500000000000001,49.400000000000006,4.35,4.5,0.9000000000000001,8.0,14.45,7.0,2.7,14.200000000000003,7.594000000000001,5.165,2.7,6.658
rzsm>0.7_pr>50,ssp245,2029,10,11,48,5,26,5,55,0,12,1,44,36,26,54,6,0,329,56,19,24,7,10,46,3,24,5,48,0,12,0,39,35,23,50,6,0,329,53,18,23,3,3,7,1,5,1,10,0,2,0,9,7,5,8,1,0,4,8,4,5,3,5,9,3,8,5,7,0,7,0,7,7,7,8,6,0,243,18,7,6,2.33,3.33,6.57,3.0,4.8,5.0,4.8,0.0,6.0,0.0,4.33,5.0,4.6,6.25,6.0,0.0,82.25,6.62,4.5,4.6,38.35,21.5,0.9000000000000001,55.1,36.55,20.5,0.0,50.300000000000004,4.15,4.0,0.0,8.100000000000001,17.8,7.0,0.0,9.900000000000013,7.999,4.699999999999999,0.0,6.575
rzsm>0.7_pr>50,ssp245,2030,8,15,12,33,15,31,43,0,31,27,47,25,12,77,20,0,203,8,38,25,7,14,12,31,11,29,41,0,30,27,46,24,10,75,20,0,203,8,37,24,1,3,1,5,4,6,6,0,7,5,9,5,2,13,4,0,4,2,7,4,7,8,12,10,4,7,10,0,9,8,7,10,5,8,7,0,97,6,8,7,7.0,4.67,12.0,6.2,2.75,4.83,6.83,0.0,4.29,5.4,5.11,4.8,5.0,5.77,5.0,0.0,50.75,4.0,5.29,6.0,33.5,25.0,7.200000000000001,50.00000000000004,32.45,24.0,6.300000000000001,48.90000000000004,4.4,4.0,0.9000000000000001,7.200000000000003,11.5,7.5,3.6000000000000005,10.200000000000003,7.284499999999999,5.055,2.4750000000000005,7.500000000000007
rzsm>0.7_pr>50,ssp245,2031,6,10,45,15,27,42,10,9,47,48,59,17,1,44,18,33,153,21,39,25,6,9,44,15,25,41,10,9,46,46,58,14,0,44,18,32,153,21,39,25,2,2,8,2,5,6,3,2,12,8,14,4,0,6,3,5,6,4,6,4,4,6,9,10,8,13,4,7,7,9,7,7,0,14,8,8,62,7,11,9,3.0,4.5,5.5,7.5,5.0,6.83,3.33,4.5,3.83,5.75,4.14,3.5,0.0,7.33,6.0,6.4,25.5,5.25,6.5,6.25,33.45,26.0,8.700000000000001,49.100000000000016,32.75,25.0,8.700000000000001,47.20000000000002,5.1,4.5,2.0,8.400000000000006,10.5,8.0,4.0,13.100000000000001,6.0305,5.375,3.297,7.347
rzsm>0.7_pr>50,ssp245,2032,48,29,35,6,10,1,71,14,55,1,48,32,23,48,3,59,250,7,20,26,46,28,33,6,8,0,70,12,54,0,45,31,22,45,0,58,248,6,20,25,11,7,6,1,2,0,11,3,9,0,8,5,4,9,0,7,10,1,5,4,6,7,18,6,5,0,10,5,12,0,13,8,7,8,0,13,106,6,5,8,4.18,4.0,5.5,6.0,4.0,0.0,6.36,4.0,6.0,0.0,5.62,6.2,5.5,5.0,0.0,8.29,24.8,6.0,4.0,6.25,39.3,27.5,2.8000000000000003,60.20000000000002,37.85,26.5,0.0,59.20000000000002,5.15,5.0,0.0,10.100000000000001,12.15,7.0,0.0,13.500000000000007,5.585,5.5,0.0,6.553000000000003
rzsm>0.7_pr>50,ssp245,2033,23,2,19,0,5,8,33,21,6,25,93,17,34,31,20,30,349,16,6,56,23,0,19,0,5,6,32,18,5,25,93,15,34,31,19,29,349,16,5,51,4,0,6,0,1,2,7,5,2,4,14,3,5,8,3,5,6,3,2,10,6,0,5,0,5,4,7,6,3,8,20,7,9,8,10,7,312,6,3,7,5.75,0.0,3.17,0.0,5.0,3.0,4.57,3.6,2.5,6.25,6.64,5.0,6.8,3.88,6.33,5.8,58.17,5.33,2.5,5.1,39.7,20.5,4.7,59.70000000000005,38.75,19.0,4.500000000000001,55.20000000000006,4.5,4.0,0.9000000000000001,8.200000000000003,21.65,6.5,2.7,11.000000000000014,6.969500000000001,5.0,2.2500000000000004,6.656
rzsm>0.7_pr>50,ssp245,2034,40,12,60,10,42,76,49,22,19,18,36,57,8,46,22,31,127,23,23,24,40,11,56,8,41,75,46,20,19,18,35,54,8,45,21,30,125,23,22,22,9,4,11,2,7,14,8,4,6,4,8,11,2,9,3,7,7,4,4,4,7,4,12,5,12,15,7,7,6,7,7,14,6,7,10,7,59,7,7,7,4.44,2.75,5.09,4.0,5.86,5.36,5.75,5.0,3.17,4.5,4.38,4.91,4.0,5.0,7.0,4.29,17.86,5.75,5.5,5.5,37.25,27.5,11.8,61.60000000000002,35.95,26.5,10.700000000000001,57.90000000000003,6.4,6.5,2.9000000000000004,11.0,10.65,7.0,5.9,14.100000000000001,5.5055000000000005,5.0,3.9170000000000003,5.974000000000002
rzsm>0.7_pr>50,ssp245,2035,13,9,34,9,5,62,27,0,34,23,54,33,10,22,1,46,149,20,19,7,10,9,34,7,5,61,27,0,32,21,54,32,9,22,0,44,149,18,18,5,2,2,6,1,2,14,7,0,6,3,10,6,2,5,0,7,5,5,3,1,6,5,8,7,3,12,7,0,10,7,10,7,6,7,0,14,80,6,8,5,5.0,4.5,5.67,7.0,2.5,4.36,3.86,0.0,5.33,7.0,5.4,5.33,4.5,4.4,0.0,6.29,29.8,3.6,6.0,5.0,28.85,21.0,4.6000000000000005,54.80000000000001,27.85,19.5,4.500000000000001,54.70000000000001,4.35,4.0,0.9000000000000001,7.300000000000004,10.4,7.0,2.7,12.200000000000003,5.776999999999999,5.0,2.2500000000000004,7.0
rzsm>0.7_pr>50,ssp245,2036,30,0,12,0,2,40,2,10,24,0,50,27,13,25,17,22,181,19,23,1,30,0,12,0,2,35,2,9,23,0,50,25,11,23,17,20,181,19,18,0,8,0,3,0,1,6,1,2,5,0,10,6,4,5,4,5,6,5,3,0,5,0,5,0,2,10,2,6,6,0,7,6,5,7,6,7,97,7,7,0,3.75,0.0,4.0,0.0,2.0,5.83,2.0,4.5,4.6,0.0,5.0,4.17,2.75,4.6,4.25,4.0,30.17,3.8,6.0,0.0,24.9,18.0,0.0,41.000000000000014,23.85,17.5,0.0,36.50000000000002,3.7,4.0,0.0,6.200000000000003,9.25,6.0,0.0,7.300000000000004,4.571,4.0,0.0,5.847
rzsm>0.7_pr>50,ssp245,2037,23,19,68,9,17,37,11,24,13,42,33,20,19,34,21,13,247,29,10,13,20,19,68,8,15,37,8,22,13,42,32,20,18,34,21,13,247,26,10,11,4,4,12,1,3,7,1,5,3,9,5,4,5,7,5,4,5,7,2,3,9,6,10,8,7,7,8,6,5,8,13,8,6,9,7,5,84,7,6,6,5.0,4.75,5.67,8.0,5.0,5.29,8.0,4.4,4.33,4.67,6.4,5.0,3.6,4.86,4.2,3.25,49.4,3.71,5.0,3.67,35.1,20.5,10.9,44.60000000000004,34.2,20.0,9.8,44.60000000000004,4.8,4.5,1.9000000000000001,7.200000000000003,11.25,7.0,5.9,10.300000000000004,7.209999999999999,4.93,3.663,8.0
rzsm>0.7_pr>50,ssp245,2038,7,31,40,0,32,33,64,31,20,6,14,17,18,45,16,40,274,23,15,14,6,30,40,0,32,33,62,27,20,4,13,17,14,44,16,40,274,19,15,13,2,5,8,0,4,6,9,6,4,1,3,3,2,8,4,7,7,4,4,4,4,7,8,0,13,7,13,8,7,4,5,6,7,7,7,8,126,7,6,6,3.0,6.0,5.0,0.0,8.0,5.5,6.89,4.5,5.0,4.0,4.33,5.67,7.0,5.5,4.0,5.71,39.14,4.75,3.75,3.25,37.0,21.5,6.9,46.90000000000003,35.95,19.5,5.800000000000001,45.800000000000026,4.55,4.0,1.9000000000000001,8.0,12.8,7.0,4.0,13.0,6.5495,5.0,3.225,7.100000000000001
rzsm>0.7_pr>50,ssp245,2039,30,3,36,10,9,1,62,18,52,18,30,12,31,28,17,13,48,29,38,22,29,2,34,10,9,0,57,14,51,18,29,11,31,26,16,12,48,27,36,22,6,1,6,3,2,0,11,5,9,3,8,2,5,5,3,2,5,5,6,4,12,2,8,5,5,0,19,5,14,7,7,6,7,7,6,6,17,7,12,6,4.83,2.0,5.67,3.33,4.5,0.0,5.18,2.8,5.67,6.0,3.62,5.5,6.2,5.2,5.33,6.0,9.6,5.4,6.0,5.5,25.35,25.0,8.4,48.400000000000006,24.1,24.0,8.3,48.300000000000004,4.55,5.0,1.9000000000000001,8.100000000000001,7.9,7.0,4.7,14.300000000000004,4.9165,5.365,2.7199999999999998,6.0200000000000005
rzsm>0.7_pr>50,ssp245,2040,26,45,34,3,17,0,42,3,27,7,40,37,10,0,12,63,211,28,26,11,24,42,30,2,15,0,41,2,26,7,38,36,10,0,10,62,211,26,22,10,5,7,6,1,2,0,7,1,6,2,5,7,2,0,2,12,5,6,4,2,7,20,8,2,8,0,18,2,6,5,13,11,6,0,6,10,156,8,10,6,4.8,6.0,5.0,2.0,7.5,0.0,5.86,2.0,4.33,3.5,7.6,5.14,5.0,0.0,5.0,5.17,42.2,4.33,5.5,5.0,32.1,26.0,2.7,46.800000000000026,30.7,23.0,1.8000000000000003,44.00000000000003,4.1,4.5,0.9000000000000001,7.0,15.1,7.5,1.8000000000000003,18.200000000000003,6.2965,5.0,1.8000000000000003,7.51
rzsm>0.7_pr>50,ssp245,2041,39,14,6,0,47,0,10,23,4,12,8,29,0,27,37,78,363,9,47,25,37,13,6,0,45,0,10,21,4,12,7,26,0,27,35,75,363,9,44,25,7,5,1,0,8,0,3,6,1,3,2,6,0,4,6,13,2,2,9,5,7,4,6,0,7,0,6,6,4,6,4,8,0,12,10,7,254,7,7,7,5.29,2.6,6.0,0.0,5.62,0.0,3.33,3.5,4.0,4.0,3.5,4.33,0.0,6.75,5.83,5.77,181.5,4.5,4.89,5.0,38.9,18.5,0.0,50.100000000000044,37.95,17.0,0.0,48.00000000000004,4.15,3.5,0.0,8.100000000000001,18.1,6.5,0.0,10.200000000000003,12.8205,4.415,0.0,6.075000000000001
