threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,30,35,17,0,25,0,19,10,16,7,29,11,12,31,45,20,28,21,19,10,28,34,17,0,24,0,18,10,15,7,28,8,11,29,41,20,28,21,18,10,7,7,3,0,5,0,4,2,4,2,5,2,3,6,8,3,6,5,3,2,6,8,7,0,8,0,8,5,5,5,7,5,7,7,8,9,9,7,8,5,4.0,4.86,5.67,0.0,4.8,0.0,4.5,5.0,3.75,3.5,5.6,4.0,3.67,4.83,5.12,6.67,4.67,4.2,6.0,5.0,19.25,19.0,6.300000000000001,31.400000000000006,18.35,18.0,6.300000000000001,29.500000000000007,3.85,3.5,1.8000000000000003,7.0,6.2,7.0,4.500000000000001,8.100000000000001,4.292,4.734999999999999,3.1500000000000004,5.703
rzsm>0.7_pr>50,ssp245,2016,14,37,19,0,36,34,0,46,33,10,33,7,11,7,28,21,32,43,17,25,12,35,19,0,33,34,0,43,32,10,32,6,10,6,28,21,32,43,17,25,4,6,4,0,7,5,0,7,5,2,7,2,2,1,5,3,2,7,3,6,4,7,7,0,7,10,0,18,10,7,7,4,5,6,7,12,30,10,8,6,3.0,5.83,4.75,0.0,4.71,6.8,0.0,6.14,6.4,5.0,4.57,3.0,5.0,6.0,5.6,7.0,16.0,6.14,5.67,4.17,22.65,23.0,6.300000000000001,37.60000000000001,21.9,23.0,5.4,35.80000000000001,3.9,4.0,0.9000000000000001,7.0,8.25,7.0,3.6000000000000005,12.600000000000009,5.289,5.3,2.7,6.82
rzsm>0.7_pr>50,ssp245,2017,29,19,0,2,33,17,7,24,22,17,32,39,22,19,26,75,48,20,13,45,27,18,0,2,31,14,6,23,21,17,32,38,21,19,25,75,48,16,12,43,6,4,0,1,7,2,1,6,5,4,7,7,5,4,5,11,3,4,3,9,7,5,0,2,7,8,6,7,7,5,7,7,8,9,7,14,42,6,5,7,4.5,4.5,0.0,2.0,4.43,7.0,6.0,3.83,4.2,4.25,4.57,5.43,4.2,4.75,5.0,6.82,16.0,4.0,4.0,4.78,25.45,22.0,6.500000000000001,45.300000000000004,24.4,21.0,5.6000000000000005,43.50000000000001,4.7,4.5,1.0,7.200000000000003,8.3,7.0,4.7,9.500000000000007,5.013,4.5,3.6470000000000002,6.838
rzsm>0.7_pr>50,ssp245,2018,56,28,6,17,30,6,20,23,30,44,55,31,41,73,36,28,104,0,12,44,56,26,6,17,30,6,19,19,28,43,52,31,41,72,34,25,103,0,12,41,11,4,1,4,5,1,5,5,6,8,6,7,11,12,7,4,6,0,4,10,7,13,6,6,10,6,6,6,8,7,16,8,6,7,7,7,66,0,5,7,5.09,6.5,6.0,4.25,6.0,6.0,3.8,3.8,4.67,5.38,8.67,4.43,3.73,6.0,4.86,6.25,17.17,0.0,3.0,4.1,34.2,30.0,6.0,57.700000000000024,33.05,29.0,6.0,57.60000000000002,5.85,5.5,1.0,11.0,10.2,7.0,5.9,13.300000000000004,5.485,4.975,3.657,6.717000000000003
rzsm>0.7_pr>50,ssp245,2019,40,3,9,3,0,27,18,42,26,14,42,27,51,34,57,18,100,23,23,27,39,2,8,3,0,25,17,41,24,13,40,23,49,33,56,17,100,22,20,26,7,1,2,1,0,7,4,9,5,3,8,6,9,7,10,4,9,4,3,6,12,2,6,3,0,7,6,9,6,6,7,7,12,7,13,6,44,7,10,7,5.57,2.0,4.0,3.0,0.0,3.57,4.25,4.56,4.8,4.33,5.0,3.83,5.44,4.71,5.6,4.25,11.11,5.5,6.67,4.33,29.2,26.5,3.0,51.60000000000001,27.9,23.5,2.9000000000000004,49.70000000000001,5.25,5.5,1.0,9.0,8.85,7.0,2.9000000000000004,12.100000000000001,4.6259999999999994,4.445,2.9000000000000004,5.707000000000002
rzsm>0.7_pr>50,ssp245,2020,1,28,28,0,52,16,0,13,19,24,67,30,32,46,54,37,156,13,52,19,0,28,27,0,51,16,0,12,19,22,66,27,30,44,53,34,156,12,48,19,0,5,7,0,8,4,0,3,4,5,12,6,5,9,11,8,6,2,10,4,0,6,6,0,12,6,0,5,10,6,12,7,9,10,14,7,73,9,10,7,0.0,5.6,3.86,0.0,6.38,4.0,0.0,4.0,4.75,4.4,5.5,4.5,6.0,4.89,4.82,4.25,26.0,6.0,4.8,4.75,34.35,28.0,0.9000000000000001,55.30000000000002,33.2,27.0,0.0,54.30000000000002,5.45,5.0,0.0,10.100000000000001,10.45,7.0,0.0,12.200000000000003,5.225,4.75,0.0,6.038
rzsm>0.7_pr>50,ssp245,2021,9,14,30,0,46,31,19,10,26,12,0,5,64,41,20,5,174,28,8,6,8,13,30,0,46,29,19,10,25,11,0,5,62,39,20,4,173,25,7,4,2,3,7,0,7,6,3,2,5,3,0,1,12,7,4,1,5,4,1,2,4,6,6,0,14,9,7,5,7,5,0,5,7,8,6,4,95,13,7,2,4.0,4.33,4.29,0.0,6.57,4.83,6.33,5.0,5.0,3.67,0.0,5.0,5.17,5.57,5.0,4.0,34.6,6.25,7.0,2.0,27.4,16.5,4.500000000000001,47.800000000000026,26.5,16.0,3.6000000000000005,47.60000000000002,3.75,3.0,0.9000000000000001,7.0,10.5,6.0,1.8000000000000003,13.100000000000001,5.9305,5.0,1.8000000000000003,6.613
rzsm>0.7_pr>50,ssp245,2022,10,9,21,21,39,21,15,6,26,5,5,16,7,10,26,21,246,50,5,10,9,8,21,21,38,21,14,6,26,5,5,15,6,10,25,16,246,50,2,10,3,2,4,5,6,5,3,1,5,1,1,2,1,3,4,5,11,11,1,2,4,6,6,6,10,7,6,6,10,5,5,9,6,5,11,5,51,7,2,6,3.0,4.0,5.25,4.2,6.33,4.2,4.67,6.0,5.2,5.0,5.0,7.5,6.0,3.33,6.25,3.2,22.36,4.55,2.0,5.0,28.45,15.5,5.0,40.100000000000016,27.7,14.5,5.0,39.20000000000002,3.8,3.0,1.0,6.500000000000007,8.65,6.0,4.9,10.100000000000001,5.651999999999999,5.0,3.18,6.447000000000002
rzsm>0.7_pr>50,ssp245,2023,18,20,68,10,0,16,43,6,18,1,35,11,19,13,34,11,263,50,27,27,17,19,63,10,0,16,40,5,17,0,34,10,19,13,31,11,262,48,25,25,4,5,10,2,0,3,6,1,4,0,5,3,4,2,8,2,8,9,6,4,7,6,14,7,0,8,13,5,5,0,10,5,10,7,7,6,125,7,5,8,4.25,3.8,6.3,5.0,0.0,5.33,6.67,5.0,4.25,0.0,6.8,3.33,4.75,6.5,3.88,5.5,32.75,5.33,4.17,6.25,34.5,18.5,5.500000000000001,51.800000000000026,33.25,18.0,4.500000000000001,49.50000000000002,4.3,4.0,0.9000000000000001,8.100000000000001,12.75,7.0,4.500000000000001,13.100000000000001,5.993,5.0,2.9970000000000003,6.683
rzsm>0.7_pr>50,ssp245,2024,26,0,47,2,24,16,46,24,17,46,57,46,18,9,49,2,177,18,26,11,26,0,45,0,23,15,45,22,17,46,56,43,18,9,48,2,176,18,23,10,5,0,7,0,3,4,8,6,3,8,8,10,4,2,10,1,2,3,5,2,8,0,12,0,8,6,7,6,7,10,9,8,7,7,6,2,122,7,7,8,5.2,0.0,6.43,0.0,7.67,3.75,5.62,3.67,5.67,5.75,7.0,4.3,4.5,4.5,4.8,2.0,88.0,6.0,4.6,5.0,33.05,24.0,2.0,49.80000000000001,32.1,22.5,1.8000000000000003,48.80000000000001,4.55,4.0,0.9000000000000001,8.200000000000003,12.35,7.0,1.8000000000000003,10.200000000000003,8.723,4.9,1.8000000000000003,7.067000000000001
rzsm>0.7_pr>50,ssp245,2025,39,26,7,0,31,29,18,19,36,23,56,28,13,0,24,32,118,1,47,4,39,26,3,0,29,29,16,18,35,21,55,23,11,0,23,32,116,0,45,4,7,6,1,0,7,6,4,4,8,4,9,3,2,0,4,4,7,0,8,2,9,6,3,0,8,8,5,6,7,7,13,11,7,0,7,14,28,0,10,2,5.57,4.33,3.0,0.0,4.14,4.83,4.0,4.5,4.38,5.25,6.11,7.67,5.5,0.0,5.75,8.0,16.57,0.0,5.62,2.0,27.55,25.0,0.9000000000000001,47.90000000000001,26.25,23.0,0.0,46.000000000000014,4.3,4.0,0.0,8.0,7.55,7.0,0.0,13.100000000000001,4.861,4.665,0.0,7.703
rzsm>0.7_pr>50,ssp245,2026,48,21,5,6,1,31,47,0,12,25,30,50,48,18,21,12,163,10,32,0,46,20,5,6,0,30,46,0,12,25,28,50,43,17,20,11,162,8,30,0,9,4,1,1,0,7,8,0,2,5,8,11,8,4,5,4,5,2,6,0,7,6,5,6,0,6,8,0,7,7,6,8,8,6,7,4,123,5,11,0,5.11,5.0,5.0,6.0,0.0,4.29,5.75,0.0,6.0,5.0,3.5,4.55,5.38,4.25,4.0,2.75,32.4,4.0,5.0,0.0,29.0,21.0,0.9000000000000001,48.2,27.95,20.0,0.0,46.400000000000006,4.5,4.5,0.0,8.100000000000001,11.5,6.0,0.0,8.300000000000004,5.398999999999999,4.775,0.0,6.0
