threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,31,74,33,4,23,12,23,16,23,11,41,32,21,34,35,33,151,28,18,19,30,73,32,3,21,12,23,14,22,11,39,31,19,34,34,33,151,25,15,18,6,10,7,1,4,5,5,3,5,3,9,6,5,9,6,6,14,7,4,3,10,12,7,3,14,4,6,9,6,5,8,6,7,7,8,11,44,7,6,6,5.0,7.3,4.57,3.0,5.25,2.4,4.6,4.67,4.4,3.67,4.33,5.17,3.8,3.78,5.67,5.5,10.79,3.57,3.75,6.0,33.1,25.5,11.9,44.30000000000005,32.0,24.0,11.9,42.40000000000005,5.9,5.5,3.0,9.100000000000001,9.3,7.0,4.9,12.200000000000003,4.861,4.585,3.513,6.130000000000002
rzsm>0.7_pr>50,ssp245,2016,39,27,32,16,6,35,10,28,12,20,66,34,20,35,29,56,178,21,20,39,38,26,32,16,6,35,10,28,11,19,66,34,18,32,28,53,177,17,19,36,7,6,6,3,1,7,4,8,2,5,13,7,4,6,6,9,10,3,3,6,8,7,12,6,6,7,3,5,7,7,10,8,6,10,7,15,70,8,10,7,5.43,4.33,5.33,5.33,6.0,5.0,2.5,3.5,5.5,3.8,5.08,4.86,4.5,5.33,4.67,5.89,17.7,5.67,6.33,6.0,36.15,28.5,11.8,57.000000000000014,35.05,28.0,10.9,54.30000000000002,5.8,6.0,2.9000000000000004,9.100000000000001,10.95,7.0,5.9,12.300000000000004,5.6375,5.33,3.77,6.033
rzsm>0.7_pr>50,ssp245,2017,24,56,37,18,39,10,45,44,2,5,26,53,20,16,17,38,153,18,18,37,23,53,34,18,37,10,44,44,0,4,25,53,19,15,17,37,150,16,16,34,5,11,6,5,7,4,6,12,0,2,4,10,3,3,4,7,6,5,2,6,7,8,8,6,7,3,12,7,0,2,7,7,10,6,5,9,85,7,14,10,4.6,4.82,5.67,3.6,5.29,2.5,7.33,3.67,0.0,2.0,6.25,5.3,6.33,5.0,4.25,5.29,25.0,3.2,8.0,5.67,33.8,25.0,9.5,53.300000000000004,32.45,24.0,9.4,53.0,5.4,5.0,2.0,10.100000000000001,11.0,7.0,2.9000000000000004,12.200000000000003,5.6885,5.145,2.45,7.397000000000001
rzsm>0.7_pr>50,ssp245,2018,49,31,13,8,42,30,24,29,33,9,35,11,18,29,27,38,106,17,19,16,47,31,13,8,42,28,21,28,31,9,35,10,17,28,27,37,103,16,17,16,9,6,2,4,9,8,6,5,8,3,6,1,4,5,5,7,11,3,4,3,8,7,7,2,7,7,5,7,6,5,8,10,6,8,8,7,37,6,8,7,5.22,5.17,6.5,2.0,4.67,3.5,3.5,5.6,3.88,3.0,5.83,10.0,4.25,5.6,5.4,5.29,9.36,5.33,4.25,5.33,29.2,28.0,10.8,42.70000000000001,28.2,27.5,9.9,42.50000000000001,5.45,5.0,2.9000000000000004,9.0,8.3,7.0,5.0,8.200000000000003,5.184,5.255,3.45,6.786000000000004
rzsm>0.7_pr>50,ssp245,2019,42,9,50,0,50,68,8,30,44,6,14,25,34,32,45,67,94,39,9,19,39,7,50,0,49,66,8,29,43,4,13,24,31,31,44,64,94,36,8,19,6,2,10,0,9,11,2,6,7,2,3,5,8,7,8,12,8,7,2,5,17,4,8,0,7,12,6,11,9,2,6,8,6,7,8,8,28,7,5,7,6.5,3.5,5.0,0.0,5.44,6.0,4.0,4.83,6.14,2.0,4.33,4.8,3.88,4.43,5.5,5.33,11.75,5.14,4.0,3.8,34.25,33.0,7.800000000000001,67.1,32.95,31.0,6.7,64.2,6.0,6.5,2.0,10.100000000000001,8.3,7.0,3.8000000000000003,12.500000000000007,4.818499999999999,4.8149999999999995,3.35,6.176
rzsm>0.7_pr>50,ssp245,2020,36,14,72,1,32,38,34,4,42,25,8,30,18,35,14,46,155,12,32,21,35,14,70,0,30,36,34,2,42,25,7,27,17,33,14,44,154,12,31,21,7,3,9,0,6,7,7,1,6,3,1,4,4,8,4,9,17,2,6,6,9,6,12,0,7,8,10,2,10,15,7,8,7,7,6,8,34,7,12,6,5.0,4.67,7.78,0.0,5.0,5.14,4.86,2.0,7.0,8.33,7.0,6.75,4.25,4.12,3.5,4.89,9.06,6.0,5.17,3.5,33.45,31.0,7.6000000000000005,48.60000000000004,32.4,28.5,6.500000000000001,46.60000000000004,5.5,6.0,1.0,9.0,9.05,7.5,5.6000000000000005,12.300000000000004,5.2010000000000005,5.0,3.35,7.835000000000001
rzsm>0.7_pr>50,ssp245,2021,9,33,35,3,32,12,15,6,15,11,6,44,8,16,26,32,127,16,34,13,9,31,34,3,30,11,13,6,15,10,4,42,8,12,26,31,126,15,33,13,3,5,7,1,6,2,4,2,3,3,1,8,3,2,6,5,14,3,6,3,3,9,7,3,10,6,5,4,6,6,4,13,4,8,7,10,33,6,9,7,3.0,6.2,4.86,3.0,5.0,5.5,3.25,3.0,5.0,3.33,4.0,5.25,2.67,6.0,4.33,6.2,9.0,5.0,5.5,4.33,24.65,15.5,6.0,35.90000000000001,23.6,14.0,5.800000000000001,34.80000000000001,4.35,3.0,1.9000000000000001,7.100000000000001,8.0,6.5,3.9000000000000004,10.300000000000004,4.721,4.93,3.0,6.2
rzsm>0.7_pr>50,ssp245,2022,30,17,47,18,29,6,33,18,46,23,34,35,25,16,35,33,89,36,12,18,24,17,47,16,28,6,32,17,45,23,32,34,24,15,34,29,86,35,11,16,3,4,9,4,6,1,7,4,8,4,7,6,5,3,6,7,11,7,3,4,16,6,11,7,8,6,7,6,8,6,7,9,7,7,12,7,21,7,4,6,8.0,4.25,5.22,4.0,4.67,6.0,4.57,4.25,5.62,5.75,4.57,5.67,4.8,5.0,5.67,4.14,7.82,5.0,3.67,4.0,30.0,29.5,15.600000000000001,46.1,28.55,26.0,14.600000000000001,45.2,5.45,5.5,3.0,8.100000000000001,8.4,7.0,6.0,12.400000000000006,5.1335,4.9,4.0,6.182000000000002
rzsm>0.7_pr>50,ssp245,2023,33,13,56,18,19,19,31,21,37,31,33,36,35,29,29,36,187,69,29,26,33,11,54,16,17,19,29,20,33,31,32,35,32,29,29,35,186,67,29,24,8,3,10,5,5,4,5,5,8,6,4,8,5,5,4,5,14,11,5,6,7,6,11,4,6,7,9,6,6,6,13,7,10,8,13,17,67,13,11,9,4.12,3.67,5.4,3.2,3.4,4.75,5.8,4.0,4.12,5.17,8.0,4.38,6.4,5.8,7.25,7.0,13.29,6.09,5.8,4.0,39.35,31.0,18.9,57.30000000000002,38.05,30.0,16.9,55.30000000000002,6.3,5.0,4.0,10.100000000000001,11.8,8.5,6.0,13.400000000000006,5.582,5.285,3.643,7.325000000000001
rzsm>0.7_pr>50,ssp245,2024,42,7,56,16,60,23,33,18,12,18,35,45,39,26,42,20,102,11,20,33,40,7,55,15,60,23,31,16,12,16,34,45,39,26,40,15,100,10,18,32,7,2,12,4,10,6,7,3,2,4,6,7,7,6,7,4,11,3,5,6,12,5,8,7,13,6,7,6,6,6,7,14,7,7,10,7,29,6,7,8,5.71,3.5,4.58,3.75,6.0,3.83,4.43,5.33,6.0,4.0,5.67,6.43,5.57,4.33,5.71,3.75,9.09,3.33,3.6,5.33,32.9,29.5,11.9,56.400000000000006,31.7,28.5,11.8,55.50000000000001,5.95,6.0,2.9000000000000004,10.100000000000001,8.9,7.0,6.0,13.100000000000001,4.996999999999999,4.955,3.5900000000000003,6.043
