ssp,date,mean_pr,med_pr,p10_pr,p90_pr,mean_rzsm,med_rzsm,p10_rzsm,p90_rzsm
ssp126,2015,21.46007485502911,21.66442493259504,18.134723189743283,24.34972460555145,,,,
ssp126,2016,21.27106273543199,21.57306191677607,17.70681619380934,24.049921726926076,,,,
ssp126,2017,21.227035512829023,21.118821569690944,18.414083891938237,23.840434758334684,,,,
ssp126,2018,22.75547021531931,22.644523844029102,18.47232007182294,26.872383395963165,,,,
ssp126,2019,22.03536221291102,21.596447496301025,18.188656865502185,27.092633094724665,,,,
ssp126,2020,22.029587369239774,21.67255703175521,19.29257795101152,24.979975078317636,,,,
ssp126,2021,21.557106738877682,21.037791925635048,18.687298102317417,25.61521601919397,,,,
ssp126,2022,22.553360008324802,22.762959251656,19.40785571092817,25.59211815357027,,,,
ssp126,2023,22.735747044684867,23.052170261989446,19.899098719505027,25.003778699080353,,,,
ssp126,2024,21.595797085023506,22.1794284860959,17.244395085475933,24.937556501361588,,,,
ssp126,2025,21.342988665632642,21.12315568458947,18.8493915039324,25.299710860917816,,,,
ssp126,2026,21.665138385279242,21.74053607012145,17.72700504013518,24.85134491374178,,,,
ssp126,2027,22.572309648094738,21.910167108822343,20.098324212360083,25.142379266261763,,,,
ssp126,2028,21.834876169972123,21.846835963623622,18.235332596763413,25.2872783748836,,,,
ssp126,2029,21.411540091915203,21.01095317952474,19.127458695501584,24.79546034868891,,,,
ssp126,2030,22.287349073664828,22.121881272557125,19.37669631344375,25.489348582369388,,,,
ssp126,2031,22.4586232183277,22.193529733019027,20.45541060528969,25.781972361955326,,,,
ssp126,2032,22.016619871496555,21.655392730275175,20.415960635422636,25.149127044745764,,,,
ssp126,2033,21.789511063341095,21.42381779402907,18.903300957277825,25.84294407073412,,,,
ssp126,2034,23.924046085332442,23.34837252355294,20.61250165324134,27.57065170826359,,,,
ssp126,2035,22.965576372193087,21.960232312935368,19.21740754820473,27.816274262357343,,,,
ssp126,2036,22.81311568672482,23.61578652611383,19.235980583027704,25.851706028928852,,,,
ssp126,2037,22.91260768466097,22.14827124593289,20.34476811801566,26.560348676537437,,,,
ssp126,2038,22.111179053634707,22.052594318835176,18.876457082920446,25.221456163097567,,,,
ssp126,2039,22.293278375499213,22.860938987579956,18.28472016794162,25.690899572248604,,,,
ssp126,2040,22.081673968237688,21.39071812786192,18.825672166746127,25.93505380912242,,,,
ssp126,2041,22.22439952959894,22.132160153305243,20.01756864370262,24.621626679149607,,,,
ssp126,2042,22.256991164290678,22.984545947106348,18.002653761307133,26.42025506286778,,,,
ssp126,2043,22.406705112074437,22.449863201171524,18.57952792515479,26.606790991440747,,,,
ssp126,2044,22.234302840234864,22.08688762706417,19.26523286404632,25.358306412943286,,,,
ssp126,2045,23.559344345441716,23.978865540352704,20.004832285148332,26.503162174749033,,,,
ssp126,2046,22.47126578989295,22.189206477976015,19.037698635898987,25.18213735527486,,,,
ssp126,2047,23.066959442808763,22.40902531771454,19.99944093008374,27.492625102334344,,,,
ssp126,2048,22.708507762291198,22.24029658269068,19.74649291110363,26.457292672836193,,,,
ssp126,2049,21.968279516680884,21.530448834123113,19.36906097128883,24.653228782600795,,,,
ssp126,2050,23.070993295620937,22.927629659849856,19.46095289426579,26.851316689166254,,,,
ssp126,2051,22.403851176505125,22.360938777525632,18.81838926746261,25.71988586795594,,,,
ssp126,2052,22.092554859134562,21.395436143267222,19.213345113944367,26.268555694648004,,,,
ssp126,2053,22.58655242354794,21.847829093818145,19.120920125883796,27.10654006188997,,,,
ssp126,2054,23.507724103512558,22.801402279709798,21.355966573603126,26.796298748855715,,,,
ssp126,2055,22.04623782807079,21.998901145030956,18.86270130255093,25.30263191741486,,,,
ssp126,2056,22.45457052692034,22.538471907758098,19.249676541891724,24.933732112519948,,,,
ssp126,2057,22.867661473095538,22.569271103154406,19.74245054111688,25.75124156815931,,,,
ssp126,2058,23.25890149387652,23.04618753963375,19.87548683557738,25.967809349124344,,,,
ssp126,2059,22.111092414535765,21.769334790051055,18.45325272755208,25.870236218440944,,,,
ssp126,2060,22.840917190705998,22.492124299858467,19.09506982730919,26.799507024859924,,,,
ssp126,2061,22.81129551582365,23.034991455927393,20.109810377740246,24.69912138163786,,,,
ssp126,2062,22.6825349065118,22.82401865075233,18.876593789089917,25.72153495740495,,,,
ssp126,2063,22.990041024788184,22.42230152033312,19.14952646563022,27.99200688285789,,,,
ssp126,2064,21.626294385304252,21.221450914564898,18.46856447669449,26.02870629693327,,,,
ssp126,2065,23.619476584288464,23.36708855742053,20.031505558049517,27.45640772736527,,,,
ssp126,2066,23.577262691552672,23.137608746920243,19.728682637312744,27.306152272836574,,,,
ssp126,2067,22.61305254148458,22.186194588538314,18.991590914761794,26.132636492813326,,,,
ssp126,2068,21.786334194473596,22.129410174719325,19.62972918958407,24.384032992789237,,,,
ssp126,2069,22.076484941730914,21.849856528612207,19.67945755949318,24.84741820215383,,,,
ssp126,2070,21.482508929574042,21.38005924127536,19.720734439787428,24.110069688894114,,,,
ssp126,2071,22.900871911716152,22.522052751286743,19.991755377076306,27.46628950520197,,,,
