threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2025,4,9,0,19,0,12,5,7,1,24,10,5,8,8,1,15,134,0,38,11,3,8,0,19,0,12,5,7,0,23,10,4,8,8,0,13,132,0,36,10,1,1,0,3,0,3,1,2,0,4,2,1,2,3,0,3,9,0,8,3,3,8,0,8,0,7,5,5,0,10,6,4,4,3,0,7,36,0,7,4,3.0,8.0,0.0,6.33,0.0,4.0,5.0,3.5,0.0,5.75,5.0,4.0,4.0,2.67,0.0,4.33,14.67,0.0,4.5,3.33,15.55,8.0,0.0,25.40000000000002,14.9,8.0,0.0,24.30000000000002,2.3,2.0,0.0,4.400000000000006,5.85,4.5,0.0,8.200000000000003,3.904,4.0,0.0,6.4970000000000026
rzsm>0.7_pr>50,ssp245,2026,30,5,15,8,0,14,6,5,9,5,4,11,18,16,12,8,219,5,13,9,29,4,15,8,0,14,6,5,9,4,3,10,16,16,12,8,219,5,13,9,6,2,4,3,0,3,1,1,2,1,1,2,3,3,2,2,8,1,3,2,7,2,5,3,0,8,6,5,7,4,3,7,8,8,8,5,158,5,6,6,4.83,2.0,3.75,2.67,0.0,4.67,6.0,5.0,4.5,4.0,3.0,5.0,5.33,5.33,6.0,4.0,27.38,5.0,4.33,4.5,20.6,9.0,4.9,19.200000000000017,20.25,9.0,3.9000000000000004,17.30000000000002,2.5,2.0,1.0,4.200000000000003,13.05,6.0,2.9000000000000004,8.0,5.3645,4.585,2.603,6.0
rzsm>0.7_pr>50,ssp245,2027,32,17,16,16,4,6,2,7,13,10,17,2,6,0,6,12,192,11,7,8,26,17,15,15,4,6,2,7,13,10,17,2,4,0,4,9,192,11,7,8,5,4,4,3,1,1,1,3,3,3,3,1,1,0,1,3,6,3,2,2,10,5,7,7,4,6,2,3,6,5,9,2,4,0,4,4,80,5,4,6,5.2,4.25,3.75,5.0,4.0,6.0,2.0,2.33,4.33,3.33,5.67,2.0,4.0,0.0,4.0,3.0,32.0,3.67,3.5,4.0,19.2,9.0,2.0,18.50000000000002,18.45,8.5,2.0,17.900000000000013,2.5,3.0,1.0,4.100000000000001,8.65,5.0,2.0,9.100000000000001,5.1015,4.0,2.0,5.703
rzsm>0.7_pr>50,ssp245,2028,17,14,40,7,0,18,1,11,19,5,11,4,16,5,2,14,152,8,5,6,16,14,37,6,0,16,0,8,19,5,11,4,16,5,2,10,150,6,5,6,3,3,6,1,0,3,0,2,4,2,3,1,4,1,1,3,9,1,2,1,7,7,13,6,0,12,0,6,7,3,5,4,8,5,2,5,50,6,3,6,5.33,4.67,6.17,6.0,0.0,5.33,0.0,4.0,4.75,2.5,3.67,4.0,4.0,5.0,2.0,3.33,16.67,6.0,2.5,6.0,17.75,9.5,1.9000000000000001,21.10000000000003,16.8,7.0,1.8000000000000003,20.800000000000026,2.5,2.0,0.9000000000000001,4.200000000000003,7.75,6.0,1.8000000000000003,12.100000000000001,4.596,4.335,1.8000000000000003,6.017
rzsm>0.7_pr>50,ssp245,2029,11,4,0,9,2,14,4,6,6,8,13,23,18,16,5,0,94,14,16,16,11,4,0,7,0,13,4,3,5,7,9,22,18,16,5,0,91,14,16,14,4,2,0,2,0,2,1,1,2,1,2,3,4,2,1,0,10,3,4,2,3,2,0,5,0,11,4,3,3,7,7,10,7,10,5,0,27,6,7,8,2.75,2.0,0.0,3.5,0.0,6.5,4.0,3.0,2.5,7.0,4.5,7.33,4.5,8.0,5.0,0.0,9.1,4.67,4.0,7.0,13.95,10.0,1.8000000000000003,18.500000000000007,12.95,8.0,0.0,18.400000000000006,2.3,2.0,0.0,4.0,6.25,5.5,0.0,10.100000000000001,4.2675,4.25,0.0,7.397000000000001
rzsm>0.7_pr>50,ssp245,2030,6,7,5,26,10,26,20,11,10,21,5,11,0,16,5,1,0,16,14,20,5,4,5,24,10,25,20,9,10,21,5,11,0,15,5,0,0,15,13,18,2,2,1,6,2,5,4,2,2,4,1,3,0,6,1,0,0,5,4,4,3,2,5,9,6,8,7,6,7,9,5,5,0,3,5,0,0,6,4,7,2.5,2.0,5.0,4.0,5.0,5.0,5.0,4.5,5.0,5.25,5.0,3.67,0.0,2.5,5.0,0.0,0.0,3.0,3.25,4.5,11.5,10.5,0.9000000000000001,21.500000000000007,10.75,10.0,0.0,21.300000000000004,2.7,2.0,0.0,5.100000000000001,4.85,5.0,0.0,8.100000000000001,3.5085,4.25,0.0,5.0
rzsm>0.7_pr>50,ssp245,2031,17,26,5,12,3,6,18,14,8,16,7,4,0,0,10,4,172,13,2,11,16,25,4,12,2,5,17,14,6,14,7,3,0,0,8,4,170,13,2,11,3,5,1,3,1,2,3,4,1,4,2,1,0,0,2,1,4,4,1,3,6,7,4,5,2,3,7,7,6,7,5,3,0,0,5,4,111,7,2,5,5.33,5.0,4.0,4.0,2.0,2.5,5.67,3.5,6.0,3.5,3.5,3.0,0.0,0.0,4.0,4.0,42.5,3.25,2.0,3.67,17.4,9.0,1.8000000000000003,18.80000000000001,16.65,7.5,1.8000000000000003,17.80000000000001,2.25,2.0,0.9000000000000001,4.0,9.8,5.0,1.8000000000000003,7.0,5.371,3.585,1.8000000000000003,5.703
rzsm>0.7_pr>50,ssp245,2032,10,19,13,8,1,11,23,6,6,15,20,0,5,9,0,9,135,9,16,23,9,19,13,7,0,11,23,5,5,14,18,0,5,8,0,7,132,9,16,23,2,5,3,3,0,3,4,2,2,2,5,0,2,2,0,1,9,3,4,5,6,5,6,3,0,5,7,3,3,7,7,0,3,6,0,7,69,4,6,7,4.5,3.8,4.33,2.33,0.0,3.67,5.75,2.5,2.5,7.0,3.6,0.0,2.5,4.0,0.0,7.0,14.67,3.0,4.0,4.6,16.9,9.5,0.9000000000000001,23.0,16.2,9.0,0.0,23.0,2.85,2.5,0.0,5.0,7.7,5.5,0.0,7.0,3.9875,3.735,0.0,7.0
rzsm>0.7_pr>50,ssp245,2033,12,14,13,18,0,1,20,20,4,12,30,21,13,12,13,0,309,5,22,6,12,14,12,18,0,0,20,20,4,12,29,19,13,12,12,0,309,5,21,6,2,4,3,4,0,0,5,4,1,3,6,4,4,2,3,0,4,1,4,1,7,5,5,8,0,0,8,7,4,6,9,7,6,7,6,0,212,5,9,6,6.0,3.5,4.0,4.5,0.0,0.0,4.0,5.0,4.0,4.0,4.83,4.75,3.25,6.0,4.0,0.0,77.25,5.0,5.25,6.0,27.25,13.0,0.9000000000000001,22.80000000000001,26.9,12.0,0.0,21.80000000000001,2.75,3.0,0.0,4.100000000000001,15.85,6.0,0.0,9.0,7.5665,4.25,0.0,6.0
rzsm>0.7_pr>50,ssp245,2034,24,13,29,26,1,9,9,9,6,0,6,6,3,21,13,12,46,11,22,15,22,11,26,26,0,8,8,9,3,0,5,5,3,21,11,10,44,9,21,15,5,3,7,4,0,3,2,2,1,0,2,1,1,5,4,2,3,3,4,3,7,7,6,8,0,4,4,7,3,0,3,5,3,7,4,7,22,5,7,6,4.4,3.67,3.71,6.5,0.0,2.67,4.0,4.5,3.0,0.0,2.5,5.0,3.0,4.2,2.75,5.0,14.67,3.0,5.25,5.0,14.05,11.5,2.8000000000000003,26.300000000000004,12.85,9.5,2.7,26.0,2.75,3.0,0.9000000000000001,5.0,5.75,5.5,2.7,7.100000000000001,4.141,3.855,2.2500000000000004,5.375000000000002
rzsm>0.7_pr>50,ssp245,2035,1,7,5,11,0,8,0,5,22,14,12,5,2,22,2,27,136,1,11,24,0,6,5,10,0,8,0,5,22,12,12,4,2,22,2,25,136,0,9,20,0,2,1,2,0,2,0,1,4,4,3,1,1,6,1,3,7,0,2,3,0,4,5,8,0,5,0,5,6,5,7,4,2,6,2,11,71,0,6,9,0.0,3.0,5.0,5.0,0.0,4.0,0.0,5.0,5.5,3.0,4.0,4.0,2.0,3.67,2.0,8.33,19.43,0.0,4.5,6.67,15.75,7.5,0.9000000000000001,24.300000000000004,15.0,7.0,0.0,22.300000000000004,2.15,2.0,0.0,4.200000000000003,7.8,5.0,0.0,9.200000000000003,4.255000000000001,4.0,0.0,6.836000000000002
rzsm>0.7_pr>50,ssp245,2036,13,20,4,11,0,34,20,3,7,6,24,18,0,23,5,26,179,15,22,13,13,20,4,11,0,33,19,3,5,5,24,18,0,23,5,23,179,15,22,11,4,5,1,2,0,6,5,1,1,1,4,4,0,5,1,6,9,3,6,2,5,7,4,7,0,10,6,3,5,5,7,7,0,6,5,7,89,6,7,9,3.25,4.0,4.0,5.5,0.0,5.5,3.8,3.0,5.0,5.0,6.0,4.5,0.0,4.6,5.0,3.83,19.89,5.0,3.67,5.5,22.15,14.0,2.7,26.80000000000001,21.65,14.0,2.7,24.900000000000013,3.3,3.5,0.9000000000000001,6.0,9.75,6.0,2.7,9.100000000000001,4.852,4.55,2.7,5.550000000000001
rzsm>0.7_pr>50,ssp245,2037,15,23,8,4,3,15,21,10,8,14,29,13,3,20,6,1,143,4,6,39,15,22,7,4,3,14,19,8,8,14,29,11,2,18,5,0,141,3,5,39,3,3,2,1,1,3,6,1,1,5,4,3,1,3,1,0,8,1,1,7,6,11,4,4,3,6,5,8,8,5,12,6,2,7,5,0,53,3,5,9,5.0,7.33,3.5,4.0,3.0,4.67,3.17,8.0,8.0,2.8,7.25,3.67,2.0,6.0,5.0,0.0,17.62,3.0,5.0,5.57,19.25,11.5,3.0,30.000000000000014,18.35,9.5,2.9000000000000004,30.000000000000014,2.75,2.5,1.0,6.100000000000001,8.1,5.5,2.9000000000000004,11.100000000000001,5.229000000000001,4.835,2.7199999999999998,8.0
rzsm>0.7_pr>50,ssp245,2038,10,13,5,14,0,14,21,9,15,7,5,24,16,17,5,8,207,16,20,0,9,12,5,13,0,14,19,8,15,6,4,23,14,17,5,8,207,16,19,0,2,3,2,3,0,2,5,2,3,2,1,6,3,3,1,2,6,4,5,0,7,5,3,5,0,7,7,4,5,4,4,6,6,6,5,6,185,6,6,0,4.5,4.0,2.5,4.33,0.0,7.0,3.8,4.0,5.0,3.0,4.0,3.83,4.67,5.67,5.0,4.0,34.5,4.0,3.8,0.0,21.3,13.5,4.500000000000001,21.300000000000004,20.7,12.5,3.6000000000000005,19.400000000000006,2.75,2.5,0.9000000000000001,5.100000000000001,13.85,5.5,2.7,7.0,5.38,4.0,2.2500000000000004,5.803000000000002
rzsm>0.7_pr>50,ssp245,2039,5,8,5,31,2,14,13,13,22,11,25,6,7,25,8,2,125,8,6,19,2,8,5,28,2,13,10,10,22,11,24,6,7,25,8,2,124,6,6,19,1,1,1,6,1,3,3,3,6,3,5,1,1,6,4,1,7,1,1,3,2,8,5,7,2,6,6,4,6,5,7,6,7,7,2,2,61,6,6,8,2.0,8.0,5.0,4.67,2.0,4.33,3.33,3.33,3.67,3.67,4.8,6.0,7.0,4.17,2.0,2.0,17.71,6.0,6.0,6.33,17.75,9.5,4.7,25.60000000000001,16.9,9.0,2.0,25.300000000000004,2.9,3.0,1.0,6.0,8.15,6.0,2.0,8.0,5.1005,4.5,2.0,7.100000000000001
rzsm>0.7_pr>50,ssp245,2040,10,30,13,5,4,0,50,0,20,16,0,23,0,19,9,17,142,11,18,18,8,29,11,5,4,0,46,0,18,15,0,21,0,19,8,16,140,11,18,18,2,5,2,1,1,0,9,0,3,3,0,5,0,3,3,3,6,3,3,3,6,9,6,5,4,0,11,0,7,7,0,10,0,7,3,7,58,7,10,7,4.0,5.8,5.5,5.0,4.0,0.0,5.11,0.0,6.0,5.0,0.0,4.2,0.0,6.33,2.67,5.33,23.33,3.67,6.0,6.0,20.25,14.5,0.0,32.00000000000003,19.35,13.0,0.0,30.700000000000024,2.75,3.0,0.0,5.100000000000001,8.2,7.0,0.0,10.100000000000001,4.897,5.0,0.0,6.033
rzsm>0.7_pr>50,ssp245,2041,0,0,11,11,0,0,2,11,2,19,15,4,6,28,12,13,132,4,6,5,0,0,10,11,0,0,2,10,2,17,14,4,6,27,11,10,129,4,5,5,0,0,2,3,0,0,1,3,1,4,3,1,1,5,2,3,9,1,1,2,0,0,6,6,0,0,2,4,2,7,7,4,6,7,7,4,53,4,5,3,0.0,0.0,5.0,3.67,0.0,0.0,2.0,3.33,2.0,4.25,4.67,4.0,6.0,5.4,5.5,3.33,14.33,4.0,5.0,2.5,14.05,6.0,0.0,19.900000000000013,13.35,5.5,0.0,18.000000000000014,2.1,1.5,0.0,4.100000000000001,6.35,4.0,0.0,7.0,3.7489999999999997,3.835,0.0,5.550000000000001
