threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,23,3,0,13,1,0,9,15,19,14,17,10,17,13,12,14,33,8,2,10,20,3,0,11,0,0,7,15,19,14,15,9,15,12,11,14,33,8,2,9,5,1,0,3,0,0,2,3,5,3,3,2,3,2,3,3,2,2,1,2,6,3,0,6,0,0,5,9,7,6,7,7,7,7,6,5,20,6,2,6,4.0,3.0,0.0,3.67,0.0,0.0,3.5,5.0,3.8,4.67,5.0,4.5,5.0,6.0,3.67,4.67,16.5,4.0,2.0,4.5,11.65,12.5,0.9000000000000001,19.400000000000006,10.85,11.0,0.0,19.1,2.25,2.0,0.0,3.200000000000003,5.75,6.0,0.0,7.200000000000003,4.174,4.0,0.0,5.100000000000001
rzsm>0.7_pr>50,ssp245,2016,14,20,13,18,0,15,32,18,9,10,13,3,12,7,2,25,0,20,9,26,11,18,12,17,0,14,32,14,8,10,13,3,12,7,2,23,0,18,7,23,3,4,2,4,0,3,7,3,3,2,3,1,2,2,1,3,0,6,3,4,5,6,8,8,0,6,6,7,4,6,5,3,7,4,2,9,0,6,3,8,3.67,4.5,6.0,4.25,0.0,4.67,4.57,4.67,2.67,5.0,4.33,3.0,6.0,3.5,2.0,7.67,0.0,3.0,2.33,5.75,13.3,13.0,1.8000000000000003,25.1,12.2,12.0,1.8000000000000003,23.0,2.8,3.0,0.9000000000000001,4.200000000000003,5.15,6.0,1.8000000000000003,8.0,3.879,4.29,1.8000000000000003,6.0
rzsm>0.7_pr>50,ssp245,2017,8,7,7,3,0,5,15,24,9,9,13,10,5,26,22,8,172,10,1,43,7,5,7,2,0,5,14,21,9,9,11,10,3,26,21,8,172,10,0,43,3,2,1,1,0,2,2,7,2,3,2,2,1,4,3,2,5,4,0,7,3,3,7,2,0,3,12,6,6,4,8,6,3,9,8,6,117,4,0,12,2.33,2.5,7.0,2.0,0.0,2.5,7.0,3.0,4.5,3.0,5.5,5.0,3.0,6.5,7.0,4.0,34.4,2.5,0.0,6.14,19.85,9.0,2.8000000000000003,27.700000000000024,19.15,9.0,1.8000000000000003,27.700000000000024,2.65,2.0,0.9000000000000001,5.200000000000003,10.95,6.0,1.8000000000000003,12.0,5.3934999999999995,3.5,1.8000000000000003,7.0
rzsm>0.7_pr>50,ssp245,2018,4,7,17,5,0,7,0,5,11,15,28,2,9,6,16,17,46,3,1,15,2,6,17,5,0,7,0,5,10,14,27,2,7,6,15,16,46,2,0,14,1,1,3,2,0,2,0,2,2,3,5,1,2,2,3,6,7,1,0,2,2,6,9,3,0,4,0,3,7,9,7,2,4,4,6,3,12,2,0,11,2.0,6.0,5.67,2.5,0.0,3.5,0.0,2.5,5.0,4.67,5.4,2.0,3.5,3.0,5.0,2.67,6.57,2.0,0.0,7.0,10.7,7.0,0.9000000000000001,18.100000000000016,10.05,6.5,0.0,18.000000000000014,2.25,2.0,0.0,5.100000000000001,4.7,4.0,0.0,9.200000000000003,3.4490000000000003,3.25,0.0,6.057000000000001
rzsm>0.7_pr>50,ssp245,2019,27,32,20,25,16,3,19,15,11,29,2,16,10,11,18,0,97,20,3,17,24,31,20,23,16,2,19,15,10,27,2,15,9,11,17,0,96,20,2,16,4,6,4,3,3,1,4,4,3,7,1,2,2,2,4,0,5,4,1,3,6,11,8,13,6,2,6,8,5,8,2,8,6,6,6,0,37,7,2,7,6.0,5.17,5.0,7.67,5.33,2.0,4.75,3.75,3.33,3.86,2.0,7.5,4.5,5.5,4.25,0.0,19.2,5.0,2.0,5.33,19.55,16.5,2.9000000000000004,29.300000000000004,18.75,16.0,2.0,27.400000000000006,3.15,3.0,1.0,5.100000000000001,7.7,6.0,2.0,11.200000000000003,5.107,4.875,2.0,7.517
rzsm>0.7_pr>50,ssp245,2020,5,12,21,6,3,4,7,8,0,26,17,13,17,15,17,7,141,5,67,0,4,11,20,6,3,2,7,6,0,25,17,13,17,15,17,6,139,5,65,0,2,3,4,3,1,1,2,2,0,5,4,3,4,4,5,2,10,1,15,0,2,4,7,2,3,2,4,3,0,8,8,6,6,6,5,4,43,5,12,0,2.0,3.67,5.0,2.0,3.0,2.0,3.5,3.0,0.0,5.0,4.25,4.33,4.25,3.75,3.4,3.0,13.9,5.0,4.33,0.0,19.55,10.0,2.7,30.10000000000006,18.9,9.0,1.8000000000000003,29.000000000000057,3.55,3.0,0.9000000000000001,5.500000000000007,6.5,4.5,1.8000000000000003,8.400000000000006,3.7689999999999997,3.585,1.8000000000000003,5.0
rzsm>0.7_pr>50,ssp245,2021,15,25,16,7,24,3,9,2,9,3,0,5,16,21,0,5,154,8,22,4,15,23,13,7,23,2,9,2,7,2,0,5,12,21,0,5,153,6,20,3,3,6,3,2,3,1,2,1,2,1,0,1,4,6,0,1,8,2,7,1,6,7,6,5,8,2,6,2,4,2,0,5,4,7,0,5,71,4,4,3,5.0,3.83,4.33,3.5,7.67,2.0,4.5,2.0,3.5,2.0,0.0,5.0,3.0,3.5,0.0,5.0,19.12,3.0,2.86,3.0,17.4,8.5,1.8000000000000003,24.1,16.4,7.0,1.8000000000000003,23.0,2.7,2.0,0.9000000000000001,6.100000000000001,7.55,4.5,1.8000000000000003,7.100000000000001,4.1405,3.5,1.8000000000000003,5.267000000000004
rzsm>0.7_pr>50,ssp245,2022,19,7,26,1,19,6,0,0,16,7,0,1,18,7,9,26,119,21,15,6,16,4,26,0,18,6,0,0,16,7,0,0,15,7,8,26,119,20,15,5,4,2,5,0,3,1,0,0,4,1,0,0,4,1,3,5,9,3,2,1,7,2,8,0,7,6,0,0,7,7,0,0,6,7,4,8,62,7,10,5,4.0,2.0,5.2,0.0,6.0,6.0,0.0,0.0,4.0,7.0,0.0,0.0,3.75,7.0,2.67,5.2,13.22,6.67,7.5,5.0,16.15,8.0,0.0,26.0,15.4,7.5,0.0,26.0,2.4,2.0,0.0,5.0,7.65,6.5,0.0,8.200000000000003,4.2605,4.5,0.0,7.050000000000001
rzsm>0.7_pr>50,ssp245,2023,22,14,34,20,0,2,12,11,15,8,2,6,9,2,12,9,158,11,12,18,22,12,34,19,0,0,12,11,15,8,2,5,7,2,12,9,156,9,9,18,4,3,7,4,0,0,3,3,4,2,1,2,2,1,4,2,6,2,2,4,6,5,7,7,0,0,6,7,6,6,2,3,4,2,5,5,63,6,7,6,5.5,4.0,4.86,4.75,0.0,0.0,4.0,3.67,3.75,4.0,2.0,2.5,3.5,2.0,3.0,4.5,26.0,4.5,4.5,4.5,18.85,11.5,2.0,23.200000000000017,18.1,10.0,1.8000000000000003,23.200000000000017,2.8,2.5,0.9000000000000001,4.200000000000003,7.65,6.0,1.8000000000000003,7.0,4.5765,4.0,1.8000000000000003,4.924000000000001
rzsm>0.7_pr>50,ssp245,2024,9,10,2,15,0,0,2,17,9,27,15,14,5,5,10,5,140,16,38,5,8,8,2,13,0,0,0,17,8,27,15,12,4,5,8,3,137,14,33,5,3,3,1,3,0,0,0,2,2,5,3,3,1,2,2,1,4,4,7,1,3,4,2,6,0,0,0,11,6,7,8,6,4,3,6,3,99,7,7,5,2.67,2.67,2.0,4.33,0.0,0.0,0.0,8.5,4.0,5.4,5.0,4.0,4.0,2.5,4.0,3.0,34.25,3.5,4.71,5.0,17.2,9.5,1.8000000000000003,28.100000000000016,15.95,8.0,0.0,27.60000000000001,2.35,2.0,0.0,4.100000000000001,9.35,5.5,0.0,8.300000000000004,4.9765,4.0,0.0,5.710000000000004
