threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,9,6,10,0,0,33,0,31,4,33,26,5,6,32,18,0,37,12,15,10,9,6,10,0,0,33,0,31,4,33,26,5,6,31,17,0,37,12,15,10,3,1,2,0,0,4,0,5,1,4,3,1,1,6,3,0,3,2,3,4,4,6,7,0,0,11,0,10,4,11,14,5,6,9,10,0,22,7,10,3,3.0,6.0,5.0,0.0,0.0,8.25,0.0,6.2,4.0,8.25,8.67,5.0,6.0,5.17,5.67,0.0,12.33,6.0,5.0,2.5,14.35,10.0,0.0,33.0,14.25,10.0,0.0,33.0,2.3,2.5,0.0,4.100000000000001,6.95,6.5,0.0,11.300000000000004,4.852,5.085,0.0,8.292
rzsm>0.7_pr>50,ssp245,2016,13,0,13,14,0,0,0,48,0,24,31,30,18,39,6,0,62,16,13,20,13,0,13,14,0,0,0,48,0,22,30,30,18,38,6,0,62,16,13,20,2,0,1,2,0,0,0,4,0,3,3,5,3,6,1,0,2,2,2,2,7,0,13,8,0,0,0,17,0,12,11,8,7,10,6,0,50,11,8,16,6.5,0.0,13.0,7.0,0.0,0.0,0.0,12.0,0.0,7.33,10.0,6.0,6.0,6.33,6.0,0.0,31.0,8.0,6.5,10.0,17.35,13.5,0.0,39.90000000000001,17.15,13.5,0.0,39.000000000000014,1.9,2.0,0.0,4.100000000000001,9.2,8.0,0.0,16.1,6.7829999999999995,6.415,0.0,12.100000000000001
rzsm>0.7_pr>50,ssp245,2017,0,0,0,12,0,0,6,40,0,5,17,16,9,36,5,59,2,9,6,0,0,0,0,12,0,0,6,40,0,5,17,16,9,36,5,59,2,9,6,0,0,0,0,2,0,0,1,4,0,1,3,3,1,4,1,7,1,1,1,0,0,0,0,7,0,0,6,12,0,5,7,7,9,13,5,23,2,9,6,0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,10.0,0.0,5.0,5.67,5.33,9.0,9.0,5.0,8.43,2.0,9.0,6.0,0.0,11.1,5.5,0.0,36.400000000000006,11.1,5.5,0.0,36.400000000000006,1.5,1.0,0.0,4.0,5.55,5.5,0.0,12.100000000000001,4.3215,5.165,0.0,9.0
rzsm>0.7_pr>50,ssp245,2018,55,5,7,5,0,18,22,29,15,12,8,19,16,16,12,41,90,6,17,24,55,5,7,5,0,18,22,29,15,12,7,18,16,16,12,40,90,6,17,24,8,1,1,1,0,2,3,2,3,2,1,3,3,3,3,5,4,1,2,3,16,5,7,5,0,14,9,23,10,6,7,9,8,7,6,15,67,6,10,10,6.88,5.0,7.0,5.0,0.0,9.0,7.33,14.5,5.0,6.0,7.0,6.0,5.33,5.33,4.0,8.0,22.5,6.0,8.5,8.0,20.85,16.0,5.0,42.40000000000002,20.7,16.0,5.0,41.50000000000002,2.55,2.5,1.0,4.100000000000001,12.0,8.5,5.0,16.70000000000001,7.3185,6.4399999999999995,4.9,9.550000000000008
rzsm>0.7_pr>50,ssp245,2019,49,22,0,0,0,24,16,10,36,26,40,23,0,44,61,0,83,26,22,3,49,22,0,0,0,24,16,10,36,26,40,23,0,44,61,0,83,26,22,3,5,2,0,0,0,3,2,1,5,4,5,4,0,5,8,0,1,3,3,1,20,16,0,0,0,14,10,10,15,10,13,11,0,16,14,0,83,12,8,3,9.8,11.0,0.0,0.0,0.0,8.0,8.0,10.0,7.2,6.5,8.0,5.75,0.0,8.8,7.62,0.0,83.0,8.67,7.33,3.0,24.25,22.5,0.0,50.20000000000002,24.25,22.5,0.0,50.20000000000002,2.6,2.5,0.0,5.0,12.75,10.5,0.0,16.400000000000006,9.633500000000002,7.475,0.0,10.100000000000001
rzsm>0.7_pr>50,ssp245,2020,0,10,22,3,0,0,0,5,10,0,30,0,13,32,37,0,0,20,4,33,0,10,22,3,0,0,0,5,10,0,30,0,13,32,37,0,0,19,4,33,0,2,4,1,0,0,0,1,2,0,4,0,2,6,5,0,0,4,1,4,0,5,6,3,0,0,0,5,6,0,9,0,7,11,9,0,0,9,4,16,0.0,5.0,5.5,3.0,0.0,0.0,0.0,5.0,5.0,0.0,7.5,0.0,6.5,5.33,7.4,0.0,0.0,4.75,4.0,8.25,10.95,4.5,0.0,32.1,10.9,4.5,0.0,32.1,1.8,1.0,0.0,4.100000000000001,4.5,4.5,0.0,9.200000000000003,3.3614999999999995,4.375,0.0,7.41
rzsm>0.7_pr>50,ssp245,2021,18,26,10,0,0,4,0,18,1,0,24,10,46,60,35,8,23,25,0,0,18,26,10,0,0,4,0,18,0,0,24,9,46,60,34,8,23,25,0,0,2,3,2,0,0,1,0,3,0,0,4,2,7,7,4,2,2,4,0,0,11,12,7,0,0,4,0,7,0,0,9,5,11,20,16,6,16,7,0,0,9.0,8.67,5.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,6.0,4.5,6.57,8.57,8.5,4.0,11.5,6.25,0.0,0.0,15.4,10.0,0.0,36.100000000000016,15.25,9.5,0.0,35.20000000000002,2.15,2.0,0.0,4.300000000000004,6.55,6.5,0.0,16.0,4.428,4.75,0.0,8.703000000000001
rzsm>0.7_pr>50,ssp245,2022,30,32,32,35,0,11,10,12,2,33,13,16,15,23,42,43,14,14,6,14,30,32,31,35,0,11,10,12,2,33,13,16,13,23,42,43,14,13,6,14,4,5,5,6,0,1,2,2,1,5,2,2,2,3,6,7,1,2,1,3,12,7,9,18,0,11,5,7,2,8,10,12,8,12,9,8,14,7,6,6,7.5,6.4,6.2,5.83,0.0,11.0,5.0,6.0,2.0,6.6,6.5,8.0,6.5,7.67,7.0,6.14,14.0,6.5,6.0,4.67,19.85,14.5,5.6000000000000005,35.70000000000001,19.65,14.0,5.6000000000000005,35.70000000000001,3.0,2.0,1.0,6.0,8.55,8.0,4.7,12.200000000000003,6.475499999999999,6.45,4.4030000000000005,8.300000000000004
rzsm>0.7_pr>50,ssp245,2023,20,30,10,33,6,14,7,0,5,17,14,2,24,6,14,19,59,53,4,0,20,30,10,33,6,14,6,0,5,16,13,2,22,6,14,19,59,53,4,0,4,5,2,4,2,3,1,0,1,2,2,1,3,1,3,2,3,5,1,0,8,8,7,11,4,6,6,0,5,10,7,2,9,6,7,12,22,18,4,0,5.0,6.0,5.0,8.25,3.0,4.67,6.0,0.0,5.0,8.0,6.5,2.0,7.33,6.0,4.67,9.5,19.67,10.6,4.0,0.0,16.85,14.0,1.8000000000000003,35.00000000000003,16.6,13.5,1.8000000000000003,35.00000000000003,2.25,2.0,0.9000000000000001,4.100000000000001,7.6,7.0,1.8000000000000003,12.600000000000009,6.0595,5.5,1.8000000000000003,9.610000000000001
rzsm>0.7_pr>50,ssp245,2024,14,15,6,9,16,15,6,12,7,21,27,22,22,16,30,6,151,15,0,6,14,15,6,9,16,15,6,12,7,21,27,22,22,16,30,6,151,15,0,6,2,3,1,2,2,2,2,2,1,3,3,3,2,2,4,1,2,2,0,1,8,5,6,5,12,10,4,9,7,10,18,8,15,8,10,6,143,8,0,6,7.0,5.0,6.0,4.5,8.0,7.5,3.0,6.0,7.0,7.0,9.0,7.33,11.0,8.0,7.5,6.0,75.5,7.5,0.0,6.0,20.8,15.0,6.0,27.300000000000004,20.8,15.0,6.0,27.300000000000004,2.0,2.0,1.0,3.0,14.9,8.0,4.9,15.300000000000004,9.9415,7.0,4.3500000000000005,9.200000000000003
