threshold,ssp,date,GFDL-ESM4_compound_day_total,GISS-E2-1-G_compound_day_total,CNRM-CM6-1_compound_day_total,BCC-CSM2-MR_compound_day_total,IPSL-CM6A-LR_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,MIROC6_compound_day_total,GFDL-ESM4_compound_event_total,GISS-E2-1-G_compound_event_total,CNRM-CM6-1_compound_event_total,BCC-CSM2-MR_compound_event_total,IPSL-CM6A-LR_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,MIROC6_compound_event_total,GFDL-ESM4_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,BCC-CSM2-MR_compound_sequence_total,IPSL-CM6A-LR_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,MIROC6_compound_sequence_total,GFDL-ESM4_compound_duration_max,GISS-E2-1-G_compound_duration_max,CNRM-CM6-1_compound_duration_max,BCC-CSM2-MR_compound_duration_max,IPSL-CM6A-LR_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,MIROC6_compound_duration_max,GFDL-ESM4_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,BCC-CSM2-MR_compound_duration_mean,IPSL-CM6A-LR_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,MIROC6_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
spi<-1_tasmax>32.22,ssp126,2021,11,10,0,0,2,6,0,6,19,41,4,0,0,21,15,0,62,0,0,0,19,11,10,0,0,2,6,0,5,19,41,4,0,0,21,15,0,61,0,0,0,19,1,1,0,0,1,2,0,2,3,4,1,0,0,2,4,0,4,0,0,0,1,11,10,0,0,2,3,0,3,9,14,4,0,0,12,5,0,21,0,0,0,19,11.0,10.0,0.0,0.0,2.0,3.0,0.0,2.5,6.33,10.25,4.0,0.0,0.0,10.5,3.75,0.0,15.25,0.0,0.0,0.0,19.0,10.285714285714286,4.0,0.0,21.0,10.19047619047619,4.0,0.0,21.0,1.2380952380952381,1.0,0.0,4.0,5.380952380952381,3.0,0.0,14.0,4.6466666666666665,2.5,0.0,11.0
spi<-1_tasmax>32.22,ssp126,2022,18,25,0,14,36,24,15,12,22,2,20,0,0,5,7,0,11,8,30,15,1,16,24,0,14,36,24,14,12,22,2,20,0,0,5,7,0,11,8,30,15,0,1,3,0,3,3,2,1,2,2,1,5,0,0,1,1,0,1,2,2,2,0,16,10,0,7,25,22,14,9,13,2,11,0,0,5,7,0,11,6,18,9,0,16.0,8.0,0.0,4.67,12.0,12.0,14.0,6.0,11.0,2.0,4.0,0.0,0.0,5.0,7.0,0.0,11.0,4.0,15.0,7.5,0.0,12.619047619047619,12.0,0.0,25.0,12.380952380952381,12.0,0.0,24.0,1.5238095238095237,1.0,0.0,3.0,8.80952380952381,9.0,0.0,18.0,6.627142857142858,6.0,0.0,14.0
spi<-1_tasmax>32.22,ssp126,2023,26,1,19,9,8,1,0,0,0,0,9,52,20,24,0,11,13,3,0,10,1,25,0,19,8,8,0,0,0,0,0,7,52,20,24,0,11,13,3,0,10,0,2,0,1,1,2,0,0,0,0,0,1,3,2,1,0,1,3,1,0,1,0,18,0,19,8,6,0,0,0,0,0,7,20,17,24,0,11,8,3,0,10,0,12.5,0.0,19.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,17.33,10.0,24.0,0.0,11.0,4.33,3.0,0.0,10.0,0.0,9.857142857142858,8.0,0.0,24.0,9.523809523809524,7.0,0.0,24.0,0.9047619047619048,1.0,0.0,2.0,7.190476190476191,6.0,0.0,19.0,6.198095238095238,4.0,0.0,17.33
spi<-1_tasmax>32.22,ssp126,2024,6,32,0,30,0,24,8,14,21,14,0,5,3,18,5,0,4,15,8,16,19,6,32,0,30,0,24,8,14,21,14,0,5,2,18,5,0,4,14,8,16,19,1,4,0,3,0,4,1,1,2,4,0,2,1,1,1,0,1,2,1,3,1,6,19,0,24,0,11,8,14,13,5,0,3,2,18,5,0,4,7,8,8,19,6.0,8.0,0.0,10.0,0.0,6.0,8.0,14.0,10.5,3.5,0.0,2.5,2.0,18.0,5.0,0.0,4.0,7.0,8.0,5.33,19.0,11.523809523809524,8.0,0.0,24.0,11.428571428571429,8.0,0.0,24.0,1.5714285714285714,1.0,0.0,4.0,8.285714285714286,7.0,0.0,19.0,6.515714285714285,6.0,0.0,14.0
spi<-1_tasmax>32.22,ssp126,2025,13,19,4,0,15,0,44,0,0,0,24,0,7,0,0,22,18,6,0,6,0,13,19,4,0,15,0,44,0,0,0,24,0,7,0,0,22,17,6,0,6,0,2,1,1,0,3,0,1,0,0,0,2,0,2,0,0,2,2,1,0,1,0,11,19,4,0,8,0,44,0,0,0,22,0,4,0,0,18,13,6,0,6,0,6.5,19.0,4.0,0.0,5.0,0.0,44.0,0.0,0.0,0.0,12.0,0.0,3.5,0.0,0.0,11.0,8.5,6.0,0.0,6.0,0.0,8.476190476190476,4.0,0.0,22.0,8.428571428571429,4.0,0.0,22.0,0.8571428571428571,1.0,0.0,2.0,7.380952380952381,4.0,0.0,19.0,5.976190476190476,3.5,0.0,12.0
spi<-1_tasmax>32.22,ssp126,2026,0,0,10,37,0,1,0,0,0,0,0,35,11,0,15,2,0,0,2,3,29,0,0,10,36,0,0,0,0,0,0,0,34,11,0,15,2,0,0,2,2,29,0,0,1,3,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,1,5,0,0,10,23,0,0,0,0,0,0,0,34,11,0,10,2,0,0,2,2,14,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,0.0,7.5,2.0,0.0,0.0,2.0,2.0,5.8,6.904761904761905,0.0,0.0,29.0,6.714285714285714,0.0,0.0,29.0,0.7619047619047619,0.0,0.0,2.0,5.142857142857143,0.0,0.0,14.0,4.109523809523809,0.0,0.0,11.0
spi<-1_tasmax>32.22,ssp126,2027,3,0,14,4,0,0,14,17,19,0,0,0,15,0,9,2,2,0,19,6,16,2,0,14,4,0,0,13,17,19,0,0,0,15,0,9,0,2,0,19,6,16,1,0,1,1,0,0,1,1,2,0,0,0,2,0,1,0,1,0,3,1,1,2,0,14,4,0,0,13,17,13,0,0,0,11,0,9,0,2,0,10,6,16,2.0,0.0,14.0,4.0,0.0,0.0,13.0,17.0,9.5,0.0,0.0,0.0,7.5,0.0,9.0,0.0,2.0,0.0,6.33,6.0,16.0,6.666666666666667,3.0,0.0,17.0,6.476190476190476,2.0,0.0,17.0,0.7619047619047619,1.0,0.0,2.0,5.571428571428571,2.0,0.0,14.0,5.0633333333333335,2.0,0.0,14.0
spi<-1_tasmax>32.22,ssp126,2028,0,6,0,15,5,43,0,0,7,0,8,0,38,3,1,43,0,0,0,0,4,0,5,0,15,5,43,0,0,7,0,8,0,38,3,0,41,0,0,0,0,4,0,2,0,2,1,1,0,0,1,0,1,0,3,1,0,3,0,0,0,0,1,0,3,0,9,5,43,0,0,7,0,8,0,26,3,0,17,0,0,0,0,4,0.0,2.5,0.0,7.5,5.0,43.0,0.0,0.0,7.0,0.0,8.0,0.0,12.67,3.0,0.0,13.67,0.0,0.0,0.0,0.0,4.0,8.238095238095237,1.0,0.0,38.0,8.047619047619047,0.0,0.0,38.0,0.7619047619047619,0.0,0.0,2.0,5.9523809523809526,0.0,0.0,17.0,5.063809523809524,0.0,0.0,12.67
spi<-1_tasmax>32.22,ssp126,2029,20,7,3,25,0,0,15,0,0,0,0,0,20,2,3,23,3,16,9,15,0,20,7,3,25,0,0,15,0,0,0,0,0,19,2,3,23,3,15,9,15,0,2,1,1,2,0,0,1,0,0,0,0,0,3,1,1,4,1,1,1,2,0,14,7,3,19,0,0,15,0,0,0,0,0,9,2,3,8,3,15,9,8,0,10.0,7.0,3.0,12.5,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,6.33,2.0,3.0,5.75,3.0,15.0,9.0,7.5,0.0,7.666666666666667,3.0,0.0,20.0,7.571428571428571,3.0,0.0,20.0,1.0,1.0,0.0,2.0,5.476190476190476,3.0,0.0,15.0,4.718095238095238,3.0,0.0,12.5
spi<-1_tasmax>32.22,ssp126,2030,10,0,4,26,0,29,26,6,0,0,0,18,10,7,4,47,4,0,27,7,0,10,0,4,25,0,29,26,6,0,0,0,18,10,7,4,46,4,0,27,7,0,1,0,1,2,0,2,2,2,0,0,0,1,1,1,1,4,1,0,2,2,0,10,0,4,13,0,22,14,4,0,0,0,18,10,7,4,20,4,0,22,4,0,10.0,0.0,4.0,12.5,0.0,14.5,13.0,3.0,0.0,0.0,0.0,18.0,10.0,7.0,4.0,11.5,4.0,0.0,13.5,3.5,0.0,10.714285714285714,6.0,0.0,27.0,10.619047619047619,6.0,0.0,27.0,1.0952380952380953,1.0,0.0,2.0,7.428571428571429,4.0,0.0,20.0,6.119047619047619,4.0,0.0,13.5
