threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2025,14,10,51,0,19,56,14,32,0,53,53,39,5,13,10,33,85,15,19,11,14,10,51,0,19,55,14,31,0,52,52,37,5,13,10,33,85,14,19,9,3,2,5,0,4,7,2,4,0,7,7,6,2,3,2,5,2,3,3,2,7,6,14,0,6,19,12,17,0,23,13,12,3,8,6,10,68,10,8,7,4.67,5.0,10.2,0.0,4.75,7.86,7.0,7.75,0.0,7.43,7.43,6.17,2.5,4.33,5.0,6.6,42.5,4.67,6.33,4.5,26.6,17.0,4.500000000000001,53.300000000000004,26.15,16.5,4.500000000000001,52.300000000000004,3.45,3.0,1.8000000000000003,7.0,12.45,9.0,2.7,19.400000000000006,7.2345,5.585,2.2500000000000004,8.094000000000003
rzsm>0.7_pr>50,ssp245,2026,20,18,10,0,14,17,16,28,0,25,18,0,0,5,14,26,118,31,54,30,20,17,10,0,14,17,16,26,0,24,17,0,0,5,14,26,118,30,54,29,3,2,2,0,2,3,2,2,0,3,4,0,0,1,3,5,3,5,5,2,14,12,6,0,7,6,10,19,0,16,7,0,0,5,7,9,99,7,22,16,6.67,8.5,5.0,0.0,7.0,5.67,8.0,13.0,0.0,8.0,4.25,0.0,0.0,5.0,4.67,5.2,39.33,6.0,10.8,14.5,22.2,17.5,0.0,33.30000000000003,21.85,17.0,0.0,32.400000000000034,2.35,2.0,0.0,5.0,13.1,7.0,0.0,19.300000000000004,7.5795,5.835,0.0,13.150000000000002
rzsm>0.7_pr>50,ssp245,2027,8,11,29,19,12,39,14,15,25,39,6,29,16,43,6,13,3,24,60,43,8,11,29,19,12,38,14,15,25,37,6,29,16,42,6,12,3,24,60,43,1,3,3,3,2,5,2,1,4,3,1,4,3,6,2,2,1,4,6,6,8,4,19,8,7,23,8,15,10,24,6,13,6,9,4,8,3,7,26,10,8.0,3.67,9.67,6.33,6.0,7.6,7.0,15.0,6.25,12.33,6.0,7.25,5.33,7.0,3.0,6.0,3.0,6.0,10.0,7.17,22.7,17.5,6.0,43.0,22.45,17.5,6.0,42.1,3.1,3.0,1.0,6.0,10.9,8.0,4.0,23.1,7.13,6.665,3.603,10.233000000000004
rzsm>0.7_pr>50,ssp245,2028,34,34,32,17,3,18,25,9,13,30,28,37,8,20,18,12,34,39,43,31,33,34,30,15,2,17,25,8,12,30,26,36,8,20,18,11,34,39,42,30,5,7,4,4,1,1,3,1,2,6,5,3,2,4,4,2,5,4,3,6,11,8,12,6,2,17,12,8,9,12,13,18,6,7,7,6,11,16,16,7,6.6,4.86,7.5,3.75,2.0,17.0,8.33,8.0,6.0,5.0,5.2,12.0,4.0,5.0,4.5,5.5,6.8,9.75,14.0,5.0,24.25,26.5,8.9,37.2,23.5,25.5,8.0,36.300000000000004,3.6,4.0,1.0,6.0,10.2,10.0,6.0,16.1,7.039499999999999,5.75,3.975,12.200000000000003
rzsm>0.7_pr>50,ssp245,2029,24,16,33,5,1,9,9,51,44,24,11,17,14,51,25,8,84,6,23,37,24,16,33,5,0,9,9,45,44,24,11,16,13,51,24,8,84,4,23,37,3,2,4,2,0,1,3,3,6,2,2,3,2,5,4,1,2,1,3,5,10,10,21,3,0,9,4,36,13,18,7,8,9,18,10,8,76,4,8,14,8.0,8.0,8.25,2.5,0.0,9.0,3.0,15.0,7.33,12.0,5.5,5.33,6.5,10.2,6.0,8.0,42.0,4.0,7.67,7.4,24.6,20.0,5.9,51.0,24.0,19.5,4.9,45.60000000000001,2.7,2.5,1.0,5.0,14.3,9.5,3.9000000000000004,22.50000000000002,8.784,7.535,2.95,12.300000000000004
rzsm>0.7_pr>50,ssp245,2030,15,18,20,0,25,16,13,10,11,7,19,42,16,33,22,18,118,1,15,3,13,17,20,0,25,15,13,10,10,6,17,42,16,33,22,18,117,0,14,2,2,3,3,0,5,2,2,1,2,1,4,4,3,5,3,4,3,0,2,1,7,7,8,0,7,8,7,10,8,6,7,22,7,8,8,8,107,0,8,2,6.5,5.67,6.67,0.0,5.0,7.5,6.5,10.0,5.0,6.0,4.25,10.5,5.33,6.6,7.33,4.5,39.0,0.0,7.0,2.0,21.1,16.0,2.8000000000000003,33.90000000000001,20.5,15.5,1.8000000000000003,33.90000000000001,2.5,2.5,0.9000000000000001,4.100000000000001,12.25,7.5,1.8000000000000003,11.200000000000017,7.2675,6.25,1.8000000000000003,10.05
rzsm>0.7_pr>50,ssp245,2031,12,17,37,11,7,41,20,0,12,32,32,24,20,5,24,36,124,0,19,20,12,17,36,11,7,40,20,0,10,30,32,24,20,5,23,36,124,0,19,19,3,3,5,2,1,6,2,0,2,3,7,5,1,1,3,4,2,0,3,4,6,8,11,6,7,9,13,0,6,13,7,9,20,5,9,17,113,0,7,8,4.0,5.67,7.2,5.5,7.0,6.67,10.0,0.0,5.0,10.0,4.57,4.8,20.0,5.0,7.67,9.0,62.0,0.0,6.33,4.75,24.65,20.0,4.500000000000001,37.400000000000006,24.25,19.5,4.500000000000001,36.400000000000006,2.85,3.0,0.9000000000000001,5.100000000000001,13.7,8.0,4.500000000000001,17.300000000000004,9.258,6.0,3.6000000000000005,11.000000000000014
rzsm>0.7_pr>50,ssp245,2032,16,28,19,7,19,0,16,22,34,27,15,17,19,17,6,41,124,7,11,21,16,28,19,6,18,0,15,20,34,27,15,16,19,16,6,41,124,7,10,20,3,5,2,2,2,0,2,3,4,3,2,2,3,2,1,5,3,2,1,4,9,9,11,4,13,0,10,10,14,14,9,14,12,13,6,12,101,5,10,7,5.33,5.6,9.5,3.0,9.0,0.0,7.5,6.67,8.5,9.0,7.5,8.0,6.33,8.0,6.0,8.2,41.33,3.5,10.0,5.0,23.3,18.0,6.9,34.70000000000001,22.85,17.0,6.0,34.70000000000001,2.55,2.0,1.0,4.100000000000001,14.15,10.0,4.9,14.0,8.398,7.5,3.45,9.55
rzsm>0.7_pr>50,ssp245,2033,24,18,17,15,55,15,32,19,10,14,33,31,18,35,13,7,70,47,34,9,24,18,17,15,55,14,32,19,10,14,33,31,18,34,13,7,70,47,34,9,3,4,2,4,3,2,4,3,2,2,4,4,3,4,2,1,4,5,3,2,15,6,10,7,40,9,14,10,6,8,13,11,7,12,8,7,44,19,24,7,8.0,4.5,8.5,3.75,18.33,7.0,8.0,6.33,5.0,7.0,8.25,7.75,6.0,8.5,6.5,7.0,17.5,9.4,11.33,4.5,25.8,18.5,9.9,47.80000000000001,25.7,18.5,9.9,47.80000000000001,3.05,3.0,2.0,4.0,13.85,10.0,6.9,25.600000000000023,8.157,7.375,4.5,11.947000000000008
rzsm>0.7_pr>50,ssp245,2034,0,34,23,40,18,86,32,10,33,26,23,9,16,8,17,4,105,19,23,3,0,34,23,40,17,85,32,10,33,25,23,9,15,8,17,4,104,19,23,2,0,4,4,5,2,9,3,3,3,3,5,2,2,2,3,1,5,3,5,1,0,14,12,10,11,36,18,6,20,13,8,7,8,5,8,4,43,10,7,2,0.0,8.5,5.75,8.0,8.5,9.44,10.67,3.33,11.0,8.33,4.6,4.5,7.5,4.0,5.67,4.0,20.8,6.33,4.6,2.0,26.45,21.0,3.9000000000000004,44.600000000000065,26.15,21.0,3.8000000000000003,44.500000000000064,3.25,3.0,1.0,5.0,12.1,9.0,3.8000000000000003,21.600000000000023,6.8759999999999994,6.04,3.197,10.703000000000001
rzsm>0.7_pr>50,ssp245,2035,6,25,36,6,0,21,17,15,3,40,56,21,15,0,19,0,109,16,20,30,6,25,36,5,0,21,17,15,3,40,56,21,15,0,19,0,109,15,20,30,1,5,4,1,0,3,4,3,1,2,8,5,1,0,3,0,1,3,3,4,6,7,12,5,0,10,7,11,3,31,13,7,15,0,7,0,109,7,10,13,6.0,5.0,9.0,5.0,0.0,7.0,4.25,5.0,3.0,20.0,7.0,4.2,15.0,0.0,6.33,0.0,109.0,5.0,6.67,7.5,22.75,18.0,0.0,41.60000000000002,22.65,18.0,0.0,41.60000000000002,2.6,3.0,0.0,5.0,13.65,7.0,0.0,16.600000000000023,11.247499999999999,5.5,0.0,15.500000000000007
rzsm>0.7_pr>50,ssp245,2036,27,5,38,0,4,29,17,47,33,24,21,30,3,12,3,17,48,28,37,17,27,5,38,0,4,29,16,46,33,24,21,30,3,11,3,16,48,28,37,17,5,1,5,0,1,3,3,5,6,3,3,3,1,2,1,2,4,3,2,3,7,5,11,0,4,14,7,22,7,10,9,12,3,7,3,10,16,15,19,9,5.4,5.0,7.6,0.0,4.0,9.67,5.33,9.2,5.5,8.0,7.0,10.0,3.0,5.5,3.0,8.0,12.0,9.33,18.5,5.67,22.0,22.5,3.0,38.90000000000001,21.8,22.5,3.0,38.80000000000001,2.8,3.0,1.0,5.0,9.5,9.0,3.0,16.300000000000004,7.084999999999999,6.335,3.0,10.200000000000003
rzsm>0.7_pr>50,ssp245,2037,18,45,35,5,33,25,9,7,7,22,22,34,38,25,14,18,0,48,40,35,18,45,35,4,33,24,8,6,7,21,22,34,38,25,14,17,0,48,39,35,3,7,4,1,3,4,2,1,2,4,2,4,6,4,2,3,0,3,4,5,9,12,14,4,14,10,6,6,5,8,15,11,11,12,9,7,0,23,20,13,6.0,6.43,8.75,4.0,11.0,6.0,4.0,6.0,3.5,5.25,11.0,8.5,6.33,6.25,7.0,5.67,0.0,16.0,9.75,7.0,24.0,23.5,6.800000000000001,40.50000000000001,23.65,23.0,5.800000000000001,39.60000000000001,3.2,3.0,1.0,5.100000000000001,10.45,10.5,4.9,15.500000000000007,6.9215,6.29,3.95,11.0
rzsm>0.7_pr>50,ssp245,2038,20,14,5,13,30,37,39,31,16,0,16,16,7,43,16,34,119,12,13,13,19,13,5,13,29,36,39,30,15,0,16,16,6,43,16,33,119,10,13,13,3,3,1,3,5,3,5,5,3,0,2,2,2,8,3,3,3,2,1,2,7,7,5,7,7,20,11,11,8,0,10,10,3,13,7,13,106,6,13,10,6.33,4.33,5.0,4.33,5.8,12.0,7.8,6.0,5.0,0.0,8.0,8.0,3.0,5.38,5.33,11.0,39.67,5.0,13.0,6.5,24.7,16.0,6.800000000000001,39.400000000000006,24.2,16.0,5.9,39.400000000000006,2.95,3.0,1.0,5.0,13.7,9.0,4.800000000000001,13.70000000000001,8.0735,5.9,4.197,12.100000000000001
rzsm>0.7_pr>50,ssp245,2039,14,20,20,0,26,14,29,8,0,0,12,17,3,16,10,17,71,7,35,35,14,18,19,0,25,14,29,7,0,0,12,17,3,16,10,16,71,7,35,35,2,3,5,0,3,2,3,1,0,0,3,2,1,2,1,2,4,1,3,4,7,9,6,0,13,8,11,7,0,0,5,13,3,9,10,9,32,7,21,16,7.0,6.0,3.8,0.0,8.33,7.0,9.67,7.0,0.0,0.0,4.0,8.5,3.0,8.0,10.0,8.0,17.75,7.0,11.67,8.75,17.7,15.0,0.0,35.0,17.4,15.0,0.0,35.0,2.1,2.0,0.0,4.0,9.3,8.5,0.0,16.500000000000007,6.773500000000001,7.0,0.0,10.167000000000002
rzsm>0.7_pr>50,ssp245,2040,21,39,9,0,38,15,34,20,9,19,14,31,25,9,52,47,116,1,7,19,21,39,9,0,38,15,34,20,9,19,14,30,24,9,49,47,116,0,7,19,2,6,2,0,4,3,5,3,2,3,3,5,4,1,7,6,4,0,1,3,12,11,7,0,16,6,15,8,5,12,6,9,9,9,9,10,87,0,7,7,10.5,6.5,4.5,0.0,9.5,5.0,6.8,6.67,4.5,6.33,4.67,6.0,6.0,9.0,7.0,7.83,29.0,0.0,7.0,6.33,26.25,19.5,6.4,47.50000000000001,25.95,19.5,6.300000000000001,47.2,3.2,3.0,0.9000000000000001,6.0,12.25,9.0,4.500000000000001,15.100000000000001,7.156500000000001,6.415,4.050000000000001,9.600000000000001
rzsm>0.7_pr>50,ssp245,2041,44,23,8,34,27,34,33,60,0,18,50,54,0,25,37,30,139,2,28,8,44,23,8,34,26,34,32,59,0,18,50,53,0,25,35,30,138,0,25,8,7,4,2,5,3,5,7,7,0,3,6,6,0,2,4,4,3,0,6,3,12,9,6,10,14,15,7,25,0,6,14,14,0,18,13,14,120,0,7,4,6.29,5.75,4.0,6.8,8.67,6.8,4.57,8.43,0.0,6.0,8.33,8.83,0.0,12.5,8.75,7.5,46.0,0.0,4.17,2.67,32.7,29.0,1.8000000000000003,54.60000000000001,32.1,28.0,0.0,53.60000000000001,3.85,4.0,0.0,7.0,15.4,11.0,0.0,18.70000000000001,7.802999999999999,6.545,0.0,9.197000000000005
