threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,14,19,5,8,19,45,6,21,13,29,34,21,30,53,49,6,132,16,36,17,14,19,5,8,17,45,6,19,13,28,34,19,30,53,48,6,132,16,35,17,2,3,1,1,3,5,1,2,1,4,4,4,4,9,6,1,1,2,7,2,8,9,5,8,7,21,6,15,13,8,10,7,16,10,20,6,132,8,9,11,7.0,6.33,5.0,8.0,5.67,9.0,6.0,9.5,13.0,7.0,8.5,4.75,7.5,5.89,8.0,6.0,132.0,8.0,5.0,8.5,28.65,20.0,6.0,49.400000000000006,28.2,19.0,6.0,48.50000000000001,3.15,2.5,1.0,6.100000000000001,16.45,9.0,6.0,20.1,13.532,7.25,5.0,9.850000000000005
rzsm>0.7_pr>50,ssp245,2016,17,14,5,0,14,5,15,40,0,21,45,16,26,34,0,10,60,11,8,6,17,14,5,0,14,4,15,40,0,21,45,16,25,34,0,9,60,10,7,6,2,1,1,0,1,1,2,5,0,3,4,3,4,5,0,2,2,1,1,1,13,14,5,0,14,4,8,15,0,10,30,7,9,12,0,6,52,10,7,6,8.5,14.0,5.0,0.0,14.0,4.0,7.5,8.0,0.0,7.0,11.25,5.33,6.25,6.8,0.0,4.5,30.0,10.0,7.0,6.0,17.35,14.0,0.0,40.50000000000001,17.1,14.0,0.0,40.50000000000001,1.95,1.5,0.0,4.100000000000001,11.1,8.5,0.0,16.50000000000002,7.7565,6.9,0.0,14.0
rzsm>0.7_pr>50,ssp245,2017,1,2,9,0,8,13,13,39,12,16,17,27,32,32,4,29,93,15,27,21,0,2,9,0,8,13,13,38,12,16,16,27,32,32,3,29,93,15,26,20,0,1,2,0,4,2,3,4,2,4,2,3,5,3,1,3,4,3,6,3,0,2,5,0,2,7,7,22,7,6,14,17,14,16,3,22,44,6,6,11,0.0,2.0,4.5,0.0,2.0,6.5,4.33,9.5,6.0,4.0,8.0,9.0,6.4,10.67,3.0,9.67,23.25,5.0,4.33,6.67,20.5,15.5,1.9000000000000001,32.70000000000001,20.2,15.5,1.8000000000000003,32.60000000000001,2.75,3.0,0.9000000000000001,4.100000000000001,10.55,7.0,1.8000000000000003,22.0,6.241,5.5,1.8000000000000003,9.770000000000001
rzsm>0.7_pr>50,ssp245,2018,50,0,34,10,30,27,10,29,13,39,13,42,27,11,20,38,130,6,24,0,50,0,32,10,30,27,10,29,12,39,11,42,27,11,20,37,130,6,24,0,7,0,6,2,4,5,1,2,4,6,2,6,4,2,4,4,1,1,2,0,11,0,12,7,13,7,10,24,6,14,7,10,11,8,7,16,130,6,20,0,7.14,0.0,5.33,5.0,7.5,5.4,10.0,14.5,3.0,6.5,5.5,7.0,6.75,5.5,5.0,9.25,130.0,6.0,12.0,0.0,27.65,25.5,5.4,42.80000000000001,27.35,25.5,5.4,42.80000000000001,3.15,3.0,0.9000000000000001,6.0,15.95,10.0,5.4,20.400000000000006,12.5685,6.25,2.7,12.250000000000004
rzsm>0.7_pr>50,ssp245,2019,41,5,22,3,14,21,14,35,27,17,52,47,22,34,76,2,22,38,39,13,39,5,21,3,14,21,14,35,25,17,51,47,22,34,74,2,22,37,39,13,5,1,2,1,3,3,3,4,4,3,8,4,4,5,10,1,3,4,2,3,15,5,15,3,8,15,6,12,14,8,13,24,8,10,11,2,8,15,29,5,7.8,5.0,10.5,3.0,4.67,7.0,4.67,8.75,6.25,5.67,6.38,11.75,5.5,6.8,7.4,2.0,7.33,9.25,19.5,4.33,27.2,22.0,4.800000000000001,47.50000000000001,26.75,22.0,4.800000000000001,47.400000000000006,3.65,3.0,1.0,5.300000000000004,11.3,10.5,4.800000000000001,15.900000000000013,7.1775,6.59,4.197,10.625000000000002
rzsm>0.7_pr>50,ssp245,2020,3,41,17,0,33,11,20,5,15,26,31,18,20,27,35,14,14,26,15,18,3,40,16,0,33,11,20,5,14,26,31,18,18,27,35,13,14,25,15,18,1,5,2,0,3,3,4,1,2,3,4,3,4,3,5,3,2,4,2,2,3,12,11,0,19,5,6,5,12,15,9,9,6,13,11,8,9,13,11,9,3.0,8.0,8.0,0.0,11.0,3.67,5.0,5.0,7.0,8.67,7.75,6.0,4.5,9.0,7.0,4.33,7.0,6.25,7.5,9.0,19.45,18.0,4.800000000000001,33.2,19.1,18.0,4.800000000000001,33.2,2.8,3.0,1.0,4.100000000000001,9.3,9.0,4.800000000000001,13.200000000000003,6.3835,7.0,3.603,9.0
rzsm>0.7_pr>50,ssp245,2021,7,11,33,7,12,12,10,32,15,26,21,21,38,50,31,11,79,22,7,17,7,11,33,7,12,11,10,31,15,26,21,20,37,49,29,11,79,21,7,17,1,2,4,1,2,2,3,4,1,3,4,3,6,5,4,3,7,4,1,3,7,6,10,7,6,7,5,12,15,14,8,11,8,20,12,6,21,7,7,10,7.0,5.5,8.25,7.0,6.0,5.5,3.33,7.75,15.0,8.67,5.25,6.67,6.17,9.8,7.25,3.67,11.29,5.25,7.0,5.67,23.1,19.0,7.0,39.20000000000002,22.7,18.5,7.0,38.20000000000002,3.15,3.0,1.0,5.100000000000001,9.95,8.0,6.0,15.500000000000007,7.100999999999999,6.835,5.0920000000000005,9.949000000000003
rzsm>0.7_pr>50,ssp245,2022,59,33,17,0,24,41,28,9,15,39,30,34,20,41,45,53,105,36,36,40,57,33,16,0,23,40,27,9,13,39,29,34,17,41,42,52,105,35,35,39,6,6,3,0,5,7,5,1,2,4,4,4,3,10,6,8,2,6,4,6,28,8,7,0,7,9,8,9,7,18,10,13,7,8,10,10,103,11,12,11,9.5,5.5,5.33,0.0,4.6,5.71,5.4,9.0,6.5,9.75,7.25,8.5,5.67,4.1,7.0,6.5,52.5,5.83,8.75,6.5,35.25,35.0,14.4,53.60000000000001,34.3,34.5,12.600000000000001,52.50000000000001,4.6,4.5,1.9000000000000001,7.100000000000001,14.8,9.5,7.0,19.000000000000014,8.694500000000001,6.5,4.55,9.525
rzsm>0.7_pr>50,ssp245,2023,5,14,41,11,17,25,27,16,16,13,37,28,18,23,14,24,112,49,43,37,5,14,41,11,17,24,27,16,16,13,37,27,17,23,14,22,112,47,42,34,1,3,4,2,4,4,3,3,2,1,6,5,5,2,2,3,3,6,5,4,5,6,19,7,7,10,13,7,9,13,10,7,5,16,7,11,90,16,17,19,5.0,4.67,10.25,5.5,4.25,6.0,9.0,5.33,8.0,13.0,6.17,5.4,3.4,11.5,7.0,7.33,37.33,7.83,8.4,8.5,28.5,23.5,12.8,43.60000000000001,27.95,22.5,12.8,42.50000000000001,3.4,3.0,1.9000000000000001,5.100000000000001,14.7,10.0,5.9,19.0,8.693000000000001,7.165,4.628,11.650000000000002
rzsm>0.7_pr>50,ssp245,2024,21,13,17,51,25,19,33,34,17,16,17,25,14,16,46,11,112,9,54,7,21,13,15,50,25,19,33,34,16,16,17,25,14,16,46,10,111,9,54,7,3,2,2,5,3,4,4,4,2,1,3,3,1,2,5,2,1,1,4,1,9,7,8,12,13,6,9,17,11,16,7,11,14,12,11,8,111,9,35,7,7.0,6.5,7.5,10.0,8.33,4.75,8.25,8.5,8.0,16.0,5.67,8.33,14.0,8.0,9.2,5.0,111.0,9.0,13.5,7.0,27.85,18.0,10.8,51.300000000000004,27.55,18.0,9.9,50.400000000000006,2.65,2.5,1.0,4.100000000000001,16.65,11.0,7.0,18.800000000000026,13.776499999999999,8.29,5.603,14.200000000000003
