threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,MRI-ESM2-0_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,MRI-ESM2-0_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,MRI-ESM2-0_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.8_pr>50,ssp245,2047,14,0,7,19,7,13,26,23,47,0,5,1,4,6,24,25,259,8,41,0,14,0,7,19,6,13,25,22,47,0,5,0,4,5,24,24,258,8,39,0,4,0,2,3,1,2,6,2,6,0,2,0,1,1,4,3,9,3,6,0,6,0,4,9,6,10,6,15,16,0,3,0,4,5,8,14,77,3,13,0,3.5,0.0,3.5,6.33,6.0,6.5,4.17,11.0,7.83,0.0,2.5,0.0,4.0,5.0,6.0,8.0,28.67,2.67,6.5,0.0,26.45,10.5,0.0,41.60000000000001,26.0,10.5,0.0,39.80000000000001,2.75,2.0,0.0,6.0,9.95,6.0,0.0,15.100000000000001,5.6085,4.585,0.0,8.300000000000004
rzsm>0.8_pr>50,ssp245,2048,0,32,38,58,17,29,0,25,33,32,7,4,52,22,5,3,10,4,76,47,0,31,37,58,17,29,0,23,32,32,7,4,52,21,5,3,9,4,74,46,0,5,6,9,3,5,0,5,5,3,2,1,9,4,1,1,2,1,6,5,0,10,10,9,8,9,0,6,10,16,4,4,10,6,5,3,7,4,19,20,0.0,6.2,6.17,6.44,5.67,5.8,0.0,4.6,6.4,10.67,3.5,4.0,5.78,5.25,5.0,3.0,4.5,4.0,12.33,9.2,24.7,23.5,2.7,52.60000000000001,24.2,22.0,2.7,52.60000000000001,3.65,3.5,0.9000000000000001,6.300000000000004,8.0,7.5,2.7,16.300000000000004,5.4255,5.46,2.7,9.347000000000001
rzsm>0.8_pr>50,ssp245,2049,14,4,46,38,0,29,5,22,36,0,43,8,0,30,5,0,18,6,15,21,14,4,46,37,0,28,5,22,36,0,41,6,0,29,5,0,18,6,15,21,3,2,7,7,0,5,1,2,6,0,6,2,0,4,1,0,1,1,3,5,5,2,11,14,0,8,5,14,12,0,10,4,0,9,5,0,18,6,6,6,4.67,2.0,6.57,5.29,0.0,5.6,5.0,11.0,6.0,0.0,6.83,3.0,0.0,7.25,5.0,0.0,18.0,6.0,5.0,4.2,17.0,14.5,0.0,38.50000000000001,16.65,14.5,0.0,37.400000000000006,2.8,2.0,0.0,6.100000000000001,6.75,6.0,0.0,14.0,5.070500000000001,5.0,0.0,7.625000000000005
rzsm>0.8_pr>50,ssp245,2050,11,8,36,28,0,26,0,15,0,18,52,0,18,21,48,5,48,0,9,0,11,8,36,28,0,25,0,15,0,18,51,0,18,21,48,5,48,0,9,0,2,1,6,5,0,4,0,2,0,4,7,0,3,3,7,1,1,0,1,0,6,8,8,9,0,12,0,9,0,6,19,0,7,9,11,5,48,0,9,0,5.5,8.0,6.0,5.6,0.0,6.25,0.0,7.5,0.0,4.5,7.29,0.0,6.0,7.0,6.86,5.0,48.0,0.0,9.0,0.0,17.15,13.0,0.0,48.0,17.05,13.0,0.0,48.0,2.35,1.5,0.0,6.100000000000001,8.3,7.5,0.0,12.70000000000001,6.625,5.8,0.0,8.100000000000001
rzsm>0.8_pr>50,ssp245,2051,0,11,10,37,28,49,0,11,32,30,22,29,11,29,45,0,17,34,10,0,0,11,9,37,27,49,0,10,32,30,22,29,11,29,43,0,17,34,10,0,0,2,2,6,4,8,0,2,6,5,4,6,2,6,9,0,2,6,4,0,0,9,7,20,12,13,0,5,10,14,6,6,6,7,6,0,11,7,3,0,0.0,5.5,4.5,6.17,6.75,6.12,0.0,5.0,5.33,6.0,5.5,4.83,5.5,4.83,4.78,0.0,8.5,5.67,2.5,0.0,20.25,19.5,0.0,37.80000000000001,20.0,19.5,0.0,37.60000000000001,3.7,4.0,0.0,6.200000000000003,7.1,6.5,0.0,13.100000000000001,4.3740000000000006,5.165,0.0,6.228000000000001
rzsm>0.8_pr>50,ssp245,2052,5,29,18,6,10,27,0,29,17,4,23,66,59,67,22,0,28,9,0,3,5,28,18,6,10,24,0,26,17,4,22,66,59,65,21,0,28,9,0,3,1,5,4,1,1,4,0,6,4,1,3,10,6,10,4,0,3,2,0,1,5,8,6,6,10,9,0,6,10,4,9,13,25,20,7,0,13,5,0,3,5.0,5.6,4.5,6.0,10.0,6.0,0.0,4.33,4.25,4.0,7.33,6.6,9.83,6.5,5.25,0.0,9.33,4.5,0.0,3.0,21.1,17.5,0.0,59.70000000000001,20.55,17.5,0.0,59.60000000000001,3.3,3.0,0.0,6.400000000000006,7.95,6.5,0.0,13.70000000000001,5.101,5.125,0.0,9.38
rzsm>0.8_pr>50,ssp245,2053,34,70,13,9,0,25,7,12,0,0,30,18,36,21,11,24,0,0,0,26,33,69,13,9,0,24,7,12,0,0,29,17,36,20,10,24,0,0,0,26,8,9,3,2,0,3,1,2,0,0,4,4,4,4,2,6,0,0,0,2,8,16,9,5,0,16,7,6,0,0,11,8,14,11,6,7,0,0,0,18,4.12,7.67,4.33,4.5,0.0,8.0,7.0,6.0,0.0,0.0,7.25,4.25,9.0,5.0,5.0,4.0,0.0,0.0,0.0,13.0,16.8,12.5,0.0,34.2,16.45,12.5,0.0,33.300000000000004,2.7,2.0,0.0,6.200000000000003,7.1,7.0,0.0,16.0,4.456,4.415,0.0,8.100000000000001
rzsm>0.8_pr>50,ssp245,2054,0,17,9,0,18,26,23,3,0,0,35,46,17,3,5,29,31,14,4,21,0,17,9,0,18,26,23,3,0,0,35,46,16,3,5,29,31,14,4,21,0,4,2,0,3,3,4,1,0,0,6,5,3,1,1,8,3,1,1,3,0,7,7,0,9,14,8,3,0,0,9,14,6,3,5,7,12,14,4,7,0.0,4.25,4.5,0.0,6.0,8.67,5.75,3.0,0.0,0.0,5.83,9.2,5.33,3.0,5.0,3.62,10.33,14.0,4.0,7.0,15.05,15.5,0.0,31.400000000000006,15.0,15.0,0.0,31.400000000000006,2.45,2.5,0.0,5.100000000000001,6.45,7.0,0.0,14.0,4.974,4.75,0.0,9.313
rzsm>0.8_pr>50,ssp245,2055,25,6,31,44,0,22,30,0,5,0,16,6,15,20,8,0,58,5,0,1,23,5,30,44,0,22,30,0,5,0,16,6,15,20,8,0,57,4,0,0,4,1,5,5,0,4,6,0,1,0,2,1,3,4,2,0,4,1,0,0,7,5,7,17,0,6,7,0,5,0,13,6,6,6,4,0,29,4,0,0,5.75,5.0,6.0,8.8,0.0,5.5,5.0,0.0,5.0,0.0,8.0,6.0,5.0,5.0,4.0,0.0,14.25,4.0,0.0,0.0,14.6,7.0,0.0,32.30000000000002,14.25,7.0,0.0,31.40000000000002,2.15,1.5,0.0,5.0,6.1,5.5,0.0,13.400000000000006,4.365,5.0,0.0,8.080000000000002
rzsm>0.8_pr>50,ssp245,2056,11,33,9,7,2,0,24,33,6,0,20,65,23,55,15,0,19,48,33,41,11,32,9,7,0,0,24,33,5,0,20,63,23,53,15,0,19,48,32,41,2,7,2,1,0,0,4,6,1,0,3,8,3,8,3,0,2,4,5,5,6,11,7,7,0,0,7,10,5,0,11,13,10,14,7,0,17,23,11,16,5.5,4.57,4.5,7.0,0.0,0.0,6.0,5.5,5.0,0.0,6.67,7.88,7.67,6.62,5.0,0.0,9.5,12.0,6.4,8.2,22.2,19.5,0.0,48.70000000000001,21.75,19.5,0.0,48.50000000000001,3.2,3.0,0.0,7.100000000000001,8.75,8.5,0.0,16.1,5.400500000000001,5.75,0.0,8.330000000000002
rzsm>0.8_pr>50,ssp245,2057,20,28,0,0,1,13,20,5,56,16,47,17,4,13,17,6,10,2,34,7,20,27,0,0,0,12,18,3,56,13,47,17,4,12,14,6,9,0,34,7,3,5,0,0,0,1,5,1,10,3,6,3,1,3,4,1,2,0,5,1,8,7,0,0,0,12,6,3,8,6,17,8,4,6,6,6,7,0,9,7,6.67,5.4,0.0,0.0,0.0,12.0,3.6,3.0,5.6,4.33,7.83,5.67,4.0,4.0,3.5,6.0,4.5,0.0,6.8,7.0,15.8,13.0,0.9000000000000001,35.30000000000002,14.95,12.0,0.0,35.30000000000002,2.7,2.5,0.0,5.100000000000001,6.0,6.0,0.0,9.300000000000004,4.494999999999999,4.415,0.0,7.083000000000001
rzsm>0.8_pr>50,ssp245,2058,4,26,0,19,0,20,0,29,44,4,49,0,18,21,40,2,117,0,0,28,4,25,0,19,0,20,0,29,44,4,49,0,17,21,40,2,115,0,0,28,1,4,0,2,0,3,0,4,7,1,6,0,2,4,8,1,9,0,0,5,4,7,0,12,0,8,0,11,9,4,12,0,10,6,13,2,33,0,0,11,4.0,6.25,0.0,9.5,0.0,6.67,0.0,7.25,6.29,4.0,8.17,0.0,8.5,5.25,5.0,2.0,12.78,0.0,0.0,5.6,21.05,18.5,0.0,44.50000000000001,20.85,18.0,0.0,44.50000000000001,2.85,2.0,0.0,7.100000000000001,7.1,6.5,0.0,12.100000000000001,4.563,5.125,0.0,8.600000000000001
rzsm>0.8_pr>50,ssp245,2059,0,14,8,54,6,13,55,52,16,5,47,5,80,26,30,1,2,44,37,0,0,14,8,54,6,12,54,52,16,5,46,5,78,26,29,0,2,43,37,0,0,3,2,9,1,2,6,7,3,1,8,1,10,4,5,0,1,5,5,0,0,6,5,9,6,7,21,16,7,5,10,5,16,7,9,0,2,12,12,0,0.0,4.67,4.0,6.0,6.0,6.0,9.0,7.43,5.33,5.0,5.75,5.0,7.8,6.5,5.8,0.0,2.0,8.6,7.4,0.0,24.75,15.0,0.9000000000000001,54.1,24.35,15.0,0.0,54.0,3.65,3.0,0.0,8.100000000000001,7.75,7.0,0.0,16.0,5.114,5.775,0.0,7.880000000000001
rzsm>0.8_pr>50,ssp245,2060,0,2,16,11,15,25,3,50,41,17,41,33,0,10,25,0,35,14,31,38,0,2,15,11,15,25,2,48,40,17,41,31,0,10,25,0,35,13,31,38,0,1,3,3,2,4,1,9,9,3,8,5,0,3,4,0,2,2,4,4,0,2,8,5,8,8,2,7,8,7,9,7,0,4,7,0,27,7,16,15,0.0,2.0,5.0,3.67,7.5,6.25,2.0,5.33,4.44,5.67,5.12,6.2,0.0,3.33,6.25,0.0,17.5,6.5,7.75,9.5,20.35,16.5,0.0,41.0,19.95,16.0,0.0,40.1,3.35,3.0,0.0,8.100000000000001,7.35,7.0,0.0,15.100000000000001,5.2005,5.225,0.0,7.9250000000000025
rzsm>0.8_pr>50,ssp245,2061,50,13,25,0,0,63,0,10,4,0,19,0,0,8,11,5,26,0,18,17,50,11,25,0,0,63,0,10,3,0,17,0,0,7,11,5,24,0,18,17,5,3,4,0,0,8,0,3,1,0,5,0,0,1,2,1,3,0,3,3,16,6,7,0,0,17,0,5,3,0,6,0,0,7,6,5,14,0,12,7,10.0,3.67,6.25,0.0,0.0,7.88,0.0,3.33,3.0,0.0,3.4,0.0,0.0,7.0,5.5,5.0,8.0,0.0,6.0,5.67,13.45,9.0,0.0,28.400000000000034,13.05,8.5,0.0,27.500000000000036,2.1,1.5,0.0,5.0,5.55,5.5,0.0,14.200000000000003,3.7350000000000003,3.535,0.0,7.892
rzsm>0.8_pr>50,ssp245,2062,58,0,61,3,1,22,0,50,45,0,0,8,65,26,6,13,31,31,29,25,57,0,60,3,0,21,0,49,44,0,0,8,64,25,6,12,30,30,29,25,6,0,10,1,0,4,0,8,8,0,0,1,7,2,1,2,4,4,3,5,19,0,12,3,0,7,0,12,13,0,0,8,16,21,6,6,13,11,16,6,9.5,0.0,6.0,3.0,0.0,5.25,0.0,6.12,5.5,0.0,0.0,8.0,9.14,12.5,6.0,6.0,7.5,7.5,9.67,5.0,23.7,23.5,0.0,58.300000000000004,23.15,23.0,0.0,57.300000000000004,3.3,2.5,0.0,8.0,8.45,7.5,0.0,16.300000000000004,5.3340000000000005,6.0,0.0,9.517
rzsm>0.8_pr>50,ssp245,2063,20,4,41,5,0,40,17,19,10,4,21,2,34,26,23,9,6,30,0,37,19,4,41,5,0,40,17,19,10,4,21,2,33,26,23,9,6,29,0,36,3,1,7,1,0,7,3,3,2,1,4,1,4,3,5,2,1,5,0,5,8,4,7,5,0,11,9,7,6,4,9,2,13,14,7,7,6,9,0,15,6.33,4.0,5.86,5.0,0.0,5.71,5.67,6.33,5.0,4.0,5.25,2.0,8.25,8.67,4.6,4.5,6.0,5.8,0.0,7.2,17.4,18.0,1.8000000000000003,37.300000000000004,17.2,18.0,1.8000000000000003,36.400000000000006,2.9,3.0,0.9000000000000001,5.200000000000003,7.15,7.0,1.8000000000000003,13.100000000000001,5.0085,5.46,1.8000000000000003,7.3050000000000015
rzsm>0.8_pr>50,ssp245,2064,52,0,12,0,0,20,16,33,0,20,0,19,16,6,13,2,114,0,6,17,52,0,12,0,0,20,16,31,0,20,0,18,16,6,13,2,114,0,5,15,5,0,2,0,0,3,3,3,0,3,0,4,3,1,2,1,4,0,1,2,16,0,7,0,0,8,7,14,0,8,0,6,6,6,8,2,49,0,5,9,10.4,0.0,6.0,0.0,0.0,6.67,5.33,10.33,0.0,6.67,0.0,4.5,5.33,6.0,6.5,2.0,28.5,0.0,5.0,7.5,17.3,12.5,0.0,34.90000000000003,17.0,12.5,0.0,33.10000000000003,1.85,2.0,0.0,4.0,7.55,6.0,0.0,14.200000000000003,5.536499999999999,5.33,0.0,10.337
rzsm>0.8_pr>50,ssp245,2065,35,0,0,25,57,7,75,27,5,16,78,4,0,30,6,0,6,30,3,27,35,0,0,25,55,7,73,25,5,16,78,4,0,30,6,0,6,29,3,27,6,0,0,3,6,1,11,7,1,3,7,1,0,3,1,0,1,4,1,4,7,0,0,12,16,7,19,5,5,8,21,4,0,15,6,0,6,12,3,9,5.83,0.0,0.0,8.33,9.17,7.0,6.64,3.57,5.0,5.33,11.14,4.0,0.0,10.0,6.0,0.0,6.0,7.25,3.0,6.75,21.55,11.5,0.0,58.800000000000026,21.2,11.5,0.0,56.800000000000026,3.0,2.0,0.0,7.0,7.75,6.5,0.0,16.300000000000004,5.2505,5.915,0.0,9.253000000000002
rzsm>0.8_pr>50,ssp245,2066,44,0,54,11,16,0,25,0,4,0,20,8,6,34,0,5,0,10,13,8,44,0,52,11,16,0,25,0,4,0,19,8,6,34,0,5,0,10,13,8,8,0,7,4,4,0,4,0,1,0,4,2,1,5,0,1,0,2,2,1,7,0,16,4,9,0,7,0,4,0,6,5,6,10,0,5,0,5,9,8,5.5,0.0,7.43,2.75,4.0,0.0,6.25,0.0,4.0,0.0,4.75,4.0,6.0,6.8,0.0,5.0,0.0,5.0,6.5,8.0,12.9,8.0,0.0,35.000000000000014,12.75,8.0,0.0,35.000000000000014,2.3,1.5,0.0,5.200000000000003,5.05,5.0,0.0,9.100000000000001,3.7989999999999995,4.375,0.0,6.863
rzsm>0.8_pr>50,ssp245,2067,8,0,17,49,4,46,6,13,89,29,21,15,25,69,0,17,19,17,11,7,8,0,17,48,4,46,6,12,88,29,21,15,25,68,0,16,19,17,11,7,2,0,3,6,1,7,1,3,9,4,4,3,4,6,0,3,3,3,1,2,5,0,7,13,4,11,6,6,20,13,8,6,8,18,0,9,7,6,11,5,4.0,0.0,5.67,8.0,4.0,6.57,6.0,4.0,9.78,7.25,5.25,5.0,6.25,11.33,0.0,5.33,6.33,5.67,11.0,3.5,23.1,17.0,3.6000000000000005,51.00000000000003,22.85,16.5,3.6000000000000005,50.00000000000003,3.25,3.0,0.9000000000000001,6.100000000000001,8.15,7.0,3.6000000000000005,13.500000000000007,5.7465,5.67,3.1500000000000004,9.902000000000001
rzsm>0.8_pr>50,ssp245,2068,72,28,36,0,6,73,6,56,19,54,35,0,3,0,0,6,52,4,14,1,71,27,36,0,5,71,6,56,19,54,34,0,3,0,0,6,51,4,14,0,10,6,5,0,1,13,1,8,4,7,4,0,1,0,0,1,5,1,2,0,13,7,13,0,5,11,6,13,7,12,14,0,3,0,0,6,29,4,12,0,7.1,4.5,7.2,0.0,5.0,5.46,6.0,7.0,4.75,7.71,8.5,0.0,3.0,0.0,0.0,6.0,10.2,4.0,7.0,0.0,23.25,10.0,0.0,57.60000000000002,22.85,10.0,0.0,57.50000000000002,3.45,1.5,0.0,8.200000000000003,7.75,6.5,0.0,13.100000000000001,4.671,5.23,0.0,7.7890000000000015
rzsm>0.8_pr>50,ssp245,2069,45,15,12,38,0,34,11,27,0,9,52,20,0,29,0,8,0,1,30,69,45,15,12,38,0,34,11,27,0,9,51,20,0,29,0,6,0,0,30,69,5,3,3,7,0,8,1,4,0,2,9,4,0,5,0,1,0,0,5,3,17,7,5,12,0,8,11,11,0,6,8,6,0,10,0,6,0,0,9,39,9.0,5.0,4.0,5.43,0.0,4.25,11.0,6.75,0.0,4.5,5.67,5.0,0.0,5.8,0.0,6.0,0.0,0.0,6.0,23.0,20.0,13.5,0.0,45.70000000000001,19.8,13.5,0.0,45.60000000000001,3.0,3.0,0.0,7.100000000000001,7.75,6.5,0.0,12.500000000000007,5.07,5.0,0.0,9.200000000000003
rzsm>0.8_pr>50,ssp245,2070,0,27,56,41,0,24,2,63,0,24,4,15,12,22,0,0,20,1,17,10,0,24,52,41,0,23,2,63,0,24,3,15,11,20,0,0,20,0,17,10,0,5,8,7,0,5,1,11,0,4,1,3,2,4,0,0,1,0,3,1,0,8,14,9,0,9,2,8,0,8,3,6,6,7,0,0,20,0,9,10,0.0,4.8,6.5,5.86,0.0,4.6,2.0,5.73,0.0,6.0,3.0,5.0,5.5,5.0,0.0,0.0,20.0,0.0,5.67,10.0,16.9,13.5,0.0,42.50000000000002,16.25,13.0,0.0,42.100000000000016,2.8,1.5,0.0,7.100000000000001,5.95,6.5,0.0,10.400000000000006,4.483,4.9,0.0,6.850000000000005
rzsm>0.8_pr>50,ssp245,2071,41,10,13,58,34,54,0,49,0,5,5,1,40,43,7,22,1,8,18,41,40,10,11,58,34,53,0,49,0,5,4,0,39,43,7,22,0,7,18,40,7,2,1,7,4,9,0,7,0,1,2,0,5,6,2,4,0,1,3,5,10,5,11,20,11,11,0,12,0,5,2,0,14,11,5,7,0,7,10,16,5.71,5.0,11.0,8.29,8.5,5.89,0.0,7.0,0.0,5.0,2.0,0.0,7.8,7.17,3.5,5.5,0.0,7.0,6.0,8.0,22.5,15.5,0.9000000000000001,49.50000000000001,22.0,14.5,0.0,49.400000000000006,3.3,2.5,0.0,7.0,7.85,8.5,0.0,14.200000000000003,5.168,5.8,0.0,8.311
rzsm>0.8_pr>50,ssp245,2072,66,6,26,35,9,27,7,50,37,22,27,12,26,12,0,68,49,41,5,0,62,6,26,35,9,24,6,48,37,22,27,12,25,11,0,68,48,39,4,0,10,1,5,5,2,6,1,5,6,2,4,3,4,2,0,11,3,6,1,0,13,6,7,10,5,6,6,13,10,13,16,5,7,6,0,11,36,11,4,0,6.2,6.0,5.2,7.0,4.5,4.0,6.0,9.6,6.17,11.0,6.75,4.0,6.25,5.5,0.0,6.18,16.0,6.5,4.0,0.0,26.25,26.0,4.500000000000001,51.60000000000002,25.45,24.5,3.6000000000000005,49.40000000000002,3.85,3.5,0.9000000000000001,6.400000000000006,9.25,7.0,3.6000000000000005,13.300000000000004,6.0424999999999995,6.085,3.6000000000000005,9.740000000000002
rzsm>0.8_pr>50,ssp245,2073,8,6,65,39,0,21,31,17,15,86,6,68,14,37,17,34,112,7,33,14,8,6,65,39,0,20,30,17,15,86,6,67,13,37,17,34,112,7,33,13,2,1,9,8,0,4,5,4,3,12,1,11,2,7,4,4,5,1,5,2,5,6,12,8,0,5,8,7,5,15,6,19,7,8,5,23,60,7,17,8,4.0,6.0,7.22,4.88,0.0,5.0,6.0,4.25,5.0,7.17,6.0,6.09,6.5,5.29,4.25,8.5,22.4,7.0,6.6,6.5,31.5,19.0,6.0,69.80000000000003,31.25,18.5,6.0,68.90000000000003,4.5,4.0,1.0,9.200000000000003,11.55,7.5,5.0,19.400000000000006,6.4325,6.0,4.225,7.348000000000002
rzsm>0.8_pr>50,ssp245,2074,25,7,39,22,7,27,45,26,17,61,35,32,34,46,19,11,92,43,3,1,25,7,39,21,7,27,45,25,15,60,35,32,30,46,19,11,91,42,2,0,4,2,5,4,2,3,5,4,4,8,4,5,5,7,4,2,3,3,1,0,10,5,16,6,5,16,15,11,6,16,14,13,7,15,6,6,76,29,2,0,6.25,3.5,7.8,5.25,3.5,9.0,9.0,6.25,3.75,7.5,8.75,6.4,6.0,6.57,4.75,5.5,30.33,14.0,2.0,0.0,29.6,26.5,6.6000000000000005,47.50000000000002,28.95,26.0,6.500000000000001,47.40000000000002,3.75,4.0,1.9000000000000001,5.200000000000003,13.7,10.5,4.7,17.30000000000002,7.3050000000000015,6.25,3.35,9.500000000000007
rzsm>0.8_pr>50,ssp245,2075,49,5,36,24,0,1,19,23,40,37,72,13,89,7,14,0,69,6,16,64,47,5,36,22,0,0,19,23,39,37,72,13,89,6,13,0,69,6,16,63,9,1,6,5,0,0,4,1,6,5,11,3,4,1,2,0,4,1,1,8,9,5,8,6,0,0,7,23,19,14,14,6,40,6,7,0,32,6,16,11,5.22,5.0,6.0,4.4,0.0,0.0,4.75,23.0,6.5,7.4,6.55,4.33,22.25,6.0,6.5,0.0,17.25,6.0,16.0,7.88,29.2,21.0,0.9000000000000001,69.30000000000001,28.75,20.5,0.0,69.30000000000001,3.6,3.5,0.0,8.100000000000001,11.45,7.5,0.0,23.900000000000013,7.751499999999998,6.0,0.0,17.750000000000007
rzsm>0.8_pr>50,ssp245,2076,17,50,10,54,0,0,12,26,4,45,33,17,50,17,61,17,38,0,30,3,17,50,10,52,0,0,9,26,4,45,33,17,50,17,61,17,38,0,29,3,3,4,2,8,0,0,2,5,1,6,5,3,8,3,7,3,1,0,7,1,7,30,5,13,0,0,6,7,4,11,8,9,9,9,20,8,38,0,7,3,5.67,12.5,5.0,6.5,0.0,0.0,4.5,5.2,4.0,7.5,6.6,5.67,6.25,5.67,8.71,5.67,38.0,0.0,4.14,3.0,24.2,17.0,0.0,50.400000000000006,23.9,17.0,0.0,50.2,3.45,3.0,0.0,7.100000000000001,9.7,7.5,0.0,21.000000000000014,6.729000000000001,5.67,0.0,9.089000000000006
rzsm>0.8_pr>50,ssp245,2077,49,48,6,31,1,13,37,30,23,56,16,27,0,0,31,33,15,38,13,3,49,47,6,31,0,12,37,30,21,56,16,26,0,0,31,33,15,37,13,3,8,9,2,5,0,2,4,4,4,6,3,4,0,0,4,5,3,6,1,1,14,9,4,8,0,6,13,13,7,13,7,7,0,0,12,9,8,9,13,3,6.12,5.22,3.0,6.2,0.0,6.0,9.25,7.5,5.25,9.33,5.33,6.5,0.0,0.0,7.75,6.6,5.0,6.17,13.0,3.0,23.5,25.0,0.9000000000000001,48.1,23.15,23.5,0.0,47.2,3.55,4.0,0.0,6.200000000000003,7.75,8.0,0.0,13.0,5.560999999999999,6.0600000000000005,0.0,9.258000000000001
rzsm>0.8_pr>50,ssp245,2078,1,14,5,8,0,0,17,38,20,64,12,0,52,0,4,55,78,64,5,0,0,14,5,8,0,0,17,37,20,64,12,0,51,0,4,54,78,63,5,0,0,3,1,2,0,0,4,4,3,10,3,0,8,0,1,7,3,10,1,0,0,7,5,5,0,0,6,15,7,10,6,0,10,0,4,14,40,10,5,0,0.0,4.67,5.0,4.0,0.0,0.0,4.25,9.25,6.67,6.4,4.0,0.0,6.38,0.0,4.0,7.71,26.0,6.3,5.0,0.0,21.85,10.0,0.0,64.0,21.6,10.0,0.0,63.1,3.0,2.5,0.0,8.200000000000003,7.2,5.5,0.0,14.100000000000001,4.9815000000000005,4.46,0.0,7.8640000000000025
rzsm>0.8_pr>50,ssp245,2079,28,45,18,30,0,9,6,7,0,22,60,1,1,46,0,0,98,33,11,0,27,45,18,30,0,8,6,7,0,22,60,0,0,46,0,0,98,33,11,0,5,5,3,2,0,2,1,2,0,2,6,0,0,7,0,0,1,6,2,0,11,31,6,15,0,5,6,5,0,15,22,0,0,8,0,0,98,10,8,0,5.4,9.0,6.0,15.0,0.0,4.0,6.0,3.5,0.0,11.0,10.0,0.0,0.0,6.57,0.0,0.0,98.0,5.5,5.5,0.0,20.75,10.0,0.0,47.40000000000002,20.55,9.5,0.0,47.40000000000002,2.2,2.0,0.0,6.0,12.0,6.0,0.0,22.900000000000013,9.2735,5.45,0.0,11.400000000000006
