threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,CESM2_compound_day_total,INM-CM5-0_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,MRI-ESM2-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,CESM2_compound_event_total,INM-CM5-0_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,MRI-ESM2-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,CESM2_compound_sequence_total,INM-CM5-0_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,CESM2_compound_duration_max,INM-CM5-0_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,CESM2_compound_duration_mean,INM-CM5-0_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,32,59,49,0,12,33,63,66,37,17,37,47,46,100,28,53,142,69,42,66,30,58,47,0,12,31,63,65,37,17,36,45,44,97,28,53,142,68,40,66,5,6,8,0,3,7,9,7,6,3,6,6,8,15,6,9,4,6,2,7,10,18,12,0,5,9,21,18,10,7,14,17,10,11,8,8,106,34,38,22,6.0,9.67,5.88,0.0,4.0,4.43,7.0,9.29,6.17,5.67,6.0,7.5,5.5,6.47,4.67,5.89,35.5,11.33,20.0,9.43,49.9,46.5,16.5,72.10000000000005,48.95,44.5,16.5,70.90000000000003,6.15,6.0,2.9000000000000004,9.0,18.9,11.5,6.800000000000001,34.400000000000006,8.520000000000001,6.085,4.387,12.197000000000012
rzsm>0.7_pr>50,ssp245,2016,76,65,53,38,50,42,40,27,21,41,40,61,35,90,17,46,123,44,65,44,72,65,53,37,49,41,40,26,21,41,37,57,34,90,17,45,123,44,65,44,5,8,8,2,8,4,3,4,4,6,5,10,5,11,2,7,4,7,5,5,29,18,20,31,14,24,26,7,9,20,13,13,11,28,12,13,107,11,23,21,14.4,8.12,6.62,18.5,6.12,10.25,13.33,6.5,5.25,6.83,7.4,5.7,6.8,8.18,8.5,6.43,30.75,6.29,13.0,8.8,50.9,44.0,26.400000000000002,77.40000000000002,50.05,44.0,25.5,73.80000000000003,5.65,5.0,2.9000000000000004,8.200000000000003,22.5,19.0,10.8,29.200000000000003,9.8885,7.76,6.078,14.810000000000006
rzsm>0.7_pr>50,ssp245,2017,54,48,33,28,66,46,44,67,35,27,37,80,75,52,35,81,128,29,25,51,53,46,33,24,65,46,42,67,35,27,37,79,74,52,33,81,128,29,25,50,7,9,6,3,9,9,9,8,3,3,7,9,11,9,6,10,6,3,3,8,12,15,13,12,18,11,11,17,18,14,10,21,13,14,9,15,66,21,12,11,7.57,5.11,5.5,8.0,7.22,5.11,4.67,8.38,11.67,9.0,5.29,8.78,6.73,5.78,5.5,8.1,21.33,9.67,8.33,6.25,52.05,47.0,27.9,80.1,51.3,46.0,26.8,79.2,6.9,7.5,3.0,9.100000000000001,16.65,13.5,10.9,21.0,7.899500000000001,7.395,5.11,9.870000000000003
rzsm>0.7_pr>50,ssp245,2018,50,36,48,20,37,69,54,70,28,33,43,60,70,64,30,84,80,55,46,41,50,34,47,20,36,69,54,66,27,32,42,58,67,63,27,79,79,53,45,39,10,8,5,4,5,7,7,10,6,3,7,7,11,8,4,14,5,10,2,9,9,7,27,7,11,21,19,15,10,14,11,20,13,18,11,14,34,13,34,11,5.0,4.25,9.4,5.0,7.2,9.86,7.71,6.6,4.5,10.67,6.0,8.29,6.09,7.88,6.75,5.64,15.8,5.3,22.5,4.33,50.9,49.0,29.8,71.00000000000001,49.35,48.5,27.0,70.00000000000001,7.1,7.0,3.9000000000000004,10.100000000000001,15.95,13.5,8.8,27.70000000000001,7.9385,6.675,4.483,11.183000000000007
rzsm>0.7_pr>50,ssp245,2019,113,57,34,35,41,66,0,18,39,43,54,87,40,75,45,22,49,44,28,42,106,55,34,34,40,66,0,18,37,43,52,83,38,73,44,22,49,43,27,42,12,8,6,5,5,9,0,3,8,4,7,10,4,13,5,4,4,5,5,6,31,11,7,12,9,11,0,7,7,20,13,22,16,15,11,9,20,15,8,13,8.83,6.88,5.67,6.8,8.0,7.33,0.0,6.0,4.62,10.75,7.43,8.3,9.5,5.62,8.8,5.5,12.25,8.6,5.4,7.0,46.6,42.5,21.6,76.20000000000002,45.3,42.5,21.6,74.00000000000001,6.15,5.0,3.9000000000000004,10.200000000000003,12.85,11.5,7.0,20.200000000000003,7.164,7.165,5.322,9.625000000000002
rzsm>0.7_pr>50,ssp245,2020,57,55,72,0,68,48,26,47,40,20,30,55,49,49,43,30,120,46,49,62,56,55,72,0,67,48,26,46,40,20,28,55,49,49,41,29,119,45,48,62,8,9,8,0,9,8,4,6,8,4,6,6,7,5,9,5,6,8,7,8,19,11,25,0,14,11,10,20,10,10,11,13,11,22,8,13,58,13,13,19,7.0,6.11,9.0,0.0,7.44,6.0,6.5,7.67,5.0,5.0,4.67,9.17,7.0,9.8,4.56,5.8,19.83,5.62,6.86,7.75,48.3,48.5,25.400000000000002,68.4,47.75,48.0,25.400000000000002,67.5,6.55,7.0,4.0,9.0,15.55,13.0,9.8,22.300000000000004,7.039,6.68,4.659,9.233
rzsm>0.7_pr>50,ssp245,2021,52,39,20,29,51,10,47,50,27,48,66,43,44,33,72,98,94,65,39,24,52,36,18,29,49,9,46,48,27,46,66,43,43,33,72,96,94,65,39,24,8,7,4,2,4,2,4,7,6,7,7,6,9,6,12,12,4,5,6,3,15,7,7,19,20,7,23,11,8,10,16,12,7,8,19,15,68,27,19,12,6.5,5.14,4.5,14.5,12.25,4.5,11.5,6.86,4.5,6.57,9.43,7.17,4.78,5.5,6.0,8.0,23.5,13.0,6.5,8.0,47.55,45.5,23.6,74.20000000000003,46.75,44.5,23.400000000000002,74.20000000000003,6.05,6.0,2.9000000000000004,9.300000000000004,16.5,13.5,7.0,23.400000000000006,8.434999999999999,6.715,4.5,13.150000000000002
rzsm>0.7_pr>50,ssp245,2022,25,54,29,28,69,37,26,42,49,17,70,56,64,43,72,36,124,59,56,71,24,54,28,26,67,35,22,42,49,16,70,54,62,42,72,34,122,58,55,70,7,6,4,5,11,5,4,7,8,3,11,9,8,7,11,8,6,8,8,10,5,17,10,12,10,15,12,12,10,6,14,16,15,13,13,9,84,13,15,17,3.43,9.0,7.0,5.2,6.09,7.0,5.5,6.0,6.12,5.33,6.36,6.0,7.75,6.0,6.55,4.25,20.33,7.25,6.88,7.0,51.35,51.5,25.9,71.1,50.1,51.5,23.8,70.2,7.3,7.5,4.0,11.0,15.9,13.0,8.700000000000001,17.0,6.952,6.24,5.105,7.875000000000002
rzsm>0.7_pr>50,ssp245,2023,31,79,61,42,71,50,45,17,67,65,57,24,25,39,48,42,53,34,44,50,30,75,61,42,70,48,45,16,67,64,56,23,24,39,48,40,53,32,43,50,5,10,10,7,12,8,9,2,7,6,7,1,5,7,5,4,6,6,6,7,11,18,20,19,11,9,9,13,24,27,17,23,9,10,22,18,19,11,14,15,6.0,7.5,6.1,6.0,5.83,6.0,5.0,8.0,9.57,10.67,8.0,23.0,4.8,5.57,9.6,10.0,8.83,5.33,7.17,7.14,47.2,46.5,24.9,67.4,46.3,46.5,23.9,67.30000000000001,6.5,6.5,3.8000000000000003,10.0,15.95,16.0,9.0,23.1,8.0055,7.154999999999999,5.297,10.067
rzsm>0.7_pr>50,ssp245,2024,55,83,49,41,82,65,52,30,22,23,46,26,58,17,60,40,137,26,69,34,53,83,49,36,82,61,51,28,22,21,45,26,58,17,59,40,137,24,69,34,9,14,8,6,10,11,9,5,4,3,7,4,9,5,8,5,6,3,5,6,12,13,8,12,27,12,15,7,11,10,14,11,16,4,15,10,89,11,30,12,5.89,5.93,6.12,6.0,8.2,5.55,5.67,5.6,5.5,7.0,6.43,6.5,6.44,3.4,7.38,8.0,22.83,8.0,13.8,5.67,50.75,47.5,22.9,82.1,49.75,47.0,21.9,82.1,6.85,6.0,3.9000000000000004,10.100000000000001,16.95,12.0,7.9,27.300000000000004,7.4955,6.275,5.545,8.760000000000007
