mean,decades,95th_perc,5th_perc,median,change_frombaseline
1247.855058,2020s,1298.348199,1181.082237,1244.037971,30.46905776
1253.601501,2030s,1322.620753,1185.835337,1254.155356,36.21549999
1260.931492,2040s,1326.949496,1200.387616,1258.469502,43.54549137
1272.174194,2050s,1327.627437,1208.506922,1270.962588,54.78819354
1276.13056,2060s,1330.172238,1216.432636,1270.462782,58.74455904
1281.433207,2070s,1372.324357,1229.539132,1274.662872,64.04720628
1294.644313,2080s,1384.270409,1188.426642,1302.263443,77.25831285
1311.506524,2090s,1386.499534,1206.250424,1322.094045,94.12052374
1321.915923,2100s,1374.707349,1252.023616,1333.086555,104.529922
