,mean,decades,95th_perc,5th_perc,median,change_frombaseline,percent_change
1,3.2486226828315647,1980s,3.3470189382689863,3.163659411443408,3.2328434671825157,-0.07224195158257807,-2.175395854258383
2,3.3038288534902827,1990s,3.3624988212124225,3.220505615808,3.3004504151586227,-0.017035780923860155,-0.5129923317957089
3,3.3456001773053363,2000s,3.4526910755801206,3.2330680055183545,3.3422601484800003,0.024735542891193507,0.7448524891637831
4,3.3854068240293884,2010s,3.513038986821622,3.2884955405656044,3.3792794496000003,0.0645421896152456,1.9435356968903355
5,3.4197854758372954,2020s,3.650265945559403,3.2658774569967757,3.39648532848,0.0989208414231526,2.9787676497872044
6,3.4521244851291786,2030s,3.662710451543355,3.2391693281123506,3.4476992243154574,0.13125985071503576,3.952580582622641
7,3.4794123854395713,2040s,3.660503054648536,3.287641109616,3.4789388953490157,0.1585477510254285,4.774291290960706
8,3.4786342428906756,2050s,3.6626916284639996,3.2406300102022305,3.4706158344,0.15776960847653276,4.750859364804131
9,3.4826983725092013,2060s,3.640107082035531,3.2039523372472027,3.4869788222399998,0.16183373809505852,4.873241035421149
10,3.4989079139629333,2070s,3.7020202653566843,3.295855757073407,3.4998439458180535,0.1780432795487905,5.361353115803842
11,3.5192691523611543,2080s,3.7486439189078196,3.3591256065783734,3.50202377095526,0.19840451794701153,5.97448375013375
12,3.5335236160048873,2090s,3.771208508766045,3.3404732885314092,3.504764561421749,0.21265898159074448,6.403723276973052
