,mean,decades,95th_perc,5th_perc,median,change_frombaseline,percent_change
1,3.2486226828315647,1980s,3.3470189382689863,3.163659411443408,3.2328434671825157,-0.0713693805279414,-2.1496852753232965
2,3.3038288534902827,1990s,3.3624988212124225,3.220505615808,3.3004504151586227,-0.016163209869223483,-0.4868448345887882
3,3.347728273678259,2000s,3.4521272981280005,3.245970457293436,3.3409706256,0.027736210318753063,0.8354300187900673
4,3.3797884434379193,2010s,3.5176106427054403,3.271614059082878,3.3806128803757307,0.05979638007841315,1.8011000911220578
5,3.4027941340787375,2020s,3.55418948131505,3.234631945957184,3.4039392796800003,0.0828020707192314,2.4940442368239832
6,3.4160968458274805,2030s,3.62976555849414,3.2108705800936193,3.40933414752,0.09610478246797438,2.89472928350093
7,3.457047634553145,2040s,3.6315765755330753,3.261946751222652,3.4642811360569215,0.13705557119363876,4.12818972389205
8,3.4729619292805567,2050s,3.662465013216,3.2650303851303195,3.4826203569930057,0.15296986592105055,4.607537096527275
9,3.5301441558280615,2060s,3.7319796148477966,3.3004022896514322,3.5467346707212073,0.21015209246855537,6.329897435233687
10,3.581740406636379,2070s,3.833489399517741,3.3702080481530725,3.58542777829894,0.261748343276873,7.884005090422096
11,3.6314376906925587,2080s,3.860257905663603,3.3556644500818837,3.6333822520900396,0.3114456273330526,9.380914815136641
12,3.672342031077768,2090s,3.9674230407888755,3.3907875174705695,3.6623443035242174,0.35234996771826177,10.612976205784005
