,mean,decades,95th_perc,5th_perc,median,change_frombaseline
1,15.431880402964595,1980s,15.695870497083266,15.289226386674624,15.451082504481505,-0.492840434269489
2,15.727657321699132,1990s,15.925307450000025,15.531410183333358,15.732252455091519,-0.1970635155349516
3,16.070634820998826,2000s,16.300269000000025,15.835428951175686,16.068341504798106,0.14591398376474274
4,16.468710803273776,2010s,16.843155133333358,16.12561524315405,16.416998619296713,0.5439899660396925
5,16.835975774920694,2020s,17.350276933333355,16.42204105408553,16.82050733333336,0.9112549376866106
6,17.23002585832761,2030s,17.75636103333336,16.64864895337251,17.222070203807277,1.3053050210935275
7,17.551977855363678,2040s,18.246118700000018,16.898569524616974,17.635811027560045,1.627257018129594
8,17.804354283256615,2050s,18.437248033333354,17.133695879513837,17.82607599006941,1.879633446022531
9,18.038998370592353,2060s,18.87358477389481,17.154241633633458,18.040959166666692,2.114277533358269
10,18.24094322118005,2070s,19.132400937237122,17.23380536606737,18.29171207136043,2.3162223839459664
11,18.421277341424993,2080s,19.42881145485299,17.390158428580744,18.473269250677824,2.4965565041909095
12,18.615301909762035,2090s,19.589398965008492,17.568291789964512,18.648046997712903,2.6905810725279515
