,mean,decades,95th_perc,5th_perc,median,change_frombaseline
1,15.431880402964595,1980s,15.695870497083266,15.289226386674624,15.451082504481505,-0.5980915480995677
2,15.727657321699132,1990s,15.925307450000025,15.531410183333358,15.732252455091519,-0.3023146293650303
3,16.189647407803246,2000s,16.52631497748535,15.951722128218892,16.23104765452208,0.1596754567390839
4,16.77070267178968,2010s,17.165944621228487,16.401829166638823,16.733157903384996,0.7407307207255194
5,17.316310701569552,2020s,18.10185952226695,16.674303520167822,17.302682166666692,1.28633875050539
6,17.818326734928025,2030s,18.781305150000023,17.17443887719283,17.76975983333336,1.7883547838638627
7,18.213933040268383,2040s,19.2105449166667,17.588252988622397,18.07832800000002,2.183961089204221
8,18.59545334327529,2050s,19.83223170000003,17.90829597268436,18.460595925502567,2.5654813922111295
9,19.01601399186451,2060s,20.352364016666694,18.14163436826999,18.968361745337937,2.986042040800349
10,19.4852604020999,2070s,20.768733463990262,18.51485924668484,19.411703021602563,3.455288451035738
11,19.99725484350425,2080s,21.25894313743663,18.938280774393128,19.90184827318334,3.967282892440089
12,20.490238914650597,2090s,21.686956884308657,19.31231116237109,20.420888486329076,4.4602669635864345
