center,variable,base,ssp,percentile,months,access-cm2,access-esm1-5,bcc-csm2-mr,cesm2,cesm2-waccm,cmcc-cm2-sr5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,fgoals-g3,gfdl-cm4,gfdl-cm4_gr2,gfdl-esm4,giss-e2-1-g,iitm-esm,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc-es2l,miroc6,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,noresm2-lm,noresm2-mm,taiesm1
AFRC,rzsm,"[1981, 2020]",ssp245,0.8,,0.2215454,0.2248574,,0.22024700000000003,0.21054820000000002,0.21463379999999999,0.21685079999999998,0.2076774,0.22253160000000002,0.2274004,0.23086420000000002,0.21923300000000004,0.21938159999999998,0.2264518,0.215163,0.22569140000000001,0.2164506,0.22119860000000002,,0.1885106,0.21876460000000003,,0.2299578,0.22204059999999998,0.2201442,0.21547940000000002,0.21728260000000002,0.2143054
AFRC,rzsm,"[1981, 2020]",ssp245,0.9,,0.2550081,0.25719929999999996,,0.2509269,0.2468646,0.25304220000000005,0.2583362,0.24257510000000004,0.25337780000000004,0.2594287,0.260612,0.25407520000000006,0.2517247,0.25391620000000004,0.2477977,0.25328510000000004,0.2528818,0.2547879,,0.2186312,0.2526712,,0.26048560000000004,0.2528951,0.2518905,0.2497692,0.2507912,0.24563300000000002
AFRC,rzsm,"[1981, 2020]",ssp245,0.95,,0.2757001499999999,0.27859965,,0.27228979999999997,0.26731249999999995,0.2781647,0.27994549999999996,0.2668315,0.27240665000000003,0.27995239999999993,0.28118675,0.27361065,0.2715804,0.27554435,0.26953479999999996,0.27469164999999995,0.2705299499999999,0.27542495,,0.23475135,0.27626205,,0.28023325,0.27200844999999996,0.27465955,0.2709449999999999,0.27438505,0.2708156
AFRC,rzsm,"[1981, 2020]",ssp245,0.98,,0.29361622,0.29557886,,0.29184723999999995,0.29021076,0.30112416,0.30034276,0.28904393999999994,0.29179387999999995,0.29719345999999996,0.30066765999999995,0.29357808,0.29238316,0.29635774,0.29002614,0.29479321999999997,0.28797316,0.29378548,,0.25647302,0.2980989,,0.29822276,0.28920864,0.29409774,0.29189422,0.29534814,0.29536142
AMES,rzsm,"[1950, 2014]",ssp245,0.02,,0.1544178,0.1537132,,0.1561742,0.1525762,0.1430846,0.14401,0.1575878,0.1559014,0.1535662,0.15456240000000002,0.15128460000000002,0.1490046,0.1549556,0.1535036,0.1554784,0.1568802,0.1556006,,0.1526346,0.1417588,,0.15137679999999998,0.1522812,0.1529994,0.149233,0.1433636,0.1537326
AMES,rzsm,"[1950, 2014]",ssp245,0.05,,0.161392,0.161652,,0.161205,0.159519,0.151276,0.155217,0.164334,0.16389,0.161671,0.161036,0.159985,0.158943,0.160606,0.161853,0.162677,0.163247,0.162401,,0.160505,0.152691,,0.159911,0.159541,0.160539,0.15802,0.156256,0.158855
AMES,rzsm,"[1950, 2014]",ssp245,0.1,,0.167373,0.167695,,0.167189,0.167862,0.160546,0.165921,0.170511,0.170448,0.168048,0.166984,0.16714,0.166489,0.167441,0.168323,0.169107,0.169445,0.169784,,0.166995,0.164265,,0.167596,0.16702,0.168266,0.16633,0.165106,0.165323
AMES,rzsm,"[1950, 2014]",ssp245,0.2,,0.178169,0.178389,,0.178796,0.179156,0.172717,0.17795,0.181889,0.182278,0.181059,0.17924,0.178662,0.178011,0.178715,0.179319,0.180834,0.180709,0.180433,,0.179339,0.176543,,0.178061,0.179227,0.179436,0.177473,0.175953,0.17698
AMES,rzsm,"[1950, 2014]",ssp245,0.3,,0.192385,0.192164,,0.192896,0.191954,0.185958,0.19021,0.194985,0.196149,0.194792,0.192406,0.192264,0.191147,0.1937,0.193125,0.194195,0.195065,0.193652,,0.195597,0.189891,,0.191019,0.192296,0.193656,0.191097,0.188456,0.191729
AMES,rzsm,"[1950, 2014]",ssp245,0.7,,0.26756,0.266451,,0.264742,0.267911,0.259643,0.263938,0.271742,0.271521,0.265404,0.267005,0.265264,0.264573,0.265437,0.265961,0.270681,0.270668,0.268838,,0.283623,0.26273,,0.264002,0.266763,0.264693,0.2647,0.260065,0.267723
AMES,rzsm,"[1950, 2014]",ssp245,0.8,,0.285236,0.283188,,0.28321,0.286207,0.27951,0.283977,0.288533,0.286758,0.281751,0.285665,0.28202,0.281532,0.282405,0.283467,0.28785,0.287386,0.285217,,0.297561,0.283328,,0.282547,0.284565,0.284264,0.282229,0.282571,0.283728
AMES,rzsm,"[1950, 2014]",ssp245,0.9,,0.302568,0.301599,,0.304101,0.304107,0.302623,0.304385,0.306385,0.30327,0.301397,0.302671,0.30151,0.301388,0.30082,0.304719,0.305313,0.30389,0.303138,,0.313606,0.306865,,0.302327,0.302805,0.305253,0.303962,0.305023,0.302703
AMES,rzsm,"[1950, 2014]",ssp245,0.95,,0.315856,0.314997,,0.316802,0.317408,0.319233,0.318703,0.317681,0.316021,0.31416,0.316318,0.314768,0.314644,0.314738,0.316854,0.316388,0.315401,0.315631,,0.326666,0.320443,,0.315065,0.314983,0.318576,0.316899,0.318792,0.317214
AMES,rzsm,"[1950, 2014]",ssp245,0.98,,0.3289766,0.3285928,,0.32980180000000003,0.3309456,0.33475340000000003,0.3321346,0.33015820000000007,0.33003180000000004,0.3273672,0.32989240000000003,0.32920760000000004,0.3291908,0.3287872,0.3281702,0.3278232,0.3294964,0.32862460000000004,,0.3399818,0.33201939999999996,,0.326781,0.3274994,0.32924200000000003,0.3288964,0.33319360000000003,0.3311594
AMES,rzsm,"[1981, 2020]",ssp245,0.02,,0.15142496,0.14629258,,0.15155169999999998,0.1467311,0.14487812,0.13583144,0.15484953999999998,0.15222982,0.15412826000000002,0.15763165999999998,0.15200154,0.14993022,0.15311298,0.15050862,0.14965762000000002,0.15690536,0.15252936,,0.15108354,0.13933516,,0.15067632,0.1523019,0.15296208,0.14476767999999998,0.13748608,0.15144808
AMES,rzsm,"[1981, 2020]",ssp245,0.05,,0.1585682,0.15503695,,0.15725145000000001,0.15484595,0.15335954999999998,0.14916615,0.1615526,0.1609689,0.15985364999999999,0.16194785,0.15843415,0.15731245000000002,0.1598969,0.1567728,0.15985950000000002,0.16235514999999998,0.1590994,,0.15793669999999999,0.1500433,,0.15956795000000001,0.15808675,0.1592488,0.15569425,0.15068335000000002,0.156977
AMES,rzsm,"[1981, 2020]",ssp245,0.1,,0.1650465,0.1627851,,0.1632967,0.16372350000000002,0.1618818,0.15878430000000002,0.1674019,0.1680091,0.1655268,0.16645469999999998,0.165524,0.16436250000000002,0.1667089,0.16395479999999998,0.1670009,0.1678252,0.166872,,0.1644091,0.1613659,,0.167617,0.1658709,0.16660060000000002,0.1634182,0.1604302,0.1627183
AMES,rzsm,"[1981, 2020]",ssp245,0.2,,0.1761038,0.173764,,0.17528380000000002,0.1755442,0.173476,0.171994,0.17828159999999998,0.18006480000000002,0.1769098,0.1777992,0.17777,0.1763102,0.1776724,0.1753506,0.1786374,0.1793396,0.1792076,,0.1758688,0.1747126,,0.1785282,0.1777766,0.1781092,0.1748894,0.1724182,0.17322
